Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 84.79050000000001)	(2, 47.2786)	(3, 60.8294)	(4, 52.920100000000005)	(5, 47.423)	(6, 43.805)	(7, 35.146300000000004)	(8, 43.0466)	(9, 42.26)	(10, 38.839800000000004)	(11, 49.5233)	(12, 48.247099999999996)	(13, 46.597899999999996)	(14, 45.3597)	(15, 46.3643)	(16, 46.9863)	(17, 46.4937)	(18, 46.5678)	(19, 46.9565)	(20, 45.9399)	(21, 46.346399999999996)	(22, 46.618700000000004)	(23, 45.8158)	(24, 46.3662)	(25, 46.7564)	(26, 45.752900000000004)	(27, 46.1474)	(28, 46.569500000000005)	(29, 46.0161)	(30, 46.5472)	(31, 46.8093)	(32, 45.9353)	(33, 46.6144)	(34, 47.024899999999995)	(35, 46.2453)	(36, 46.6762)	(37, 46.9663)	(38, 46.205200000000005)	(39, 46.5919)	(40, 47.0742)	(41, 46.3372)	(42, 46.4282)	(43, 47.009299999999996)	(44, 46.0439)	(45, 46.704)	(46, 46.8821)	(47, 46.2571)	(48, 46.5788)	(49, 47.0533)	(50, 46.287800000000004)	(51, 46.7965)	(52, 46.997499999999995)	(53, 46.3833)	(54, 46.8437)	(55, 47.0664)	(56, 46.2926)	(57, 46.7826)	(58, 46.8396)	(59, 46.212399999999995)	(60, 46.6186)	(61, 47.185300000000005)	(62, 46.318)	(63, 46.5098)	(64, 47.0497)	(65, 46.2496)	(66, 46.7235)	(67, 47.0987)	(68, 46.2949)	(69, 46.7065)	(70, 47.2211)	(71, 46.455200000000005)	(72, 46.7008)	(73, 47.098)	(74, 46.535199999999996)	(75, 46.8497)	(76, 47.1337)	(77, 46.4433)	(78, 46.8969)	(79, 47.2218)	(80, 46.5692)	(81, 46.7312)	(82, 47.199600000000004)	(83, 46.5555)	(84, 46.935500000000005)	(85, 47.3135)	(86, 46.4598)	(87, 46.8784)	(88, 47.1094)	(89, 46.3686)	(90, 46.954299999999996)	(91, 47.2223)	(92, 46.4686)	(93, 46.8389)	(94, 47.253299999999996)	(95, 46.5473)	(96, 46.875299999999996)	(97, 47.558499999999995)	(98, 46.4166)	(99, 47.030300000000004)	(100, 47.3984)	(101, 46.617999999999995)
17_ATCACG_L002_combined	(1, 84.8663)	(2, 45.3428)	(3, 61.2828)	(4, 53.214099999999995)	(5, 47.086)	(6, 43.2466)	(7, 34.888999999999996)	(8, 42.594)	(9, 41.707300000000004)	(10, 38.6198)	(11, 49.2784)	(12, 48.0638)	(13, 46.5218)	(14, 45.1801)	(15, 46.207)	(16, 46.867)	(17, 46.3751)	(18, 46.4951)	(19, 46.960499999999996)	(20, 45.8712)	(21, 46.2993)	(22, 46.5897)	(23, 45.6276)	(24, 46.1901)	(25, 46.706199999999995)	(26, 45.6199)	(27, 46.0804)	(28, 46.5132)	(29, 45.9121)	(30, 46.455600000000004)	(31, 46.7898)	(32, 45.7898)	(33, 46.5101)	(34, 46.9994)	(35, 46.1524)	(36, 46.6438)	(37, 47.030499999999996)	(38, 46.1661)	(39, 46.5586)	(40, 47.0499)	(41, 46.262)	(42, 46.3834)	(43, 47.0077)	(44, 46.0328)	(45, 46.6366)	(46, 46.9535)	(47, 46.173199999999994)	(48, 46.4804)	(49, 47.0389)	(50, 46.2422)	(51, 46.7978)	(52, 47.1021)	(53, 46.333800000000004)	(54, 46.800999999999995)	(55, 47.0771)	(56, 46.179199999999994)	(57, 46.6644)	(58, 46.8183)	(59, 46.0896)	(60, 46.4851)	(61, 47.152300000000004)	(62, 46.3004)	(63, 46.489599999999996)	(64, 47.0073)	(65, 46.1952)	(66, 46.714)	(67, 47.0377)	(68, 46.2641)	(69, 46.6344)	(70, 47.1868)	(71, 46.337)	(72, 46.6038)	(73, 47.131299999999996)	(74, 46.4743)	(75, 46.7824)	(76, 47.124300000000005)	(77, 46.363)	(78, 46.842099999999995)	(79, 47.275099999999995)	(80, 46.4972)	(81, 46.6092)	(82, 47.1974)	(83, 46.4805)	(84, 46.9057)	(85, 47.2904)	(86, 46.4116)	(87, 46.7307)	(88, 47.094)	(89, 46.2633)	(90, 46.881299999999996)	(91, 47.2617)	(92, 46.3784)	(93, 46.7392)	(94, 47.1573)	(95, 46.4311)	(96, 46.840199999999996)	(97, 47.511700000000005)	(98, 46.3892)	(99, 46.9282)	(100, 47.3871)	(101, 46.4854)
1_ATCACG_L001_combined	(1, 83.7654)	(2, 42.9247)	(3, 58.333400000000005)	(4, 50.21)	(5, 44.1416)	(6, 40.0049)	(7, 31.7001)	(8, 39.656400000000005)	(9, 38.8098)	(10, 35.3175)	(11, 45.9728)	(12, 44.7357)	(13, 42.9742)	(14, 41.8518)	(15, 42.877500000000005)	(16, 43.3678)	(17, 43.1324)	(18, 43.241800000000005)	(19, 43.437599999999996)	(20, 42.5291)	(21, 42.8685)	(22, 43.0676)	(23, 42.3269)	(24, 42.8132)	(25, 43.1261)	(26, 42.268899999999995)	(27, 42.6132)	(28, 42.8784)	(29, 42.492000000000004)	(30, 42.9768)	(31, 43.2061)	(32, 42.3672)	(33, 43.0471)	(34, 43.4022)	(35, 42.718)	(36, 43.219)	(37, 43.3548)	(38, 42.6687)	(39, 43.1072)	(40, 43.5097)	(41, 42.815)	(42, 42.9279)	(43, 43.342000000000006)	(44, 42.596000000000004)	(45, 43.1649)	(46, 43.3579)	(47, 42.7761)	(48, 43.0767)	(49, 43.451)	(50, 42.783)	(51, 43.2991)	(52, 43.4228)	(53, 42.8962)	(54, 43.3065)	(55, 43.406800000000004)	(56, 42.775999999999996)	(57, 43.2407)	(58, 43.2064)	(59, 42.6557)	(60, 43.0835)	(61, 43.565)	(62, 42.8564)	(63, 43.0371)	(64, 43.4778)	(65, 42.8217)	(66, 43.317899999999995)	(67, 43.4191)	(68, 42.8576)	(69, 43.2601)	(70, 43.601099999999995)	(71, 42.9691)	(72, 43.1838)	(73, 43.5224)	(74, 43.1769)	(75, 43.3544)	(76, 43.5825)	(77, 43.0087)	(78, 43.5022)	(79, 43.727199999999996)	(80, 43.1976)	(81, 43.1821)	(82, 43.6574)	(83, 43.1868)	(84, 43.4846)	(85, 43.8142)	(86, 43.084)	(87, 43.3996)	(88, 43.5594)	(89, 42.9645)	(90, 43.5453)	(91, 43.6912)	(92, 43.0396)	(93, 43.3558)	(94, 43.594899999999996)	(95, 43.1158)	(96, 43.555899999999994)	(97, 43.9704)	(98, 43.033)	(99, 43.572)	(100, 43.870799999999996)	(101, 43.2019)
21_ACAGTG_L002_combined	(1, 84.7141)	(2, 48.1354)	(3, 61.5908)	(4, 53.6849)	(5, 48.0688)	(6, 44.3888)	(7, 35.8858)	(8, 43.8237)	(9, 42.9317)	(10, 39.507)	(11, 50.27199999999999)	(12, 48.9881)	(13, 47.325)	(14, 46.0675)	(15, 47.0021)	(16, 47.6455)	(17, 47.1091)	(18, 47.194199999999995)	(19, 47.654)	(20, 46.636)	(21, 47.0053)	(22, 47.354800000000004)	(23, 46.4621)	(24, 46.989799999999995)	(25, 47.4522)	(26, 46.4716)	(27, 46.8677)	(28, 47.3095)	(29, 46.7416)	(30, 47.241699999999994)	(31, 47.5195)	(32, 46.6256)	(33, 47.2839)	(34, 47.7183)	(35, 46.9327)	(36, 47.358200000000004)	(37, 47.7296)	(38, 46.963300000000004)	(39, 47.2813)	(40, 47.772999999999996)	(41, 47.0742)	(42, 47.130300000000005)	(43, 47.7476)	(44, 46.8446)	(45, 47.4143)	(46, 47.63)	(47, 46.971000000000004)	(48, 47.2628)	(49, 47.8074)	(50, 47.0588)	(51, 47.5194)	(52, 47.7789)	(53, 47.0535)	(54, 47.5458)	(55, 47.826800000000006)	(56, 47.0002)	(57, 47.4236)	(58, 47.5474)	(59, 46.9247)	(60, 47.3037)	(61, 47.918)	(62, 47.069)	(63, 47.208299999999994)	(64, 47.768)	(65, 46.961999999999996)	(66, 47.3843)	(67, 47.7887)	(68, 47.0362)	(69, 47.386)	(70, 47.9274)	(71, 47.138799999999996)	(72, 47.3471)	(73, 47.834900000000005)	(74, 47.2006)	(75, 47.5352)	(76, 47.8272)	(77, 47.1492)	(78, 47.5595)	(79, 47.961)	(80, 47.2622)	(81, 47.377399999999994)	(82, 47.910199999999996)	(83, 47.2576)	(84, 47.628)	(85, 47.9812)	(86, 47.1618)	(87, 47.5421)	(88, 47.8473)	(89, 47.0254)	(90, 47.605199999999996)	(91, 47.9672)	(92, 47.1581)	(93, 47.4731)	(94, 47.9556)	(95, 47.2213)	(96, 47.5685)	(97, 48.2342)	(98, 47.151199999999996)	(99, 47.7028)	(100, 48.1242)	(101, 47.2613)
25_GATCAG_L002_combined	(1, 84.9189)	(2, 50.619)	(3, 62.9396)	(4, 55.123900000000006)	(5, 49.3942)	(6, 45.597100000000005)	(7, 37.1731)	(8, 44.9456)	(9, 44.1445)	(10, 40.7331)	(11, 51.456199999999995)	(12, 50.181)	(13, 48.6648)	(14, 47.3246)	(15, 48.3086)	(16, 48.8784)	(17, 48.3135)	(18, 48.4107)	(19, 48.8996)	(20, 47.916799999999995)	(21, 48.2279)	(22, 48.7328)	(23, 47.714099999999995)	(24, 48.269400000000005)	(25, 48.7803)	(26, 47.8133)	(27, 48.2113)	(28, 48.6018)	(29, 48.071000000000005)	(30, 48.5139)	(31, 48.8762)	(32, 47.924)	(33, 48.5611)	(34, 49.077799999999996)	(35, 48.2267)	(36, 48.6168)	(37, 49.1573)	(38, 48.198800000000006)	(39, 48.618)	(40, 49.0921)	(41, 48.3547)	(42, 48.455)	(43, 49.107)	(44, 48.171)	(45, 48.6918)	(46, 48.9439)	(47, 48.2328)	(48, 48.5003)	(49, 49.0884)	(50, 48.342800000000004)	(51, 48.8382)	(52, 49.200700000000005)	(53, 48.3461)	(54, 48.861900000000006)	(55, 49.0973)	(56, 48.2762)	(57, 48.7078)	(58, 48.8908)	(59, 48.2301)	(60, 48.5454)	(61, 49.201499999999996)	(62, 48.3867)	(63, 48.4564)	(64, 49.0775)	(65, 48.268899999999995)	(66, 48.790299999999995)	(67, 49.1019)	(68, 48.3375)	(69, 48.6458)	(70, 49.2484)	(71, 48.401300000000006)	(72, 48.5277)	(73, 49.172)	(74, 48.4869)	(75, 48.7259)	(76, 49.1505)	(77, 48.429100000000005)	(78, 48.839)	(79, 49.2799)	(80, 48.5798)	(81, 48.6181)	(82, 49.1989)	(83, 48.5014)	(84, 48.9155)	(85, 49.3277)	(86, 48.4468)	(87, 48.8144)	(88, 49.167100000000005)	(89, 48.3232)	(90, 48.8872)	(91, 49.3054)	(92, 48.4341)	(93, 48.7942)	(94, 49.288399999999996)	(95, 48.493900000000004)	(96, 48.9085)	(97, 49.5659)	(98, 48.5191)	(99, 48.958800000000004)	(100, 49.5274)	(101, 48.5223)
29_AGTCAA_L002_combined	(1, 85.3515)	(2, 49.323299999999996)	(3, 62.4012)	(4, 54.6649)	(5, 49.052099999999996)	(6, 45.3961)	(7, 36.9296)	(8, 44.517)	(9, 43.8367)	(10, 40.4855)	(11, 51.1014)	(12, 49.9035)	(13, 48.327999999999996)	(14, 46.9957)	(15, 47.9824)	(16, 48.695)	(17, 48.050599999999996)	(18, 48.2006)	(19, 48.705999999999996)	(20, 47.596500000000006)	(21, 47.9813)	(22, 48.438199999999995)	(23, 47.4437)	(24, 48.023500000000006)	(25, 48.5347)	(26, 47.4815)	(27, 47.9131)	(28, 48.3198)	(29, 47.6838)	(30, 48.282799999999995)	(31, 48.6103)	(32, 47.6094)	(33, 48.323899999999995)	(34, 48.790099999999995)	(35, 47.910799999999995)	(36, 48.366)	(37, 48.8547)	(38, 47.913)	(39, 48.313)	(40, 48.8262)	(41, 48.0576)	(42, 48.173100000000005)	(43, 48.8128)	(44, 47.8292)	(45, 48.4349)	(46, 48.6462)	(47, 47.9366)	(48, 48.253299999999996)	(49, 48.830600000000004)	(50, 48.0124)	(51, 48.552099999999996)	(52, 48.884499999999996)	(53, 48.0072)	(54, 48.5776)	(55, 48.837399999999995)	(56, 47.9935)	(57, 48.4751)	(58, 48.6254)	(59, 47.9199)	(60, 48.3125)	(61, 48.9592)	(62, 48.065000000000005)	(63, 48.2127)	(64, 48.8263)	(65, 47.9724)	(66, 48.4816)	(67, 48.8591)	(68, 48.0283)	(69, 48.3853)	(70, 48.986000000000004)	(71, 48.1139)	(72, 48.2986)	(73, 48.871199999999995)	(74, 48.178599999999996)	(75, 48.4904)	(76, 48.9048)	(77, 48.1366)	(78, 48.579899999999995)	(79, 49.0281)	(80, 48.2626)	(81, 48.371199999999995)	(82, 48.9556)	(83, 48.2331)	(84, 48.668299999999995)	(85, 49.0721)	(86, 48.1697)	(87, 48.5732)	(88, 48.916900000000005)	(89, 48.017199999999995)	(90, 48.6327)	(91, 49.029)	(92, 48.1178)	(93, 48.5443)	(94, 49.021300000000004)	(95, 48.182900000000004)	(96, 48.6161)	(97, 49.2861)	(98, 48.1723)	(99, 48.7066)	(100, 49.2359)	(101, 48.220800000000004)
33_GTCCGC_L002_combined	(1, 85.20400000000001)	(2, 48.0758)	(3, 62.9308)	(4, 55.1341)	(5, 49.0563)	(6, 45.3555)	(7, 36.9175)	(8, 44.357600000000005)	(9, 43.4786)	(10, 40.5749)	(11, 51.0615)	(12, 49.8553)	(13, 48.512499999999996)	(14, 47.0836)	(15, 48.0622)	(16, 48.894999999999996)	(17, 48.1421)	(18, 48.3128)	(19, 48.8618)	(20, 47.6741)	(21, 48.137)	(22, 48.5705)	(23, 47.5207)	(24, 48.079699999999995)	(25, 48.632)	(26, 47.4881)	(27, 47.9698)	(28, 48.5329)	(29, 47.7875)	(30, 48.328199999999995)	(31, 48.771300000000004)	(32, 47.7063)	(33, 48.3726)	(34, 48.983399999999996)	(35, 47.957699999999996)	(36, 48.4344)	(37, 48.9099)	(38, 47.947)	(39, 48.3393)	(40, 49.0363)	(41, 48.0622)	(42, 48.2161)	(43, 48.971)	(44, 47.8251)	(45, 48.4647)	(46, 48.8721)	(47, 47.9755)	(48, 48.3427)	(49, 48.9621)	(50, 48.0283)	(51, 48.592200000000005)	(52, 49.0149)	(53, 48.0675)	(54, 48.5741)	(55, 48.9843)	(56, 47.957899999999995)	(57, 48.4827)	(58, 48.7647)	(59, 47.9499)	(60, 48.3566)	(61, 49.0351)	(62, 48.0301)	(63, 48.230000000000004)	(64, 48.9955)	(65, 47.9907)	(66, 48.475699999999996)	(67, 48.9715)	(68, 47.9949)	(69, 48.4179)	(70, 49.081)	(71, 48.109)	(72, 48.342)	(73, 48.9956)	(74, 48.181200000000004)	(75, 48.522999999999996)	(76, 49.006899999999995)	(77, 48.1151)	(78, 48.5937)	(79, 49.1123)	(80, 48.2426)	(81, 48.4237)	(82, 49.078500000000005)	(83, 48.2493)	(84, 48.6346)	(85, 49.1503)	(86, 48.1539)	(87, 48.5165)	(88, 48.9802)	(89, 47.9888)	(90, 48.5975)	(91, 49.1174)	(92, 48.1302)	(93, 48.496)	(94, 49.0466)	(95, 48.1909)	(96, 48.6109)	(97, 49.4138)	(98, 48.132799999999996)	(99, 48.7037)	(100, 49.242999999999995)	(101, 48.2512)
37_CGTACG_L002_combined	(1, 85.69200000000001)	(2, 48.5517)	(3, 63.1911)	(4, 55.3555)	(5, 49.5054)	(6, 45.848499999999994)	(7, 37.3199)	(8, 44.915)	(9, 44.0219)	(10, 40.9855)	(11, 51.5456)	(12, 50.3608)	(13, 48.962)	(14, 47.5287)	(15, 48.5172)	(16, 49.396)	(17, 48.658)	(18, 48.8273)	(19, 49.3675)	(20, 48.1382)	(21, 48.6342)	(22, 49.0668)	(23, 48.071999999999996)	(24, 48.599199999999996)	(25, 49.195299999999996)	(26, 47.991099999999996)	(27, 48.4811)	(28, 49.039)	(29, 48.2562)	(30, 48.8964)	(31, 49.2808)	(32, 48.225699999999996)	(33, 48.897200000000005)	(34, 49.5098)	(35, 48.4766)	(36, 48.9418)	(37, 49.4217)	(38, 48.4467)	(39, 48.8507)	(40, 49.477)	(41, 48.5788)	(42, 48.7121)	(43, 49.4549)	(44, 48.2939)	(45, 48.9933)	(46, 49.384299999999996)	(47, 48.522999999999996)	(48, 48.8985)	(49, 49.5029)	(50, 48.545500000000004)	(51, 49.1002)	(52, 49.4819)	(53, 48.5539)	(54, 49.1505)	(55, 49.5221)	(56, 48.5327)	(57, 49.0494)	(58, 49.2441)	(59, 48.4649)	(60, 48.9152)	(61, 49.6031)	(62, 48.546800000000005)	(63, 48.781)	(64, 49.5006)	(65, 48.4703)	(66, 48.9833)	(67, 49.5104)	(68, 48.545300000000005)	(69, 48.971199999999996)	(70, 49.6045)	(71, 48.6535)	(72, 48.9067)	(73, 49.5023)	(74, 48.7263)	(75, 49.0767)	(76, 49.542500000000004)	(77, 48.650999999999996)	(78, 49.1308)	(79, 49.6151)	(80, 48.784)	(81, 48.9357)	(82, 49.605199999999996)	(83, 48.790099999999995)	(84, 49.1893)	(85, 49.7038)	(86, 48.6939)	(87, 49.060199999999995)	(88, 49.5502)	(89, 48.533100000000005)	(90, 49.1753)	(91, 49.6657)	(92, 48.6656)	(93, 49.039)	(94, 49.613800000000005)	(95, 48.7177)	(96, 49.1353)	(97, 49.9458)	(98, 48.6744)	(99, 49.2699)	(100, 49.822300000000006)	(101, 48.8273)
41_GTCCGC_L001_combined	(1, 85.821)	(2, 48.6293)	(3, 63.4587)	(4, 55.7952)	(5, 49.6855)	(6, 46.1141)	(7, 37.674099999999996)	(8, 45.081199999999995)	(9, 44.292300000000004)	(10, 41.3384)	(11, 51.9868)	(12, 50.7119)	(13, 49.4319)	(14, 47.876200000000004)	(15, 48.8825)	(16, 49.6879)	(17, 49.0502)	(18, 49.1438)	(19, 49.74)	(20, 48.5053)	(21, 48.9281)	(22, 49.5368)	(23, 48.334700000000005)	(24, 48.945)	(25, 49.5835)	(26, 48.350100000000005)	(27, 48.8416)	(28, 49.3704)	(29, 48.5965)	(30, 49.1757)	(31, 49.627900000000004)	(32, 48.5495)	(33, 49.2663)	(34, 49.864000000000004)	(35, 48.7969)	(36, 49.298199999999994)	(37, 49.9264)	(38, 48.8036)	(39, 49.2755)	(40, 49.8701)	(41, 48.9409)	(42, 49.074600000000004)	(43, 49.871700000000004)	(44, 48.709599999999995)	(45, 49.358999999999995)	(46, 49.769000000000005)	(47, 48.843399999999995)	(48, 49.1638)	(49, 49.855199999999996)	(50, 48.9127)	(51, 49.424)	(52, 49.949)	(53, 48.8918)	(54, 49.4619)	(55, 49.8347)	(56, 48.855199999999996)	(57, 49.3222)	(58, 49.611)	(59, 48.7645)	(60, 49.1555)	(61, 49.923)	(62, 48.904599999999995)	(63, 49.0597)	(64, 49.8326)	(65, 48.8479)	(66, 49.3808)	(67, 49.8085)	(68, 48.8618)	(69, 49.282399999999996)	(70, 50.0087)	(71, 48.9471)	(72, 49.1495)	(73, 49.8512)	(74, 49.079899999999995)	(75, 49.3407)	(76, 49.9134)	(77, 48.944700000000005)	(78, 49.4505)	(79, 50.001200000000004)	(80, 49.1176)	(81, 49.274499999999996)	(82, 49.919799999999995)	(83, 49.071)	(84, 49.5381)	(85, 50.026199999999996)	(86, 48.9731)	(87, 49.3695)	(88, 49.8821)	(89, 48.827)	(90, 49.545899999999996)	(91, 50.0042)	(92, 48.9742)	(93, 49.3393)	(94, 49.8939)	(95, 49.040299999999995)	(96, 49.4441)	(97, 50.2839)	(98, 48.96)	(99, 49.5419)	(100, 50.2138)	(101, 49.1515)
45_CGTACG_L001_combined	(1, 84.80919999999999)	(2, 50.163500000000006)	(3, 64.15570000000001)	(4, 56.701299999999996)	(5, 50.1998)	(6, 46.4185)	(7, 37.8436)	(8, 45.4058)	(9, 44.3693)	(10, 41.2256)	(11, 51.99589999999999)	(12, 50.6609)	(13, 49.4293)	(14, 48.0111)	(15, 48.8687)	(16, 49.7191)	(17, 49.100899999999996)	(18, 49.081399999999995)	(19, 49.6501)	(20, 48.547200000000004)	(21, 48.8964)	(22, 49.4249)	(23, 48.375)	(24, 48.8557)	(25, 49.512499999999996)	(26, 48.4373)	(27, 48.8005)	(28, 49.3808)	(29, 48.682900000000004)	(30, 49.193799999999996)	(31, 49.6516)	(32, 48.6365)	(33, 49.2153)	(34, 49.7932)	(35, 48.8611)	(36, 49.294900000000005)	(37, 49.8761)	(38, 48.8959)	(39, 49.2247)	(40, 49.811)	(41, 49.053000000000004)	(42, 49.0692)	(43, 49.7904)	(44, 48.7587)	(45, 49.3296)	(46, 49.691)	(47, 48.9428)	(48, 49.196200000000005)	(49, 49.8228)	(50, 48.9554)	(51, 49.382)	(52, 49.8404)	(53, 48.997800000000005)	(54, 49.4777)	(55, 49.8334)	(56, 48.9737)	(57, 49.3185)	(58, 49.5705)	(59, 48.8408)	(60, 49.1785)	(61, 49.938300000000005)	(62, 48.978)	(63, 49.1041)	(64, 49.826100000000004)	(65, 48.919000000000004)	(66, 49.336200000000005)	(67, 49.8085)	(68, 48.963699999999996)	(69, 49.2573)	(70, 49.9915)	(71, 49.0556)	(72, 49.1633)	(73, 49.8135)	(74, 49.1308)	(75, 49.3424)	(76, 49.8622)	(77, 49.044900000000005)	(78, 49.4346)	(79, 49.9512)	(80, 49.1787)	(81, 49.2914)	(82, 49.9029)	(83, 49.1608)	(84, 49.500499999999995)	(85, 49.991)	(86, 49.0616)	(87, 49.3945)	(88, 49.8849)	(89, 48.917100000000005)	(90, 49.528800000000004)	(91, 49.9883)	(92, 49.0711)	(93, 49.3319)	(94, 49.9069)	(95, 49.1425)	(96, 49.4093)	(97, 50.222100000000005)	(98, 49.0569)	(99, 49.5394)	(100, 50.1401)	(101, 49.2431)
