Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 71.25590000000001)	(2, 42.080600000000004)	(3, 45.1723)	(4, 44.642199999999995)	(5, 45.043499999999995)	(6, 42.1084)	(7, 44.257600000000004)	(8, 47.924099999999996)	(9, 46.889199999999995)	(10, 42.370400000000004)	(11, 51.53489999999999)	(12, 50.185599999999994)	(13, 48.0365)	(14, 46.9748)	(15, 46.570299999999996)	(16, 48.1828)	(17, 48.0428)	(18, 46.917500000000004)	(19, 48.0755)	(20, 47.7916)	(21, 46.755)	(22, 47.5129)	(23, 47.2685)	(24, 46.456399999999995)	(25, 47.532999999999994)	(26, 47.2651)	(27, 46.381)	(28, 47.4744)	(29, 47.313300000000005)	(30, 46.475899999999996)	(31, 47.386)	(32, 47.145700000000005)	(33, 46.5212)	(34, 47.5892)	(35, 47.328199999999995)	(36, 46.619899999999994)	(37, 47.3768)	(38, 47.2973)	(39, 46.3115)	(40, 47.330299999999994)	(41, 47.0898)	(42, 46.3148)	(43, 47.207300000000004)	(44, 47.0627)	(45, 46.342800000000004)	(46, 47.3601)	(47, 47.0345)	(48, 46.2757)	(49, 47.4001)	(50, 47.145399999999995)	(51, 46.5276)	(52, 47.3688)	(53, 47.0154)	(54, 46.308899999999994)	(55, 47.2264)	(56, 46.889900000000004)	(57, 46.397)	(58, 47.161500000000004)	(59, 47.0207)	(60, 46.2718)	(61, 47.266799999999996)	(62, 46.9474)	(63, 46.151599999999995)	(64, 47.160000000000004)	(65, 46.8501)	(66, 46.2592)	(67, 47.132400000000004)	(68, 46.9799)	(69, 46.1156)	(70, 47.1624)	(71, 46.753299999999996)	(72, 46.1914)	(73, 47.074)	(74, 46.7443)	(75, 46.139799999999994)	(76, 46.841)	(77, 46.8786)	(78, 46.1402)	(79, 47.1645)	(80, 46.942499999999995)	(81, 46.22)	(82, 47.0458)	(83, 46.7796)	(84, 46.268100000000004)	(85, 47.1576)	(86, 46.8965)	(87, 46.246500000000005)	(88, 47.1498)	(89, 46.8634)	(90, 46.2956)	(91, 47.1136)	(92, 46.860600000000005)	(93, 46.3897)	(94, 47.212700000000005)	(95, 47.0839)	(96, 46.354600000000005)	(97, 47.444900000000004)	(98, 47.2404)	(99, 46.5158)	(100, 47.5503)	(101, 47.2742)
17_ATCACG_L002_combined	(1, 71.7984)	(2, 41.1928)	(3, 45.0401)	(4, 44.4615)	(5, 44.8278)	(6, 41.7186)	(7, 44.0578)	(8, 47.2819)	(9, 46.35)	(10, 42.0888)	(11, 51.271100000000004)	(12, 50.0361)	(13, 48.012)	(14, 46.8773)	(15, 46.370400000000004)	(16, 48.0881)	(17, 47.8553)	(18, 46.7526)	(19, 47.9462)	(20, 47.687000000000005)	(21, 46.6293)	(22, 47.4732)	(23, 47.0838)	(24, 46.2959)	(25, 47.3294)	(26, 47.057)	(27, 46.2534)	(28, 47.263)	(29, 47.2963)	(30, 46.3335)	(31, 47.264)	(32, 47.0569)	(33, 46.2454)	(34, 47.5286)	(35, 47.245)	(36, 46.4734)	(37, 47.3509)	(38, 47.2404)	(39, 46.116)	(40, 47.158699999999996)	(41, 46.9764)	(42, 46.2151)	(43, 47.0971)	(44, 46.9239)	(45, 46.202799999999996)	(46, 47.1487)	(47, 46.9058)	(48, 46.095000000000006)	(49, 47.2921)	(50, 46.9869)	(51, 46.409800000000004)	(52, 47.2646)	(53, 46.9478)	(54, 46.1453)	(55, 47.1601)	(56, 46.838499999999996)	(57, 46.2254)	(58, 47.1013)	(59, 46.962399999999995)	(60, 46.0945)	(61, 47.1838)	(62, 46.8923)	(63, 46.0829)	(64, 47.0493)	(65, 46.8163)	(66, 46.1885)	(67, 47.1363)	(68, 46.974900000000005)	(69, 45.9779)	(70, 47.0525)	(71, 46.7305)	(72, 46.1656)	(73, 47.0507)	(74, 46.708800000000004)	(75, 46.0856)	(76, 46.785399999999996)	(77, 46.8329)	(78, 46.0617)	(79, 47.150999999999996)	(80, 46.8977)	(81, 46.1664)	(82, 47.044200000000004)	(83, 46.7626)	(84, 46.2334)	(85, 47.0836)	(86, 46.8491)	(87, 46.2074)	(88, 47.111)	(89, 46.783500000000004)	(90, 46.185700000000004)	(91, 47.125499999999995)	(92, 46.840399999999995)	(93, 46.3504)	(94, 47.1984)	(95, 47.071600000000004)	(96, 46.3455)	(97, 47.4181)	(98, 47.255900000000004)	(99, 46.5236)	(100, 47.5755)	(101, 47.3056)
1_ATCACG_L001_combined	(1, 69.54679999999999)	(2, 37.957800000000006)	(3, 41.7428)	(4, 41.259499999999996)	(5, 41.5886)	(6, 38.513999999999996)	(7, 40.5945)	(8, 44.2522)	(9, 43.4906)	(10, 38.8912)	(11, 48.136)	(12, 46.8684)	(13, 44.4502)	(14, 43.5029)	(15, 43.2524)	(16, 44.6209)	(17, 44.597500000000004)	(18, 43.6135)	(19, 44.5236)	(20, 44.3181)	(21, 43.4303)	(22, 43.981700000000004)	(23, 43.6353)	(24, 43.129)	(25, 43.8337)	(26, 43.7372)	(27, 43.0626)	(28, 43.8263)	(29, 43.8886)	(30, 43.1043)	(31, 43.7785)	(32, 43.595299999999995)	(33, 43.0995)	(34, 44.0102)	(35, 43.816)	(36, 43.2742)	(37, 43.7341)	(38, 43.7893)	(39, 42.9832)	(40, 43.7367)	(41, 43.4703)	(42, 42.932700000000004)	(43, 43.558099999999996)	(44, 43.5328)	(45, 42.903999999999996)	(46, 43.7091)	(47, 43.5035)	(48, 42.8743)	(49, 43.8176)	(50, 43.635200000000005)	(51, 43.2265)	(52, 43.7618)	(53, 43.5115)	(54, 42.9424)	(55, 43.64)	(56, 43.3944)	(57, 43.075599999999994)	(58, 43.5482)	(59, 43.513200000000005)	(60, 42.922700000000006)	(61, 43.6666)	(62, 43.461)	(63, 42.779)	(64, 43.5109)	(65, 43.3762)	(66, 42.9426)	(67, 43.5942)	(68, 43.4553)	(69, 42.7649)	(70, 43.5849)	(71, 43.263200000000005)	(72, 43.0043)	(73, 43.4989)	(74, 43.288399999999996)	(75, 42.8025)	(76, 43.2578)	(77, 43.4131)	(78, 42.839)	(79, 43.676500000000004)	(80, 43.505)	(81, 42.8963)	(82, 43.5681)	(83, 43.3309)	(84, 43.0195)	(85, 43.654700000000005)	(86, 43.5162)	(87, 43.0163)	(88, 43.6173)	(89, 43.506499999999996)	(90, 43.0438)	(91, 43.636599999999994)	(92, 43.4197)	(93, 43.255700000000004)	(94, 43.7967)	(95, 43.6833)	(96, 43.1699)	(97, 44.066100000000006)	(98, 44.001400000000004)	(99, 43.4204)	(100, 44.2562)	(101, 44.0837)
21_ACAGTG_L002_combined	(1, 71.6004)	(2, 42.8431)	(3, 45.9968)	(4, 45.4486)	(5, 45.7223)	(6, 42.633500000000005)	(7, 44.8501)	(8, 48.3678)	(9, 47.3586)	(10, 42.9191)	(11, 52.081)	(12, 50.8278)	(13, 48.708800000000004)	(14, 47.5659)	(15, 47.0458)	(16, 48.7702)	(17, 48.4861)	(18, 47.346700000000006)	(19, 48.6558)	(20, 48.3608)	(21, 47.369099999999996)	(22, 48.207)	(23, 47.8934)	(24, 47.1013)	(25, 48.1187)	(26, 47.8127)	(27, 46.9994)	(28, 48.0474)	(29, 48.0375)	(30, 47.0492)	(31, 48.0169)	(32, 47.7547)	(33, 46.9912)	(34, 48.2916)	(35, 47.977199999999996)	(36, 47.1553)	(37, 48.105399999999996)	(38, 47.9653)	(39, 46.8542)	(40, 47.922599999999996)	(41, 47.7706)	(42, 46.9731)	(43, 47.8786)	(44, 47.6979)	(45, 46.97)	(46, 47.9413)	(47, 47.667300000000004)	(48, 46.8359)	(49, 48.0584)	(50, 47.7153)	(51, 47.1657)	(52, 48.0116)	(53, 47.688399999999994)	(54, 46.8767)	(55, 47.8848)	(56, 47.587)	(57, 46.9625)	(58, 47.8842)	(59, 47.726600000000005)	(60, 46.8175)	(61, 47.9219)	(62, 47.6379)	(63, 46.840399999999995)	(64, 47.8215)	(65, 47.5558)	(66, 46.9125)	(67, 47.8956)	(68, 47.7042)	(69, 46.7352)	(70, 47.8175)	(71, 47.4841)	(72, 46.8573)	(73, 47.7945)	(74, 47.4803)	(75, 46.8401)	(76, 47.575)	(77, 47.5829)	(78, 46.7632)	(79, 47.927)	(80, 47.632000000000005)	(81, 46.9264)	(82, 47.7861)	(83, 47.5107)	(84, 46.9371)	(85, 47.8035)	(86, 47.5939)	(87, 46.8857)	(88, 47.8353)	(89, 47.504200000000004)	(90, 46.912)	(91, 47.8548)	(92, 47.5896)	(93, 47.037099999999995)	(94, 47.9182)	(95, 47.7856)	(96, 46.9995)	(97, 48.1136)	(98, 47.9086)	(99, 47.1609)	(100, 48.225899999999996)	(101, 47.9262)
25_GATCAG_L002_combined	(1, 71.9988)	(2, 44.4705)	(3, 47.246)	(4, 46.7759)	(5, 46.7692)	(6, 43.871900000000004)	(7, 46.2395)	(8, 49.722699999999996)	(9, 48.5017)	(10, 44.207)	(11, 53.328399999999995)	(12, 51.9896)	(13, 50.060700000000004)	(14, 48.8396)	(15, 48.202)	(16, 50.021499999999996)	(17, 49.7106)	(18, 48.4396)	(19, 49.8949)	(20, 49.5782)	(21, 48.4371)	(22, 49.521)	(23, 49.072500000000005)	(24, 48.2544)	(25, 49.4461)	(26, 49.0811)	(27, 48.131)	(28, 49.345800000000004)	(29, 49.3069)	(30, 48.1766)	(31, 49.3276)	(32, 49.0153)	(33, 48.107)	(34, 49.600300000000004)	(35, 49.195899999999995)	(36, 48.273500000000006)	(37, 49.4386)	(38, 49.1956)	(39, 48.0013)	(40, 49.2387)	(41, 49.0104)	(42, 48.0939)	(43, 49.2329)	(44, 48.9502)	(45, 48.1092)	(46, 49.2502)	(47, 48.9317)	(48, 47.956700000000005)	(49, 49.4135)	(50, 48.9565)	(51, 48.3126)	(52, 49.3228)	(53, 48.993199999999995)	(54, 48.03)	(55, 49.2813)	(56, 48.8919)	(57, 48.118300000000005)	(58, 49.1952)	(59, 49.019)	(60, 48.0122)	(61, 49.243500000000004)	(62, 48.9033)	(63, 48.0289)	(64, 49.1269)	(65, 48.888)	(66, 48.073100000000004)	(67, 49.2786)	(68, 48.943)	(69, 47.9143)	(70, 49.177)	(71, 48.769600000000004)	(72, 48.093399999999995)	(73, 49.1981)	(74, 48.7649)	(75, 48.0557)	(76, 48.9869)	(77, 48.9122)	(78, 47.9883)	(79, 49.2458)	(80, 48.930099999999996)	(81, 48.1603)	(82, 49.1273)	(83, 48.802)	(84, 48.1575)	(85, 49.2049)	(86, 48.9569)	(87, 48.126400000000004)	(88, 49.2469)	(89, 48.792699999999996)	(90, 48.1221)	(91, 49.1991)	(92, 48.9392)	(93, 48.323100000000004)	(94, 49.249500000000005)	(95, 49.1079)	(96, 48.254000000000005)	(97, 49.5102)	(98, 49.2539)	(99, 48.4425)	(100, 49.6295)	(101, 49.2836)
29_AGTCAA_L002_combined	(1, 71.905)	(2, 43.4045)	(3, 46.7404)	(4, 46.261799999999994)	(5, 46.4163)	(6, 43.557)	(7, 45.8794)	(8, 49.3041)	(9, 48.2317)	(10, 43.8522)	(11, 52.9424)	(12, 51.7069)	(13, 49.6935)	(14, 48.4415)	(15, 47.9775)	(16, 49.7708)	(17, 49.4146)	(18, 48.260999999999996)	(19, 49.578100000000006)	(20, 49.2993)	(21, 48.2118)	(22, 49.2173)	(23, 48.800399999999996)	(24, 48.0164)	(25, 49.172399999999996)	(26, 48.7441)	(27, 47.897800000000004)	(28, 49.0407)	(29, 48.971599999999995)	(30, 47.975)	(31, 49.0373)	(32, 48.7107)	(33, 47.9949)	(34, 49.3012)	(35, 48.8581)	(36, 48.0337)	(37, 49.1857)	(38, 48.9057)	(39, 47.7113)	(40, 48.9012)	(41, 48.7224)	(42, 47.8525)	(43, 48.903200000000005)	(44, 48.635600000000004)	(45, 47.8799)	(46, 48.956300000000006)	(47, 48.6184)	(48, 47.7165)	(49, 49.1062)	(50, 48.6255)	(51, 48.036)	(52, 49.0445)	(53, 48.678)	(54, 47.806)	(55, 48.936800000000005)	(56, 48.600500000000004)	(57, 47.835899999999995)	(58, 48.8941)	(59, 48.6898)	(60, 47.7057)	(61, 48.964800000000004)	(62, 48.5635)	(63, 47.802299999999995)	(64, 48.851099999999995)	(65, 48.5443)	(66, 47.8363)	(67, 48.9535)	(68, 48.6704)	(69, 47.6592)	(70, 48.8718)	(71, 48.444500000000005)	(72, 47.8076)	(73, 48.8911)	(74, 48.4707)	(75, 47.812599999999996)	(76, 48.6648)	(77, 48.5724)	(78, 47.711999999999996)	(79, 48.997600000000006)	(80, 48.6402)	(81, 47.8776)	(82, 48.863099999999996)	(83, 48.4941)	(84, 47.9276)	(85, 48.9105)	(86, 48.6576)	(87, 47.8712)	(88, 48.9612)	(89, 48.5024)	(90, 47.9254)	(91, 48.945499999999996)	(92, 48.6554)	(93, 48.1106)	(94, 49.019600000000004)	(95, 48.8653)	(96, 48.0929)	(97, 49.2533)	(98, 49.019800000000004)	(99, 48.2505)	(100, 49.411100000000005)	(101, 49.0361)
33_GTCCGC_L002_combined	(1, 72.20259999999999)	(2, 43.2414)	(3, 46.7091)	(4, 46.2805)	(5, 46.5446)	(6, 43.4892)	(7, 45.8852)	(8, 49.1106)	(9, 47.8886)	(10, 43.8186)	(11, 52.857600000000005)	(12, 51.52139999999999)	(13, 49.7355)	(14, 48.5373)	(15, 47.9379)	(16, 49.8791)	(17, 49.5379)	(18, 48.2923)	(19, 49.663000000000004)	(20, 49.4045)	(21, 48.2375)	(22, 49.204)	(23, 48.8183)	(24, 47.837)	(25, 49.1637)	(26, 48.746)	(27, 47.836)	(28, 49.0652)	(29, 49.0215)	(30, 47.9482)	(31, 49.0958)	(32, 48.8122)	(33, 47.9464)	(34, 49.290299999999995)	(35, 49.027100000000004)	(36, 48.041)	(37, 49.2098)	(38, 48.9653)	(39, 47.7449)	(40, 48.9819)	(41, 48.7444)	(42, 47.857499999999995)	(43, 48.9802)	(44, 48.681999999999995)	(45, 47.8353)	(46, 49.038)	(47, 48.7323)	(48, 47.7055)	(49, 49.143)	(50, 48.8078)	(51, 48.0543)	(52, 49.142599999999995)	(53, 48.8194)	(54, 47.7926)	(55, 49.0188)	(56, 48.6623)	(57, 47.883199999999995)	(58, 48.9943)	(59, 48.8491)	(60, 47.7719)	(61, 49.0736)	(62, 48.696400000000004)	(63, 47.761399999999995)	(64, 48.9508)	(65, 48.6756)	(66, 47.8682)	(67, 49.0336)	(68, 48.7836)	(69, 47.6758)	(70, 48.9633)	(71, 48.5961)	(72, 47.8525)	(73, 48.9182)	(74, 48.5422)	(75, 47.783500000000004)	(76, 48.7408)	(77, 48.6751)	(78, 47.7968)	(79, 49.0673)	(80, 48.7361)	(81, 47.911)	(82, 48.910599999999995)	(83, 48.681200000000004)	(84, 47.927)	(85, 49.0028)	(86, 48.7718)	(87, 47.9002)	(88, 49.0398)	(89, 48.6161)	(90, 47.9661)	(91, 48.9752)	(92, 48.7126)	(93, 48.0483)	(94, 49.0227)	(95, 48.9671)	(96, 48.0534)	(97, 49.262299999999996)	(98, 49.1128)	(99, 48.172399999999996)	(100, 49.4311)	(101, 49.1002)
37_CGTACG_L002_combined	(1, 72.77)	(2, 43.7885)	(3, 47.2896)	(4, 46.7329)	(5, 47.0334)	(6, 44.0078)	(7, 46.4705)	(8, 49.7456)	(9, 48.519800000000004)	(10, 44.374)	(11, 53.4382)	(12, 52.119400000000006)	(13, 50.2972)	(14, 49.0813)	(15, 48.481)	(16, 50.4305)	(17, 50.0443)	(18, 48.8131)	(19, 50.1995)	(20, 49.9668)	(21, 48.7939)	(22, 49.7983)	(23, 49.429)	(24, 48.417100000000005)	(25, 49.7225)	(26, 49.3226)	(27, 48.4145)	(28, 49.6451)	(29, 49.5713)	(30, 48.5056)	(31, 49.5974)	(32, 49.3697)	(33, 48.4777)	(34, 49.8928)	(35, 49.5614)	(36, 48.5817)	(37, 49.729600000000005)	(38, 49.520399999999995)	(39, 48.2705)	(40, 49.5316)	(41, 49.289500000000004)	(42, 48.3947)	(43, 49.540099999999995)	(44, 49.236200000000004)	(45, 48.3776)	(46, 49.607600000000005)	(47, 49.2537)	(48, 48.2506)	(49, 49.7)	(50, 49.3072)	(51, 48.5715)	(52, 49.682500000000005)	(53, 49.3247)	(54, 48.3321)	(55, 49.5499)	(56, 49.186800000000005)	(57, 48.4285)	(58, 49.5377)	(59, 49.349399999999996)	(60, 48.280899999999995)	(61, 49.607299999999995)	(62, 49.2118)	(63, 48.2947)	(64, 49.531)	(65, 49.1867)	(66, 48.3972)	(67, 49.548199999999994)	(68, 49.3394)	(69, 48.2134)	(70, 49.492999999999995)	(71, 49.1183)	(72, 48.3386)	(73, 49.4565)	(74, 49.0975)	(75, 48.3178)	(76, 49.273)	(77, 49.215599999999995)	(78, 48.3228)	(79, 49.6042)	(80, 49.2491)	(81, 48.4194)	(82, 49.466100000000004)	(83, 49.1648)	(84, 48.484100000000005)	(85, 49.527100000000004)	(86, 49.2779)	(87, 48.4137)	(88, 49.5717)	(89, 49.135400000000004)	(90, 48.4547)	(91, 49.5215)	(92, 49.216100000000004)	(93, 48.5983)	(94, 49.5728)	(95, 49.478699999999996)	(96, 48.5768)	(97, 49.834)	(98, 49.618)	(99, 48.7132)	(100, 49.956)	(101, 49.619)
41_GTCCGC_L001_combined	(1, 73.1983)	(2, 43.9863)	(3, 47.4802)	(4, 47.1801)	(5, 47.2893)	(6, 44.392199999999995)	(7, 46.861599999999996)	(8, 50.0105)	(9, 48.7302)	(10, 44.6855)	(11, 53.82019999999999)	(12, 52.3541)	(13, 50.738099999999996)	(14, 49.4411)	(15, 48.8041)	(16, 50.750499999999995)	(17, 50.4553)	(18, 49.1512)	(19, 50.583299999999994)	(20, 50.1468)	(21, 48.925200000000004)	(22, 50.1092)	(23, 49.6315)	(24, 48.6909)	(25, 50.0633)	(26, 49.7498)	(27, 48.6012)	(28, 50.0485)	(29, 49.8527)	(30, 48.768)	(31, 50.039699999999996)	(32, 49.6794)	(33, 48.807)	(34, 50.226400000000005)	(35, 49.830200000000005)	(36, 48.882)	(37, 50.0711)	(38, 49.878099999999996)	(39, 48.6372)	(40, 49.998)	(41, 49.6211)	(42, 48.6954)	(43, 49.9014)	(44, 49.6522)	(45, 48.6886)	(46, 49.9823)	(47, 49.5938)	(48, 48.6168)	(49, 50.1086)	(50, 49.7023)	(51, 48.9215)	(52, 50.0648)	(53, 49.5948)	(54, 48.6873)	(55, 49.945699999999995)	(56, 49.5393)	(57, 48.824)	(58, 49.8862)	(59, 49.6875)	(60, 48.6836)	(61, 49.9616)	(62, 49.5917)	(63, 48.6421)	(64, 49.864399999999996)	(65, 49.5537)	(66, 48.7106)	(67, 49.9528)	(68, 49.6346)	(69, 48.545)	(70, 49.929899999999996)	(71, 49.464200000000005)	(72, 48.715599999999995)	(73, 49.8419)	(74, 49.4523)	(75, 48.6497)	(76, 49.6786)	(77, 49.605199999999996)	(78, 48.654199999999996)	(79, 49.9501)	(80, 49.6548)	(81, 48.7213)	(82, 49.8101)	(83, 49.4753)	(84, 48.7526)	(85, 49.9519)	(86, 49.6)	(87, 48.7697)	(88, 49.911899999999996)	(89, 49.5577)	(90, 48.753600000000006)	(91, 49.8791)	(92, 49.574)	(93, 48.9082)	(94, 49.9574)	(95, 49.7515)	(96, 48.8546)	(97, 50.203900000000004)	(98, 49.9363)	(99, 49.0244)	(100, 50.2843)	(101, 50.047)
45_CGTACG_L001_combined	(1, 72.5117)	(2, 44.8892)	(3, 47.7384)	(4, 47.719)	(5, 47.6408)	(6, 44.4032)	(7, 46.875099999999996)	(8, 50.147299999999994)	(9, 48.8548)	(10, 44.7127)	(11, 53.8876)	(12, 52.444900000000004)	(13, 50.8186)	(14, 49.538700000000006)	(15, 48.8216)	(16, 50.7969)	(17, 50.478100000000005)	(18, 49.1253)	(19, 50.5773)	(20, 50.2493)	(21, 48.991800000000005)	(22, 50.1124)	(23, 49.7385)	(24, 48.6899)	(25, 50.0668)	(26, 49.8658)	(27, 48.6495)	(28, 50.061299999999996)	(29, 49.966300000000004)	(30, 48.7914)	(31, 50.041199999999996)	(32, 49.7926)	(33, 48.816900000000004)	(34, 50.21640000000001)	(35, 49.8879)	(36, 48.9195)	(37, 50.0544)	(38, 49.9882)	(39, 48.6845)	(40, 49.9881)	(41, 49.748799999999996)	(42, 48.728300000000004)	(43, 49.8904)	(44, 49.7412)	(45, 48.737)	(46, 49.9979)	(47, 49.7226)	(48, 48.6935)	(49, 50.100100000000005)	(50, 49.8069)	(51, 48.9549)	(52, 50.098299999999995)	(53, 49.7189)	(54, 48.7167)	(55, 49.9657)	(56, 49.6318)	(57, 48.843599999999995)	(58, 49.9294)	(59, 49.7729)	(60, 48.6971)	(61, 49.9853)	(62, 49.7247)	(63, 48.7036)	(64, 49.898199999999996)	(65, 49.6749)	(66, 48.770799999999994)	(67, 49.9622)	(68, 49.7469)	(69, 48.6224)	(70, 49.9506)	(71, 49.5901)	(72, 48.7446)	(73, 49.868)	(74, 49.5577)	(75, 48.706700000000005)	(76, 49.6988)	(77, 49.7051)	(78, 48.659)	(79, 49.9549)	(80, 49.7566)	(81, 48.7386)	(82, 49.830799999999996)	(83, 49.5557)	(84, 48.7573)	(85, 49.9079)	(86, 49.6624)	(87, 48.7416)	(88, 49.906299999999995)	(89, 49.5983)	(90, 48.7342)	(91, 49.8344)	(92, 49.6132)	(93, 48.8177)	(94, 49.919999999999995)	(95, 49.7888)	(96, 48.7846)	(97, 50.0951)	(98, 49.9426)	(99, 48.9137)	(100, 50.1676)	(101, 49.965399999999995)
