Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 0.011153099999999999)	(2, 0.0033804499999999997)	(3, 0.0139915)	(4, 0.000289065)	(5, 0.002987)	(6, 0.00124057)	(7, 0.00043359700000000003)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.42366e-05)	(12, 0.0)	(13, 0.0017102999999999999)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 4.01481e-05)	(19, 0.0)	(20, 3.21185e-05)	(21, 1.20445e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.000718655)	(26, 6.02226e-05)	(27, 0.0)	(28, 2.81039e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 8.03001e-06)	(34, 4.0150699999999995e-06)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 1.20475e-05)	(44, 2.00796e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.000124556)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.000245244)	(62, 2.0104999999999998e-05)	(63, 2.01084e-05)	(64, 0.000760244)	(65, 0.00180647)	(66, 0.0012877700000000001)	(67, 0.000140886)	(68, 0.00218637)	(69, 6.44445e-05)	(70, 1.2087600000000001e-05)	(71, 0.0)	(72, 4.03265e-06)	(73, 0.0)	(74, 4.0370600000000004e-06)	(75, 1.61586e-05)	(76, 8.08518e-05)	(77, 6.87788e-05)	(78, 0.00137274)	(79, 0.000518813)	(80, 0.000142016)	(81, 0.00149901)	(82, 0.0)	(83, 0.00016294499999999998)	(84, 0.0010118999999999998)	(85, 0.00020438299999999998)	(86, 0.0015687300000000002)	(87, 6.97843e-05)	(88, 0.000144013)	(89, 0.00179453)	(90, 0.000972133)	(91, 0.0)	(92, 0.000686827)	(93, 0.000660024)	(94, 2.0970700000000002e-05)	(95, 0.0)	(96, 1.26923e-05)	(97, 5.95671e-05)	(98, 0.000795448)	(99, 1.71981e-05)	(100, 0.0)	(101, 0.000165279)
17_ATCACG_L002_combined	(1, 0.009548280000000001)	(2, 0.00159665)	(3, 0.00686085)	(4, 0.00366228)	(5, 0.0064182200000000005)	(6, 0.0015281499999999998)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00017916200000000002)	(11, 0.00179162)	(12, 0.000542756)	(13, 0.0)	(14, 1.58084e-05)	(15, 0.0)	(16, 0.000295091)	(17, 5.269489999999999e-06)	(18, 0.0)	(19, 5.2695e-06)	(20, 0.00018970199999999998)	(21, 0.0)	(22, 0.0)	(23, 5.26952e-06)	(24, 0.0)	(25, 0.0)	(26, 0.000695579)	(27, 4.7425899999999996e-05)	(28, 0.000869475)	(29, 0.000189704)	(30, 0.0119672)	(31, 0.0)	(32, 0.000274022)	(33, 0.0)	(34, 0.0)	(35, 0.000137019)	(36, 0.0)	(37, 0.00130173)	(38, 0.0)	(39, 0.000189733)	(40, 0.0028776799999999996)	(41, 0.0023665)	(42, 0.00785337)	(43, 1.05417e-05)	(44, 0.00101731)	(45, 5.27118e-06)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 7.38079e-05)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 5.27325e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 5.28145e-06)	(65, 0.0)	(66, 1.58536e-05)	(67, 0.000248456)	(68, 0.00271287)	(69, 0.0014866)	(70, 0.00623488)	(71, 0.000651346)	(72, 0.00538862)	(73, 0.00259268)	(74, 1.5917599999999998e-05)	(75, 0.000122136)	(76, 0.00156266)	(77, 0.000111732)	(78, 5.32636e-06)	(79, 3.19969e-05)	(80, 0.000485937)	(81, 0.00102145)	(82, 0.000519592)	(83, 0.00066007)	(84, 0.000736675)	(85, 5.9280499999999996e-05)	(86, 2.16092e-05)	(87, 0.00308209)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 5.55623e-06)	(95, 5.58307e-06)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0001158)
1_ATCACG_L001_combined	(1, 0.0099192)	(2, 0.0039253)	(3, 0.017156499999999998)	(4, 0.000395876)	(5, 0.00258713)	(6, 0.00113745)	(7, 0.000518541)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 3.903e-05)	(12, 0.0)	(13, 0.0015333200000000001)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 5.57575e-05)	(19, 0.0)	(20, 3.3454599999999996e-05)	(21, 3.9030500000000005e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0007694609999999999)	(26, 3.3454900000000004e-05)	(27, 0.0)	(28, 1.11517e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 5.576e-06)	(34, 1.11521e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 2.23075e-05)	(44, 2.7885100000000002e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 8.92777e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.00021217599999999998)	(62, 2.2338200000000002e-05)	(63, 2.79281e-05)	(64, 0.0005866199999999999)	(65, 0.00154795)	(66, 0.00119621)	(67, 0.000128603)	(68, 0.0019241000000000002)	(69, 4.4762900000000005e-05)	(70, 5.59764e-06)	(71, 1.12004e-05)	(72, 5.6031199999999995e-06)	(73, 5.60644e-06)	(74, 0.0)	(75, 2.8071999999999998e-05)	(76, 8.9905e-05)	(77, 6.18657e-05)	(78, 0.00140745)	(79, 0.000586141)	(80, 0.00015235500000000001)	(81, 0.00154821)	(82, 0.0)	(83, 0.000153041)	(84, 0.00101078)	(85, 0.000210533)	(86, 0.00144286)	(87, 8.57539e-05)	(88, 0.000171956)	(89, 0.00137379)	(90, 0.0010031999999999999)	(91, 0.0)	(92, 0.000580495)	(93, 0.00045453700000000003)	(94, 2.34103e-05)	(95, 0.0)	(96, 1.77233e-05)	(97, 2.9716699999999996e-05)	(98, 0.0007469670000000001)	(99, 1.20197e-05)	(100, 0.0)	(101, 0.00017034399999999998)
21_ACAGTG_L002_combined	(1, 0.009928280000000001)	(2, 0.0021277899999999996)	(3, 0.007796310000000001)	(4, 0.0036201600000000003)	(5, 0.00602803)	(6, 0.0013251600000000001)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000204836)	(11, 0.0017390200000000002)	(12, 0.000564344)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.000317705)	(17, 4.18034e-06)	(18, 0.0)	(19, 0.0)	(20, 0.000213198)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 4.18037e-06)	(26, 0.000685582)	(27, 4.18038e-05)	(28, 0.000823535)	(29, 0.000209019)	(30, 0.0128589)	(31, 0.0)	(32, 0.000275912)	(33, 0.0)	(34, 0.0)	(35, 0.00015050599999999999)	(36, 0.0)	(37, 0.00113302)	(38, 0.0)	(39, 0.00021323299999999998)	(40, 0.00260066)	(41, 0.00230803)	(42, 0.00735492)	(43, 4.1814e-06)	(44, 0.0009742910000000001)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 7.10958e-05)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 8.36576e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 1.25569e-05)	(62, 0.0)	(63, 0.0)	(64, 8.375079999999999e-06)	(65, 0.0)	(66, 5.0271499999999995e-05)	(67, 0.000268178)	(68, 0.00241004)	(69, 0.00153448)	(70, 0.00588407)	(71, 0.000805529)	(72, 0.00502826)	(73, 0.0025237099999999998)	(74, 3.36115e-05)	(75, 0.00010509899999999999)	(76, 0.00149339)	(77, 0.00010103699999999999)	(78, 4.213310000000001e-06)	(79, 3.37362e-05)	(80, 0.000595195)	(81, 0.00127622)	(82, 0.000575421)	(83, 0.0007668610000000001)	(84, 0.000878348)	(85, 6.80062e-05)	(86, 2.55504e-05)	(87, 0.00280353)	(88, 0.0)	(89, 0.0)	(90, 4.29805e-06)	(91, 4.31022e-06)	(92, 0.0)	(93, 4.33821e-06)	(94, 4.35477e-06)	(95, 2.62317e-05)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 6.30983e-05)
25_GATCAG_L002_combined	(1, 0.00964787)	(2, 0.0020277)	(3, 0.0072293900000000005)	(4, 0.0037427800000000002)	(5, 0.00595285)	(6, 0.00137206)	(7, 4.3419799999999996e-06)	(8, 0.0)	(9, 0.0)	(10, 0.000147627)	(11, 0.0015761400000000002)	(12, 0.000646955)	(13, 0.0)	(14, 1.73679e-05)	(15, 0.0)	(16, 0.000221441)	(17, 4.34199e-06)	(18, 0.0)	(19, 0.0)	(20, 0.000269204)	(21, 4.34201e-06)	(22, 0.0)	(23, 4.34201e-06)	(24, 0.0)	(25, 4.34203e-06)	(26, 0.000603542)	(27, 6.07885e-05)	(28, 0.000716436)	(29, 0.000164998)	(30, 0.0121925)	(31, 0.0)	(32, 0.000234476)	(33, 0.0)	(34, 0.0)	(35, 0.000173698)	(36, 0.0)	(37, 0.00131147)	(38, 0.0)	(39, 0.000208456)	(40, 0.00277079)	(41, 0.00224101)	(42, 0.007557090000000001)	(43, 0.0)	(44, 0.00113798)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 9.1231e-05)	(50, 0.0)	(51, 4.34485e-06)	(52, 0.0)	(53, 4.34549e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 8.699599999999999e-06)	(62, 0.0)	(63, 8.703290000000001e-06)	(64, 0.0)	(65, 4.35402e-06)	(66, 1.74216e-05)	(67, 0.000318055)	(68, 0.00258901)	(69, 0.001609)	(70, 0.00612927)	(71, 0.0008991439999999999)	(72, 0.005262660000000001)	(73, 0.0025872)	(74, 4.37354e-06)	(75, 0.00010943)	(76, 0.00165176)	(77, 8.33308e-05)	(78, 0.0)	(79, 3.95652e-05)	(80, 0.00055467)	(81, 0.0013093900000000001)	(82, 0.000503414)	(83, 0.0007963060000000001)	(84, 0.0009442070000000001)	(85, 7.10848e-05)	(86, 2.22692e-05)	(87, 0.00297425)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 4.52383e-06)	(92, 0.0)	(93, 0.0)	(94, 1.83278e-05)	(95, 1.38132e-05)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 5.7322500000000006e-05)
29_AGTCAA_L002_combined	(1, 0.0108033)	(2, 0.00223339)	(3, 0.00909187)	(4, 0.00353406)	(5, 0.0058658600000000005)	(6, 0.00129639)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023103999999999998)	(11, 0.0014589800000000001)	(12, 0.000731628)	(13, 0.0)	(14, 1.28356e-05)	(15, 0.0)	(16, 0.000346561)	(17, 8.55708e-06)	(18, 0.0)	(19, 4.27855e-06)	(20, 0.00022676399999999999)	(21, 0.0)	(22, 0.0)	(23, 4.2785700000000004e-06)	(24, 0.0)	(25, 4.27858e-06)	(26, 0.000748753)	(27, 3.85073e-05)	(28, 0.00088567)	(29, 0.000231045)	(30, 0.0145944)	(31, 0.0)	(32, 0.000252444)	(33, 0.0)	(34, 0.0)	(35, 0.00013692699999999999)	(36, 0.0)	(37, 0.0011468099999999998)	(38, 0.0)	(39, 0.000184011)	(40, 0.00246923)	(41, 0.00210981)	(42, 0.007052869999999999)	(43, 4.2797799999999995e-06)	(44, 0.0009544229999999999)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 9.84592e-05)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 1.71282e-05)	(54, 4.28246e-06)	(55, 0.0)	(56, 4.28342e-06)	(57, 0.0)	(58, 4.28454e-06)	(59, 0.0)	(60, 0.0)	(61, 3.0007000000000003e-05)	(62, 0.0)	(63, 0.0)	(64, 8.57996e-06)	(65, 0.0)	(66, 8.5858e-06)	(67, 0.00023620399999999998)	(68, 0.0023201100000000002)	(69, 0.00136265)	(70, 0.00532448)	(71, 0.000679952)	(72, 0.00478012)	(73, 0.00229706)	(74, 1.29404e-05)	(75, 9.930610000000001e-05)	(76, 0.00145661)	(77, 0.00011251400000000001)	(78, 4.3330700000000005e-06)	(79, 6.07494e-05)	(80, 0.000660615)	(81, 0.00147589)	(82, 0.000593232)	(83, 0.000966062)	(84, 0.0010822899999999999)	(85, 9.225490000000001e-05)	(86, 2.2028699999999998e-05)	(87, 0.00253227)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 4.4856e-06)	(92, 4.50587e-06)	(93, 0.0)	(94, 1.3655099999999999e-05)	(95, 1.8307899999999998e-05)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 7.630669999999999e-05)
33_GTCCGC_L002_combined	(1, 0.00970311)	(2, 0.00226087)	(3, 0.00817356)	(4, 0.00336502)	(5, 0.00565457)	(6, 0.0012332)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000234213)	(11, 0.0014722000000000001)	(12, 0.0007934560000000001)	(13, 0.0)	(14, 1.9119400000000002e-05)	(15, 0.0)	(16, 0.00030591099999999997)	(17, 4.77987e-06)	(18, 0.0)	(19, 0.0)	(20, 0.000282013)	(21, 9.55978e-06)	(22, 4.7799e-06)	(23, 4.7799e-06)	(24, 0.0)	(25, 4.7799100000000005e-06)	(26, 0.000664408)	(27, 5.25791e-05)	(28, 0.000803027)	(29, 0.000267676)	(30, 0.0136515)	(31, 0.0)	(32, 0.000310702)	(33, 0.0)	(34, 0.0)	(35, 0.000205553)	(36, 0.0)	(37, 0.00129073)	(38, 0.0)	(39, 0.000248594)	(40, 0.00267722)	(41, 0.00224222)	(42, 0.0073292)	(43, 0.0)	(44, 0.00110445)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 6.694780000000001e-05)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 9.56608e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 4.79014e-06)	(65, 0.0)	(66, 1.4378300000000001e-05)	(67, 0.000215745)	(68, 0.00250832)	(69, 0.00155453)	(70, 0.00570729)	(71, 0.000749192)	(72, 0.00510313)	(73, 0.00233678)	(74, 4.8117e-06)	(75, 0.000158914)	(76, 0.00140258)	(77, 8.68435e-05)	(78, 0.0)	(79, 4.83564e-05)	(80, 0.000663373)	(81, 0.00134322)	(82, 0.0005974040000000001)	(83, 0.000861256)	(84, 0.0009019799999999999)	(85, 6.84094e-05)	(86, 1.4695300000000001e-05)	(87, 0.00264723)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 1.01253e-05)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.000110282)
37_CGTACG_L002_combined	(1, 0.0102562)	(2, 0.00227255)	(3, 0.00854751)	(4, 0.00317564)	(5, 0.00620712)	(6, 0.0013525100000000001)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000216232)	(11, 0.00133131)	(12, 0.000741971)	(13, 0.0)	(14, 8.479669999999999e-06)	(15, 0.0)	(16, 0.000356147)	(17, 0.0)	(18, 0.0)	(19, 4.23986e-06)	(20, 0.00030527)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 8.47976e-06)	(26, 0.000631743)	(27, 5.93584e-05)	(28, 0.000814059)	(29, 0.000262873)	(30, 0.013279399999999998)	(31, 0.0)	(32, 0.000250159)	(33, 0.0)	(34, 0.0)	(35, 0.000118726)	(36, 0.0)	(37, 0.00131876)	(38, 0.0)	(39, 0.00018658299999999999)	(40, 0.0027733600000000003)	(41, 0.00206947)	(42, 0.00755714)	(43, 4.24094e-06)	(44, 0.00108995)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 8.90791e-05)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 8.48581e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 8.493929999999999e-06)	(62, 0.0)	(63, 0.0)	(64, 4.24986e-06)	(65, 0.0)	(66, 2.1262500000000002e-05)	(67, 0.000233971)	(68, 0.00232788)	(69, 0.00136669)	(70, 0.00531182)	(71, 0.000703238)	(72, 0.00481057)	(73, 0.00229602)	(74, 1.70846e-05)	(75, 8.54997e-05)	(76, 0.00132228)	(77, 5.56907e-05)	(78, 4.28908e-06)	(79, 3.43576e-05)	(80, 0.000739778)	(81, 0.0014043999999999999)	(82, 0.000643034)	(83, 0.000886482)	(84, 0.000996773)	(85, 7.38534e-05)	(86, 1.3068000000000001e-05)	(87, 0.00255134)	(88, 4.38238e-06)	(89, 0.0)	(90, 8.82652e-06)	(91, 0.0)	(92, 0.0)	(93, 4.46937e-06)	(94, 0.0)	(95, 1.80614e-05)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 7.04525e-05)
41_GTCCGC_L001_combined	(1, 0.00999727)	(2, 0.00379568)	(3, 0.0152237)	(4, 0.000437438)	(5, 0.0026929700000000003)	(6, 0.00106625)	(7, 0.000492117)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 4.10098e-05)	(12, 0.0)	(13, 0.00145357)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 4.55666e-05)	(19, 4.55666e-06)	(20, 2.27833e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0010298100000000001)	(26, 4.10102e-05)	(27, 0.0)	(28, 4.55669e-06)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.557340000000001e-06)	(39, 4.55742e-06)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 4.10206e-05)	(44, 3.19058e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 5.47279e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 4.5632799999999994e-06)	(61, 0.000200818)	(62, 9.12979e-06)	(63, 4.56587e-06)	(64, 0.00065308)	(65, 0.0016582699999999999)	(66, 0.00119267)	(67, 0.000100564)	(68, 0.00198459)	(69, 5.48959e-05)	(70, 1.8306900000000003e-05)	(71, 0.0)	(72, 4.58163e-06)	(73, 0.0)	(74, 0.0)	(75, 1.3775e-05)	(76, 5.5149600000000005e-05)	(77, 6.44061e-05)	(78, 0.00145995)	(79, 0.000617889)	(80, 0.000124668)	(81, 0.00160923)	(82, 4.63167e-06)	(83, 0.000139202)	(84, 0.0009531340000000001)	(85, 0.000214352)	(86, 0.0017470799999999998)	(87, 0.00010304699999999999)	(88, 0.000192597)	(89, 0.00149847)	(90, 0.0008793830000000001)	(91, 0.0)	(92, 0.000628796)	(93, 0.000564479)	(94, 3.36435e-05)	(95, 0.0)	(96, 2.4278e-05)	(97, 5.3756500000000006e-05)	(98, 0.000840683)	(99, 1.4840600000000002e-05)	(100, 0.0)	(101, 0.000125338)
45_CGTACG_L001_combined	(1, 0.0104021)	(2, 0.00365232)	(3, 0.015107299999999999)	(4, 0.000340766)	(5, 0.0027305)	(6, 0.00120142)	(7, 0.000441249)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 9.61136e-05)	(12, 0.0)	(13, 0.0017082)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 3.93193e-05)	(19, 0.0)	(20, 4.8057000000000004e-05)	(21, 2.18441e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.000882506)	(26, 3.49507e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 2.18456e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 2.18491e-05)	(44, 3.93291e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 7.43174e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 8.7456e-06)	(60, 0.0)	(61, 0.00025367)	(62, 1.74964e-05)	(63, 2.6247899999999996e-05)	(64, 0.000695668)	(65, 0.00168912)	(66, 0.00120798)	(67, 0.000161971)	(68, 0.00210609)	(69, 4.81762e-05)	(70, 4.38084e-06)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 1.3168600000000001e-05)	(76, 0.00010979900000000001)	(77, 6.15257e-05)	(78, 0.00146883)	(79, 0.0005985280000000001)	(80, 0.000176187)	(81, 0.00167089)	(82, 0.0)	(83, 0.000172308)	(84, 0.0010130500000000001)	(85, 0.000256944)	(86, 0.0015041800000000001)	(87, 0.000111119)	(88, 0.000173673)	(89, 0.00135653)	(90, 0.000997294)	(91, 0.0)	(92, 0.000615787)	(93, 0.000540921)	(94, 2.2611400000000002e-05)	(95, 0.0)	(96, 2.73255e-05)	(97, 4.57594e-05)	(98, 0.000840904)	(99, 9.2308e-06)	(100, 0.0)	(101, 0.00010251299999999999)
