Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 0.6184310000000001)	(2, 0.186234)	(3, 0.17665)	(4, 0.193428)	(5, 0.182451)	(6, 0.14435299999999998)	(7, 0.143436)	(8, 0.144556)	(9, 0.146955)	(10, 0.165541)	(11, 0.16829)	(12, 0.17108600000000002)	(13, 0.154455)	(14, 0.136573)	(15, 0.147623)	(16, 0.14208700000000002)	(17, 0.181421)	(18, 0.156691)	(19, 0.15745699999999999)	(20, 0.171105)	(21, 0.170148)	(22, 0.164635)	(23, 0.171016)	(24, 0.174573)	(25, 0.172268)	(26, 0.160879)	(27, 0.16014)	(28, 0.177964)	(29, 0.188062)	(30, 0.190519)	(31, 0.191239)	(32, 0.180021)	(33, 0.18066200000000002)	(34, 0.174449)	(35, 0.174628)	(36, 0.1774)	(37, 0.174562)	(38, 0.175981)	(39, 0.16664500000000002)	(40, 0.17258600000000002)	(41, 0.183501)	(42, 0.171494)	(43, 0.168049)	(44, 0.17315)	(45, 0.166633)	(46, 0.166521)	(47, 0.164658)	(48, 0.155602)	(49, 0.141391)	(50, 0.148117)	(51, 0.154416)	(52, 0.168585)	(53, 0.158857)	(54, 0.171226)	(55, 0.171595)	(56, 0.16395400000000002)	(57, 0.170067)	(58, 0.17614)	(59, 0.16761700000000002)	(60, 0.171389)	(61, 0.176599)	(62, 0.163445)	(63, 0.171758)	(64, 0.163985)	(65, 0.164055)	(66, 0.14709899999999998)	(67, 0.16145)	(68, 0.15981299999999998)	(69, 0.164612)	(70, 0.162539)	(71, 0.163655)	(72, 0.178143)	(73, 0.171525)	(74, 0.18049500000000002)	(75, 0.184329)	(76, 0.180476)	(77, 0.180919)	(78, 0.180896)	(79, 0.164701)	(80, 0.16747299999999998)	(81, 0.159413)	(82, 0.158833)	(83, 0.17077399999999998)	(84, 0.153608)	(85, 0.151372)	(86, 0.162298)	(87, 0.166015)	(88, 0.17018)	(89, 0.16264800000000001)	(90, 0.16292800000000002)	(91, 0.171105)	(92, 0.16974)	(93, 0.16394999999999998)	(94, 0.15685)	(95, 0.15498800000000001)	(96, 0.17524599999999999)	(97, 0.167652)	(98, 0.178753)	(99, 0.164938)	(100, 0.17783600000000002)	(101, 0.16860899999999998)
17_ATCACG_L002_combined	(1, 0.440113)	(2, 0.211162)	(3, 0.202469)	(4, 0.199563)	(5, 0.196559)	(6, 0.15876300000000002)	(7, 0.157794)	(8, 0.150121)	(9, 0.16016)	(10, 0.171622)	(11, 0.177205)	(12, 0.18341)	(13, 0.165508)	(14, 0.164055)	(15, 0.186602)	(16, 0.161277)	(17, 0.18473599999999998)	(18, 0.153012)	(19, 0.145323)	(20, 0.147852)	(21, 0.14099399999999998)	(22, 0.141942)	(23, 0.135702)	(24, 0.13473300000000002)	(25, 0.137935)	(26, 0.185256)	(27, 0.131791)	(28, 0.143712)	(29, 0.142386)	(30, 0.15372999999999998)	(31, 0.15188000000000001)	(32, 0.154312)	(33, 0.149341)	(34, 0.140872)	(35, 0.141132)	(36, 0.140148)	(37, 0.13161699999999998)	(38, 0.129741)	(39, 0.138511)	(40, 0.140673)	(41, 0.137833)	(42, 0.129547)	(43, 0.130231)	(44, 0.130343)	(45, 0.130266)	(46, 0.14011200000000001)	(47, 0.147367)	(48, 0.142213)	(49, 0.13034800000000002)	(50, 0.128966)	(51, 0.123679)	(52, 0.128747)	(53, 0.13538)	(54, 0.13069)	(55, 0.1356)	(56, 0.13813899999999998)	(57, 0.136997)	(58, 0.138582)	(59, 0.14413)	(60, 0.146954)	(61, 0.144956)	(62, 0.150942)	(63, 0.152007)	(64, 0.15340900000000002)	(65, 0.147362)	(66, 0.14682199999999998)	(67, 0.149249)	(68, 0.152593)	(69, 0.160338)	(70, 0.14955000000000002)	(71, 0.14441)	(72, 0.149514)	(73, 0.143334)	(74, 0.15532600000000002)	(75, 0.146965)	(76, 0.15146700000000002)	(77, 0.143722)	(78, 0.14156)	(79, 0.148775)	(80, 0.145353)	(81, 0.14111600000000002)	(82, 0.153909)	(83, 0.156448)	(84, 0.14660800000000002)	(85, 0.152492)	(86, 0.163627)	(87, 0.18029)	(88, 0.162913)	(89, 0.178903)	(90, 0.170352)	(91, 0.163265)	(92, 0.171535)	(93, 0.15549)	(94, 0.167303)	(95, 0.162001)	(96, 0.154592)	(97, 0.15204299999999998)	(98, 0.158202)	(99, 0.159201)	(100, 0.151105)	(101, 0.171443)
1_ATCACG_L001_combined	(1, 0.698367)	(2, 0.20580400000000001)	(3, 0.19423400000000002)	(4, 0.21174800000000002)	(5, 0.20160199999999998)	(6, 0.157283)	(7, 0.15810100000000002)	(8, 0.15914)	(9, 0.161262)	(10, 0.178685)	(11, 0.182242)	(12, 0.184234)	(13, 0.16917200000000002)	(14, 0.15097000000000002)	(15, 0.160223)	(16, 0.156357)	(17, 0.193243)	(18, 0.171766)	(19, 0.173525)	(20, 0.186584)	(21, 0.186243)	(22, 0.181912)	(23, 0.192702)	(24, 0.196898)	(25, 0.192501)	(26, 0.179811)	(27, 0.178484)	(28, 0.197623)	(29, 0.20817499999999997)	(30, 0.21131000000000003)	(31, 0.21088700000000002)	(32, 0.198809)	(33, 0.20090400000000003)	(34, 0.194093)	(35, 0.194093)	(36, 0.19709800000000002)	(37, 0.19342199999999998)	(38, 0.19478600000000001)	(39, 0.18497)	(40, 0.190352)	(41, 0.20186800000000002)	(42, 0.187905)	(43, 0.184754)	(44, 0.191895)	(45, 0.18529)	(46, 0.185701)	(47, 0.184646)	(48, 0.173985)	(49, 0.157516)	(50, 0.163775)	(51, 0.169903)	(52, 0.18775899999999998)	(53, 0.177088)	(54, 0.190422)	(55, 0.189832)	(56, 0.181148)	(57, 0.18904200000000002)	(58, 0.194055)	(59, 0.184158)	(60, 0.187472)	(61, 0.192886)	(62, 0.176276)	(63, 0.184364)	(64, 0.17630300000000002)	(65, 0.179205)	(66, 0.158469)	(67, 0.174175)	(68, 0.17574)	(69, 0.18134799999999998)	(70, 0.178122)	(71, 0.17888500000000002)	(72, 0.196443)	(73, 0.187851)	(74, 0.19569)	(75, 0.200211)	(76, 0.19742800000000002)	(77, 0.199236)	(78, 0.19736900000000002)	(79, 0.182724)	(80, 0.182502)	(81, 0.172567)	(82, 0.175014)	(83, 0.185133)	(84, 0.163623)	(85, 0.16496)	(86, 0.175463)	(87, 0.179448)	(88, 0.18204700000000001)	(89, 0.17513299999999998)	(90, 0.173368)	(91, 0.182301)	(92, 0.18093700000000001)	(93, 0.17641600000000002)	(94, 0.168517)	(95, 0.166503)	(96, 0.188582)	(97, 0.181116)	(98, 0.192577)	(99, 0.17940499999999998)	(100, 0.19314)	(101, 0.184483)
21_ACAGTG_L002_combined	(1, 0.47785700000000003)	(2, 0.225633)	(3, 0.21652300000000002)	(4, 0.21351)	(5, 0.209913)	(6, 0.163957)	(7, 0.161295)	(8, 0.15398)	(9, 0.164525)	(10, 0.175692)	(11, 0.181543)	(12, 0.18835)	(13, 0.170252)	(14, 0.168707)	(15, 0.189927)	(16, 0.164481)	(17, 0.187971)	(18, 0.1569)	(19, 0.148366)	(20, 0.15090699999999999)	(21, 0.143801)	(22, 0.145084)	(23, 0.138507)	(24, 0.137607)	(25, 0.140301)	(26, 0.193722)	(27, 0.133905)	(28, 0.14590199999999998)	(29, 0.144681)	(30, 0.156521)	(31, 0.15465299999999998)	(32, 0.156266)	(33, 0.15168099999999998)	(34, 0.14332999999999999)	(35, 0.14368899999999998)	(36, 0.143152)	(37, 0.134619)	(38, 0.133353)	(39, 0.14149099999999998)	(40, 0.143104)	(41, 0.140902)	(42, 0.131937)	(43, 0.13267500000000002)	(44, 0.132796)	(45, 0.132712)	(46, 0.142455)	(47, 0.150931)	(48, 0.146439)	(49, 0.132683)	(50, 0.131433)	(51, 0.12650899999999998)	(52, 0.131885)	(53, 0.138067)	(54, 0.133651)	(55, 0.138333)	(56, 0.140942)	(57, 0.139587)	(58, 0.141091)	(59, 0.146507)	(60, 0.149318)	(61, 0.146624)	(62, 0.15298)	(63, 0.153698)	(64, 0.15523399999999998)	(65, 0.148959)	(66, 0.148112)	(67, 0.15112899999999999)	(68, 0.154222)	(69, 0.16388799999999998)	(70, 0.15112899999999999)	(71, 0.146447)	(72, 0.151822)	(73, 0.14535800000000001)	(74, 0.159065)	(75, 0.148879)	(76, 0.15303999999999998)	(77, 0.14602700000000002)	(78, 0.14413600000000001)	(79, 0.15051599999999998)	(80, 0.14735399999999998)	(81, 0.143612)	(82, 0.158117)	(83, 0.161251)	(84, 0.149363)	(85, 0.15454500000000002)	(86, 0.16801)	(87, 0.184011)	(88, 0.165219)	(89, 0.18330200000000002)	(90, 0.173825)	(91, 0.166328)	(92, 0.176208)	(93, 0.158561)	(94, 0.17150200000000002)	(95, 0.164997)	(96, 0.15729100000000001)	(97, 0.155093)	(98, 0.16075499999999998)	(99, 0.161392)	(100, 0.15315299999999998)	(101, 0.174986)
25_GATCAG_L002_combined	(1, 0.45988)	(2, 0.219058)	(3, 0.21073)	(4, 0.20745300000000003)	(5, 0.204501)	(6, 0.161713)	(7, 0.159268)	(8, 0.152194)	(9, 0.162758)	(10, 0.173632)	(11, 0.18018699999999999)	(12, 0.186671)	(13, 0.168084)	(14, 0.166717)	(15, 0.188218)	(16, 0.163645)	(17, 0.186588)	(18, 0.155589)	(19, 0.146592)	(20, 0.149355)	(21, 0.142491)	(22, 0.143482)	(23, 0.136784)	(24, 0.13589800000000002)	(25, 0.138695)	(26, 0.188916)	(27, 0.132457)	(28, 0.144556)	(29, 0.142863)	(30, 0.15493600000000002)	(31, 0.153143)	(32, 0.155012)	(33, 0.150175)	(34, 0.14177199999999998)	(35, 0.14206)	(36, 0.1414)	(37, 0.132913)	(38, 0.131153)	(39, 0.139698)	(40, 0.141245)	(41, 0.139025)	(42, 0.130451)	(43, 0.131019)	(44, 0.130923)	(45, 0.13084800000000002)	(46, 0.14035)	(47, 0.147708)	(48, 0.143172)	(49, 0.130768)	(50, 0.129418)	(51, 0.124138)	(52, 0.12928900000000002)	(53, 0.13553)	(54, 0.131467)	(55, 0.135969)	(56, 0.138946)	(57, 0.137729)	(58, 0.138967)	(59, 0.14463099999999998)	(60, 0.147462)	(61, 0.14472300000000002)	(62, 0.151065)	(63, 0.151906)	(64, 0.15345599999999998)	(65, 0.147324)	(66, 0.146776)	(67, 0.14977300000000002)	(68, 0.152528)	(69, 0.16104400000000002)	(70, 0.149661)	(71, 0.14466500000000002)	(72, 0.149899)	(73, 0.143958)	(74, 0.156111)	(75, 0.147165)	(76, 0.151567)	(77, 0.144347)	(78, 0.142407)	(79, 0.149004)	(80, 0.145835)	(81, 0.14199799999999999)	(82, 0.155221)	(83, 0.15775)	(84, 0.147135)	(85, 0.152261)	(86, 0.164957)	(87, 0.18108200000000002)	(88, 0.163511)	(89, 0.180685)	(90, 0.171638)	(91, 0.164422)	(92, 0.17326)	(93, 0.15643300000000002)	(94, 0.168737)	(95, 0.163185)	(96, 0.155689)	(97, 0.15339799999999998)	(98, 0.15862400000000001)	(99, 0.16025)	(100, 0.152257)	(101, 0.172616)
29_AGTCAA_L002_combined	(1, 0.537774)	(2, 0.24876099999999998)	(3, 0.23841600000000002)	(4, 0.235673)	(5, 0.232066)	(6, 0.171844)	(7, 0.167981)	(8, 0.160197)	(9, 0.171399)	(10, 0.181493)	(11, 0.18804099999999999)	(12, 0.194643)	(13, 0.176547)	(14, 0.17506)	(15, 0.194309)	(16, 0.17032)	(17, 0.19271100000000002)	(18, 0.164793)	(19, 0.156944)	(20, 0.158352)	(21, 0.151084)	(22, 0.152578)	(23, 0.146055)	(24, 0.145211)	(25, 0.147525)	(26, 0.211791)	(27, 0.141595)	(28, 0.153229)	(29, 0.152101)	(30, 0.16414299999999998)	(31, 0.161585)	(32, 0.16308799999999998)	(33, 0.158785)	(34, 0.150367)	(35, 0.151067)	(36, 0.150795)	(37, 0.141941)	(38, 0.14075100000000001)	(39, 0.149185)	(40, 0.15075)	(41, 0.148575)	(42, 0.139746)	(43, 0.140788)	(44, 0.140981)	(45, 0.140681)	(46, 0.15040800000000001)	(47, 0.160572)	(48, 0.155877)	(49, 0.14061500000000002)	(50, 0.13936300000000001)	(51, 0.134755)	(52, 0.140232)	(53, 0.145479)	(54, 0.142106)	(55, 0.146117)	(56, 0.14809)	(57, 0.14729899999999999)	(58, 0.149123)	(59, 0.154345)	(60, 0.156565)	(61, 0.153678)	(62, 0.15981800000000002)	(63, 0.160638)	(64, 0.162631)	(65, 0.156161)	(66, 0.155255)	(67, 0.158517)	(68, 0.16119)	(69, 0.17256000000000002)	(70, 0.158406)	(71, 0.15367)	(72, 0.15958)	(73, 0.153064)	(74, 0.167705)	(75, 0.15687800000000002)	(76, 0.160819)	(77, 0.153859)	(78, 0.15145)	(79, 0.157475)	(80, 0.154872)	(81, 0.151092)	(82, 0.16731000000000001)	(83, 0.169991)	(84, 0.156614)	(85, 0.161182)	(86, 0.176658)	(87, 0.19321)	(88, 0.173368)	(89, 0.19245600000000002)	(90, 0.181794)	(91, 0.17499)	(92, 0.185768)	(93, 0.167594)	(94, 0.180883)	(95, 0.173989)	(96, 0.165798)	(97, 0.163554)	(98, 0.168788)	(99, 0.169183)	(100, 0.160551)	(101, 0.184928)
33_GTCCGC_L002_combined	(1, 0.509534)	(2, 0.237273)	(3, 0.22713899999999998)	(4, 0.224333)	(5, 0.22112400000000001)	(6, 0.166859)	(7, 0.16308)	(8, 0.155861)	(9, 0.166826)	(10, 0.17693699999999998)	(11, 0.18401800000000001)	(12, 0.190938)	(13, 0.172786)	(14, 0.170477)	(15, 0.191016)	(16, 0.166321)	(17, 0.188697)	(18, 0.15983799999999998)	(19, 0.151789)	(20, 0.153487)	(21, 0.146641)	(22, 0.14824400000000001)	(23, 0.14154899999999998)	(24, 0.140608)	(25, 0.143014)	(26, 0.202871)	(27, 0.13700299999999999)	(28, 0.148809)	(29, 0.14755000000000001)	(30, 0.159553)	(31, 0.15728)	(32, 0.15848299999999998)	(33, 0.154305)	(34, 0.146416)	(35, 0.146646)	(36, 0.146274)	(37, 0.137655)	(38, 0.136333)	(39, 0.14517200000000002)	(40, 0.146439)	(41, 0.144107)	(42, 0.135483)	(43, 0.136636)	(44, 0.136452)	(45, 0.1362)	(46, 0.14577299999999999)	(47, 0.155163)	(48, 0.150466)	(49, 0.13619)	(50, 0.13496)	(51, 0.130244)	(52, 0.13542400000000002)	(53, 0.14144299999999999)	(54, 0.137292)	(55, 0.141622)	(56, 0.143523)	(57, 0.142982)	(58, 0.14429499999999998)	(59, 0.149897)	(60, 0.15230300000000002)	(61, 0.149245)	(62, 0.155503)	(63, 0.156518)	(64, 0.158249)	(65, 0.151894)	(66, 0.151316)	(67, 0.15447)	(68, 0.157372)	(69, 0.167474)	(70, 0.153933)	(71, 0.149249)	(72, 0.154796)	(73, 0.148478)	(74, 0.16292299999999998)	(75, 0.152179)	(76, 0.156018)	(77, 0.149125)	(78, 0.146986)	(79, 0.153116)	(80, 0.150315)	(81, 0.146251)	(82, 0.161812)	(83, 0.164618)	(84, 0.151908)	(85, 0.156752)	(86, 0.171547)	(87, 0.18795800000000001)	(88, 0.168874)	(89, 0.186924)	(90, 0.177892)	(91, 0.17059200000000002)	(92, 0.180381)	(93, 0.163043)	(94, 0.17555500000000002)	(95, 0.169655)	(96, 0.161385)	(97, 0.158469)	(98, 0.164182)	(99, 0.165137)	(100, 0.155724)	(101, 0.179293)
37_CGTACG_L002_combined	(1, 0.50994)	(2, 0.237224)	(3, 0.227033)	(4, 0.22447299999999998)	(5, 0.22070599999999999)	(6, 0.16786399999999999)	(7, 0.16395500000000002)	(8, 0.156674)	(9, 0.167208)	(10, 0.177583)	(11, 0.18384499999999998)	(12, 0.191374)	(13, 0.172707)	(14, 0.170963)	(15, 0.191305)	(16, 0.166747)	(17, 0.189927)	(18, 0.159935)	(19, 0.15143500000000001)	(20, 0.153258)	(21, 0.146213)	(22, 0.14762799999999998)	(23, 0.141244)	(24, 0.140412)	(25, 0.14307)	(26, 0.201912)	(27, 0.13662100000000002)	(28, 0.148794)	(29, 0.147587)	(30, 0.159613)	(31, 0.15753799999999998)	(32, 0.158753)	(33, 0.15455)	(34, 0.146474)	(35, 0.146886)	(36, 0.146633)	(37, 0.137827)	(38, 0.136466)	(39, 0.14505500000000002)	(40, 0.146421)	(41, 0.144289)	(42, 0.135231)	(43, 0.136303)	(44, 0.136657)	(45, 0.13633499999999998)	(46, 0.145683)	(47, 0.155043)	(48, 0.150261)	(49, 0.13628200000000001)	(50, 0.13508)	(51, 0.130269)	(52, 0.13572)	(53, 0.141456)	(54, 0.137648)	(55, 0.14177)	(56, 0.143714)	(57, 0.14295200000000002)	(58, 0.144587)	(59, 0.149964)	(60, 0.152185)	(61, 0.149311)	(62, 0.155695)	(63, 0.156535)	(64, 0.158264)	(65, 0.151802)	(66, 0.151134)	(67, 0.15428499999999998)	(68, 0.15702)	(69, 0.167432)	(70, 0.15425599999999998)	(71, 0.149621)	(72, 0.155096)	(73, 0.148614)	(74, 0.16265400000000002)	(75, 0.152116)	(76, 0.156299)	(77, 0.14893599999999999)	(78, 0.147143)	(79, 0.153539)	(80, 0.150257)	(81, 0.146759)	(82, 0.161656)	(83, 0.164636)	(84, 0.152287)	(85, 0.157277)	(86, 0.171684)	(87, 0.188048)	(88, 0.169099)	(89, 0.187697)	(90, 0.177819)	(91, 0.170645)	(92, 0.180404)	(93, 0.16275199999999998)	(94, 0.175797)	(95, 0.169405)	(96, 0.161607)	(97, 0.158427)	(98, 0.164468)	(99, 0.165178)	(100, 0.155744)	(101, 0.179364)
41_GTCCGC_L001_combined	(1, 0.645779)	(2, 0.192017)	(3, 0.181978)	(4, 0.198947)	(5, 0.187413)	(6, 0.14809)	(7, 0.14746099999999998)	(8, 0.14856)	(9, 0.151133)	(10, 0.169297)	(11, 0.17247600000000002)	(12, 0.175422)	(13, 0.159078)	(14, 0.14112)	(15, 0.151067)	(16, 0.14647200000000002)	(17, 0.184718)	(18, 0.16125499999999998)	(19, 0.162424)	(20, 0.17623999999999998)	(21, 0.175308)	(22, 0.169934)	(23, 0.177871)	(24, 0.181591)	(25, 0.178786)	(26, 0.166826)	(27, 0.165735)	(28, 0.183952)	(29, 0.19434700000000002)	(30, 0.19708199999999998)	(31, 0.197087)	(32, 0.186199)	(33, 0.187123)	(34, 0.180575)	(35, 0.18052700000000002)	(36, 0.183829)	(37, 0.180118)	(38, 0.181842)	(39, 0.172538)	(40, 0.17769100000000002)	(41, 0.1894)	(42, 0.177242)	(43, 0.17347)	(44, 0.17959899999999998)	(45, 0.17269600000000002)	(46, 0.172436)	(47, 0.171267)	(48, 0.161219)	(49, 0.146815)	(50, 0.15363)	(51, 0.159878)	(52, 0.17478000000000002)	(53, 0.164618)	(54, 0.177546)	(55, 0.17769100000000002)	(56, 0.16939800000000002)	(57, 0.17680300000000002)	(58, 0.181719)	(59, 0.173386)	(60, 0.177058)	(61, 0.181943)	(62, 0.167424)	(63, 0.176002)	(64, 0.16808800000000002)	(65, 0.16864200000000001)	(66, 0.150372)	(67, 0.16541399999999998)	(68, 0.16468)	(69, 0.169825)	(70, 0.16786800000000002)	(71, 0.168615)	(72, 0.183983)	(73, 0.176776)	(74, 0.186032)	(75, 0.189783)	(76, 0.186278)	(77, 0.186547)	(78, 0.186551)	(79, 0.170603)	(80, 0.17266499999999999)	(81, 0.16440300000000002)	(82, 0.164517)	(83, 0.175923)	(84, 0.1568)	(85, 0.155345)	(86, 0.165608)	(87, 0.16957)	(88, 0.172788)	(89, 0.165436)	(90, 0.165511)	(91, 0.17364100000000002)	(92, 0.1727)	(93, 0.167125)	(94, 0.1595)	(95, 0.158005)	(96, 0.178601)	(97, 0.171614)	(98, 0.182849)	(99, 0.168712)	(100, 0.18223799999999998)	(101, 0.17284100000000002)
45_CGTACG_L001_combined	(1, 0.654644)	(2, 0.19556099999999998)	(3, 0.185187)	(4, 0.202541)	(5, 0.191344)	(6, 0.150881)	(7, 0.150472)	(8, 0.15118)	(9, 0.153883)	(10, 0.171477)	(11, 0.174843)	(12, 0.176939)	(13, 0.161023)	(14, 0.14292300000000002)	(15, 0.15279099999999998)	(16, 0.148507)	(17, 0.186608)	(18, 0.163667)	(19, 0.165219)	(20, 0.17841)	(21, 0.177575)	(22, 0.172776)	(23, 0.180405)	(24, 0.184044)	(25, 0.181198)	(26, 0.169432)	(27, 0.16836900000000002)	(28, 0.186794)	(29, 0.196962)	(30, 0.19983800000000002)	(31, 0.199812)	(32, 0.188793)	(33, 0.189738)	(34, 0.18326399999999998)	(35, 0.183108)	(36, 0.186676)	(37, 0.183159)	(38, 0.184323)	(39, 0.174944)	(40, 0.18049400000000002)	(41, 0.19184600000000002)	(42, 0.17921600000000001)	(43, 0.17547100000000002)	(44, 0.181902)	(45, 0.17489300000000002)	(46, 0.175125)	(47, 0.17343)	(48, 0.163482)	(49, 0.149034)	(50, 0.15559599999999998)	(51, 0.161938)	(52, 0.17712)	(53, 0.167058)	(54, 0.179962)	(55, 0.179891)	(56, 0.172102)	(57, 0.178722)	(58, 0.184255)	(59, 0.175635)	(60, 0.17913099999999998)	(61, 0.184002)	(62, 0.169407)	(63, 0.17798899999999998)	(64, 0.169997)	(65, 0.171275)	(66, 0.152555)	(67, 0.167686)	(68, 0.16745)	(69, 0.17257)	(70, 0.170124)	(71, 0.17121599999999998)	(72, 0.186735)	(73, 0.17949400000000001)	(74, 0.188034)	(75, 0.192065)	(76, 0.188645)	(77, 0.18928599999999998)	(78, 0.188776)	(79, 0.172915)	(80, 0.17459000000000002)	(81, 0.165788)	(82, 0.16669899999999999)	(83, 0.177415)	(84, 0.158729)	(85, 0.157729)	(86, 0.16825500000000002)	(87, 0.171954)	(88, 0.17555500000000002)	(89, 0.16777899999999998)	(90, 0.16769)	(91, 0.175792)	(92, 0.174632)	(93, 0.169478)	(94, 0.161917)	(95, 0.15995600000000001)	(96, 0.181354)	(97, 0.173961)	(98, 0.184808)	(99, 0.171338)	(100, 0.184732)	(101, 0.17552600000000002)
