Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 34.095)	(2, 34.0594)	(3, 34.0426)	(4, 36.3504)	(5, 36.5389)	(6, 37.2075)	(7, 37.2009)	(8, 37.1822)	(9, 37.1824)	(10, 37.1899)	(11, 37.1666)	(12, 37.1499)	(13, 37.1361)	(14, 38.5283)	(15, 38.5252)	(16, 38.5269)	(17, 38.5151)	(18, 38.5101)	(19, 38.5386)	(20, 38.5271)	(21, 38.5252)	(22, 38.5234)	(23, 38.5098)	(24, 38.4979)	(25, 38.4972)	(26, 38.4553)	(27, 38.4434)	(28, 38.4388)	(29, 38.4225)	(30, 38.4105)	(31, 38.3692)	(32, 38.3759)	(33, 38.3246)	(34, 38.341)	(35, 38.3135)	(36, 38.302)	(37, 38.2892)	(38, 38.2741)	(39, 38.2785)	(40, 38.2679)	(41, 38.2641)	(42, 38.2424)	(43, 38.2395)	(44, 38.2329)	(45, 38.2058)	(46, 38.1875)	(47, 38.1514)	(48, 38.1297)	(49, 38.0865)	(50, 38.059)	(51, 38.0171)	(52, 37.968)	(53, 37.9386)	(54, 37.8778)	(55, 37.8396)	(56, 37.798)	(57, 37.7465)	(58, 37.6993)	(59, 37.661)	(60, 37.6067)	(61, 37.5432)	(62, 37.4472)	(63, 37.4003)	(64, 37.3285)	(65, 37.2813)	(66, 37.1895)	(67, 37.1041)	(68, 37.0299)	(69, 36.9632)	(70, 36.8724)	(71, 36.7766)	(72, 36.6843)	(73, 36.6295)	(74, 36.5675)	(75, 36.5086)	(76, 36.4319)	(77, 36.3574)	(78, 36.2877)	(79, 36.2443)	(80, 36.1918)	(81, 36.1273)	(82, 36.0818)	(83, 36.0387)	(84, 35.9728)	(85, 35.9534)	(86, 35.9122)	(87, 35.8773)	(88, 35.8656)	(89, 35.8338)	(90, 35.7919)	(91, 35.757)	(92, 35.7441)	(93, 35.7235)	(94, 35.6852)	(95, 35.6608)	(96, 35.5939)	(97, 35.5522)	(98, 35.5109)	(99, 35.439)	(100, 35.3505)	(101, 33.7634)
17_ATCACG_L002_combined	(1, 33.8048)	(2, 33.8085)	(3, 33.7853)	(4, 36.0836)	(5, 36.4057)	(6, 36.9804)	(7, 37.019)	(8, 36.9909)	(9, 36.9811)	(10, 37.0031)	(11, 36.9836)	(12, 36.9708)	(13, 36.9441)	(14, 38.518)	(15, 38.5124)	(16, 38.519)	(17, 38.474)	(18, 38.4851)	(19, 38.4886)	(20, 38.4885)	(21, 38.5032)	(22, 38.5057)	(23, 38.5093)	(24, 38.4717)	(25, 38.4938)	(26, 38.4495)	(27, 38.4341)	(28, 38.4003)	(29, 38.3945)	(30, 38.3722)	(31, 38.3346)	(32, 38.3281)	(33, 38.2923)	(34, 38.2981)	(35, 38.291)	(36, 38.2527)	(37, 38.2232)	(38, 38.234)	(39, 38.2113)	(40, 38.2311)	(41, 38.2267)	(42, 38.181)	(43, 38.1973)	(44, 38.2121)	(45, 38.2005)	(46, 38.168)	(47, 38.1134)	(48, 38.0939)	(49, 38.0576)	(50, 38.025)	(51, 37.9964)	(52, 37.9679)	(53, 37.9082)	(54, 37.8555)	(55, 37.7915)	(56, 37.7376)	(57, 37.7007)	(58, 37.6639)	(59, 37.6238)	(60, 37.5791)	(61, 37.5132)	(62, 37.3862)	(63, 37.3277)	(64, 37.2762)	(65, 37.2132)	(66, 37.1257)	(67, 37.0598)	(68, 36.982)	(69, 36.9035)	(70, 36.8036)	(71, 36.7373)	(72, 36.6642)	(73, 36.5585)	(74, 36.4807)	(75, 36.4245)	(76, 36.3486)	(77, 36.256)	(78, 36.2093)	(79, 36.1497)	(80, 36.0821)	(81, 36.0188)	(82, 35.9974)	(83, 35.9317)	(84, 35.9122)	(85, 35.8752)	(86, 35.8224)	(87, 35.8181)	(88, 35.81)	(89, 35.7865)	(90, 35.7692)	(91, 35.7019)	(92, 35.7088)	(93, 35.672)	(94, 35.6387)	(95, 35.629)	(96, 35.5739)	(97, 35.5391)	(98, 35.5018)	(99, 35.4461)	(100, 35.369)	(101, 34.3646)
1_ATCACG_L001_combined	(1, 34.3524)	(2, 34.3276)	(3, 34.2946)	(4, 36.2989)	(5, 36.5162)	(6, 37.3249)	(7, 37.3251)	(8, 37.3057)	(9, 37.3072)	(10, 37.3144)	(11, 37.2891)	(12, 37.2693)	(13, 37.2552)	(14, 38.4994)	(15, 38.4955)	(16, 38.4981)	(17, 38.4856)	(18, 38.4811)	(19, 38.5103)	(20, 38.4995)	(21, 38.4941)	(22, 38.496)	(23, 38.4839)	(24, 38.4704)	(25, 38.4706)	(26, 38.4276)	(27, 38.4165)	(28, 38.4091)	(29, 38.3961)	(30, 38.3839)	(31, 38.348)	(32, 38.3544)	(33, 38.301)	(34, 38.319)	(35, 38.2941)	(36, 38.2809)	(37, 38.2735)	(38, 38.2614)	(39, 38.2703)	(40, 38.2584)	(41, 38.2632)	(42, 38.2448)	(43, 38.2457)	(44, 38.2476)	(45, 38.2242)	(46, 38.2142)	(47, 38.1829)	(48, 38.1695)	(49, 38.1349)	(50, 38.12)	(51, 38.0899)	(52, 38.0495)	(53, 38.0339)	(54, 37.9882)	(55, 37.9614)	(56, 37.9344)	(57, 37.8943)	(58, 37.8587)	(59, 37.8313)	(60, 37.789)	(61, 37.74)	(62, 37.6612)	(63, 37.6217)	(64, 37.5594)	(65, 37.5247)	(66, 37.4419)	(67, 37.3639)	(68, 37.3005)	(69, 37.2387)	(70, 37.1485)	(71, 37.064)	(72, 36.9738)	(73, 36.9151)	(74, 36.8496)	(75, 36.7886)	(76, 36.7077)	(77, 36.629)	(78, 36.5558)	(79, 36.505)	(80, 36.4498)	(81, 36.3784)	(82, 36.3294)	(83, 36.2826)	(84, 36.2111)	(85, 36.1925)	(86, 36.1447)	(87, 36.1129)	(88, 36.0988)	(89, 36.0678)	(90, 36.0261)	(91, 35.984)	(92, 35.9775)	(93, 35.953)	(94, 35.9125)	(95, 35.8938)	(96, 35.8231)	(97, 35.7826)	(98, 35.7381)	(99, 35.6598)	(100, 35.5649)	(101, 34.0648)
21_ACAGTG_L002_combined	(1, 33.9316)	(2, 33.9256)	(3, 33.907)	(4, 36.0472)	(5, 36.4009)	(6, 37.046)	(7, 37.0876)	(8, 37.0589)	(9, 37.0471)	(10, 37.0721)	(11, 37.0524)	(12, 37.041)	(13, 37.0127)	(14, 38.5286)	(15, 38.5228)	(16, 38.5317)	(17, 38.4857)	(18, 38.5011)	(19, 38.504)	(20, 38.5021)	(21, 38.5171)	(22, 38.5202)	(23, 38.5237)	(24, 38.4819)	(25, 38.504)	(26, 38.4611)	(27, 38.4472)	(28, 38.4138)	(29, 38.4086)	(30, 38.3839)	(31, 38.3482)	(32, 38.34)	(33, 38.3078)	(34, 38.3116)	(35, 38.3044)	(36, 38.2655)	(37, 38.2357)	(38, 38.2475)	(39, 38.221)	(40, 38.2433)	(41, 38.2392)	(42, 38.1912)	(43, 38.2078)	(44, 38.2205)	(45, 38.2072)	(46, 38.1747)	(47, 38.1193)	(48, 38.1014)	(49, 38.0646)	(50, 38.0294)	(51, 38.0016)	(52, 37.9749)	(53, 37.9143)	(54, 37.8635)	(55, 37.8004)	(56, 37.7458)	(57, 37.7089)	(58, 37.6718)	(59, 37.6334)	(60, 37.5906)	(61, 37.5276)	(62, 37.4015)	(63, 37.3459)	(64, 37.2994)	(65, 37.2388)	(66, 37.1522)	(67, 37.0931)	(68, 37.0163)	(69, 36.9408)	(70, 36.8476)	(71, 36.7853)	(72, 36.7184)	(73, 36.6195)	(74, 36.5437)	(75, 36.4949)	(76, 36.4256)	(77, 36.3396)	(78, 36.2962)	(79, 36.2422)	(80, 36.1784)	(81, 36.1173)	(82, 36.1026)	(83, 36.038)	(84, 36.0229)	(85, 35.9873)	(86, 35.9401)	(87, 35.9385)	(88, 35.9317)	(89, 35.9097)	(90, 35.8944)	(91, 35.8278)	(92, 35.8364)	(93, 35.8028)	(94, 35.7704)	(95, 35.7605)	(96, 35.707)	(97, 35.6741)	(98, 35.6374)	(99, 35.5776)	(100, 35.4981)	(101, 34.4756)
25_GATCAG_L002_combined	(1, 33.866)	(2, 33.8526)	(3, 33.8388)	(4, 36.0455)	(5, 36.3884)	(6, 36.9988)	(7, 37.0398)	(8, 37.0102)	(9, 37.0011)	(10, 37.0247)	(11, 37.0081)	(12, 36.9958)	(13, 36.9666)	(14, 38.4974)	(15, 38.4933)	(16, 38.5009)	(17, 38.4555)	(18, 38.4685)	(19, 38.4696)	(20, 38.4691)	(21, 38.4841)	(22, 38.4871)	(23, 38.4909)	(24, 38.4504)	(25, 38.4726)	(26, 38.4263)	(27, 38.4114)	(28, 38.3777)	(29, 38.3714)	(30, 38.3468)	(31, 38.3085)	(32, 38.2995)	(33, 38.2654)	(34, 38.2694)	(35, 38.2606)	(36, 38.2178)	(37, 38.1882)	(38, 38.1963)	(39, 38.171)	(40, 38.1882)	(41, 38.1815)	(42, 38.1315)	(43, 38.1455)	(44, 38.156)	(45, 38.1384)	(46, 38.1012)	(47, 38.0426)	(48, 38.0187)	(49, 37.9801)	(50, 37.941)	(51, 37.9102)	(52, 37.8797)	(53, 37.8148)	(54, 37.7571)	(55, 37.6914)	(56, 37.6333)	(57, 37.5924)	(58, 37.5525)	(59, 37.5082)	(60, 37.4604)	(61, 37.3942)	(62, 37.266)	(63, 37.2079)	(64, 37.1586)	(65, 37.0993)	(66, 37.0114)	(67, 36.9502)	(68, 36.8744)	(69, 36.7997)	(70, 36.7066)	(71, 36.6463)	(72, 36.5798)	(73, 36.4823)	(74, 36.4106)	(75, 36.3624)	(76, 36.2959)	(77, 36.2117)	(78, 36.1732)	(79, 36.1223)	(80, 36.063)	(81, 36.0052)	(82, 35.9941)	(83, 35.9325)	(84, 35.9178)	(85, 35.8848)	(86, 35.8357)	(87, 35.8352)	(88, 35.8299)	(89, 35.8084)	(90, 35.7925)	(91, 35.7266)	(92, 35.7351)	(93, 35.7006)	(94, 35.6671)	(95, 35.6572)	(96, 35.6046)	(97, 35.5707)	(98, 35.5329)	(99, 35.4756)	(100, 35.3965)	(101, 34.3532)
29_AGTCAA_L002_combined	(1, 34.0821)	(2, 34.0693)	(3, 34.0506)	(4, 35.9313)	(5, 36.3352)	(6, 37.0777)	(7, 37.1253)	(8, 37.0979)	(9, 37.0875)	(10, 37.1145)	(11, 37.0927)	(12, 37.0846)	(13, 37.0521)	(14, 38.45)	(15, 38.4447)	(16, 38.4538)	(17, 38.4046)	(18, 38.4205)	(19, 38.421)	(20, 38.4196)	(21, 38.4361)	(22, 38.4397)	(23, 38.4417)	(24, 38.3955)	(25, 38.422)	(26, 38.3768)	(27, 38.3634)	(28, 38.3285)	(29, 38.3214)	(30, 38.296)	(31, 38.2572)	(32, 38.2475)	(33, 38.2183)	(34, 38.2191)	(35, 38.2133)	(36, 38.1696)	(37, 38.1419)	(38, 38.154)	(39, 38.1253)	(40, 38.148)	(41, 38.1432)	(42, 38.0915)	(43, 38.1066)	(44, 38.1207)	(45, 38.1055)	(46, 38.0756)	(47, 38.0176)	(48, 37.9986)	(49, 37.962)	(50, 37.9263)	(51, 37.9028)	(52, 37.8771)	(53, 37.8129)	(54, 37.7618)	(55, 37.701)	(56, 37.6462)	(57, 37.6142)	(58, 37.5758)	(59, 37.5429)	(60, 37.5013)	(61, 37.4435)	(62, 37.321)	(63, 37.2661)	(64, 37.2265)	(65, 37.172)	(66, 37.0879)	(67, 37.0403)	(68, 36.9696)	(69, 36.8998)	(70, 36.8114)	(71, 36.7547)	(72, 36.6945)	(73, 36.605)	(74, 36.5336)	(75, 36.4917)	(76, 36.4293)	(77, 36.3515)	(78, 36.3158)	(79, 36.2673)	(80, 36.2091)	(81, 36.1532)	(82, 36.1458)	(83, 36.0811)	(84, 36.0709)	(85, 36.0403)	(86, 35.9963)	(87, 35.9995)	(88, 35.9943)	(89, 35.9732)	(90, 35.9597)	(91, 35.8962)	(92, 35.9054)	(93, 35.8745)	(94, 35.8369)	(95, 35.8264)	(96, 35.7743)	(97, 35.7421)	(98, 35.7005)	(99, 35.6378)	(100, 35.5489)	(101, 34.4883)
33_GTCCGC_L002_combined	(1, 33.9995)	(2, 33.9964)	(3, 33.9739)	(4, 35.9604)	(5, 36.3438)	(6, 37.04)	(7, 37.0865)	(8, 37.0574)	(9, 37.048)	(10, 37.0736)	(11, 37.0519)	(12, 37.0415)	(13, 37.0102)	(14, 38.4477)	(15, 38.4415)	(16, 38.4497)	(17, 38.4003)	(18, 38.4139)	(19, 38.4143)	(20, 38.4138)	(21, 38.4301)	(22, 38.4322)	(23, 38.4369)	(24, 38.3935)	(25, 38.417)	(26, 38.3715)	(27, 38.3574)	(28, 38.3221)	(29, 38.3144)	(30, 38.2892)	(31, 38.2512)	(32, 38.2406)	(33, 38.21)	(34, 38.2118)	(35, 38.2059)	(36, 38.1622)	(37, 38.1328)	(38, 38.1456)	(39, 38.1174)	(40, 38.1396)	(41, 38.1329)	(42, 38.0796)	(43, 38.0977)	(44, 38.109)	(45, 38.0943)	(46, 38.0599)	(47, 37.9983)	(48, 37.98)	(49, 37.9412)	(50, 37.9047)	(51, 37.8773)	(52, 37.8501)	(53, 37.7854)	(54, 37.7312)	(55, 37.6681)	(56, 37.6127)	(57, 37.5777)	(58, 37.5401)	(59, 37.5036)	(60, 37.461)	(61, 37.3996)	(62, 37.2762)	(63, 37.2204)	(64, 37.1792)	(65, 37.121)	(66, 37.038)	(67, 36.9836)	(68, 36.9107)	(69, 36.8404)	(70, 36.751)	(71, 36.6931)	(72, 36.6299)	(73, 36.5385)	(74, 36.4656)	(75, 36.423)	(76, 36.358)	(77, 36.2773)	(78, 36.2383)	(79, 36.189)	(80, 36.1278)	(81, 36.0722)	(82, 36.0625)	(83, 35.9955)	(84, 35.9833)	(85, 35.9531)	(86, 35.905)	(87, 35.9059)	(88, 35.902)	(89, 35.8786)	(90, 35.8636)	(91, 35.7958)	(92, 35.8053)	(93, 35.7731)	(94, 35.7386)	(95, 35.7284)	(96, 35.6728)	(97, 35.6388)	(98, 35.5982)	(99, 35.5364)	(100, 35.4515)	(101, 34.3888)
37_CGTACG_L002_combined	(1, 34.0222)	(2, 34.0137)	(3, 33.9932)	(4, 35.9931)	(5, 36.3727)	(6, 37.0688)	(7, 37.1133)	(8, 37.0858)	(9, 37.0757)	(10, 37.1005)	(11, 37.0802)	(12, 37.07)	(13, 37.0407)	(14, 38.4913)	(15, 38.4854)	(16, 38.4942)	(17, 38.4452)	(18, 38.459)	(19, 38.46)	(20, 38.4583)	(21, 38.4755)	(22, 38.478)	(23, 38.4811)	(24, 38.4362)	(25, 38.4613)	(26, 38.4178)	(27, 38.4039)	(28, 38.3684)	(29, 38.3613)	(30, 38.3371)	(31, 38.298)	(32, 38.2872)	(33, 38.2553)	(34, 38.2565)	(35, 38.2497)	(36, 38.2048)	(37, 38.1762)	(38, 38.1864)	(39, 38.158)	(40, 38.1793)	(41, 38.172)	(42, 38.1198)	(43, 38.1363)	(44, 38.1453)	(45, 38.1291)	(46, 38.096)	(47, 38.0343)	(48, 38.0145)	(49, 37.9748)	(50, 37.9364)	(51, 37.9098)	(52, 37.8802)	(53, 37.8154)	(54, 37.7607)	(55, 37.6977)	(56, 37.6403)	(57, 37.6033)	(58, 37.5649)	(59, 37.5277)	(60, 37.4851)	(61, 37.4246)	(62, 37.3027)	(63, 37.2456)	(64, 37.2044)	(65, 37.1451)	(66, 37.0635)	(67, 37.0107)	(68, 36.9393)	(69, 36.8688)	(70, 36.7793)	(71, 36.7223)	(72, 36.6629)	(73, 36.5724)	(74, 36.5013)	(75, 36.4597)	(76, 36.3964)	(77, 36.3166)	(78, 36.2798)	(79, 36.2332)	(80, 36.1742)	(81, 36.1175)	(82, 36.1102)	(83, 36.0456)	(84, 36.0353)	(85, 36.0059)	(86, 35.9605)	(87, 35.9612)	(88, 35.9558)	(89, 35.9348)	(90, 35.9227)	(91, 35.8585)	(92, 35.8673)	(93, 35.8343)	(94, 35.8017)	(95, 35.7919)	(96, 35.7389)	(97, 35.7072)	(98, 35.6681)	(99, 35.6071)	(100, 35.5228)	(101, 34.4648)
41_GTCCGC_L001_combined	(1, 34.1813)	(2, 34.141)	(3, 34.1208)	(4, 36.2956)	(5, 36.4974)	(6, 37.2173)	(7, 37.2081)	(8, 37.1913)	(9, 37.1927)	(10, 37.2007)	(11, 37.1788)	(12, 37.1611)	(13, 37.146)	(14, 38.4596)	(15, 38.4557)	(16, 38.4574)	(17, 38.4442)	(18, 38.4373)	(19, 38.4612)	(20, 38.4492)	(21, 38.4473)	(22, 38.4481)	(23, 38.4317)	(24, 38.4193)	(25, 38.4181)	(26, 38.3734)	(27, 38.3598)	(28, 38.3539)	(29, 38.3354)	(30, 38.3211)	(31, 38.2787)	(32, 38.2833)	(33, 38.2255)	(34, 38.2413)	(35, 38.2107)	(36, 38.1929)	(37, 38.1798)	(38, 38.1591)	(39, 38.1612)	(40, 38.1435)	(41, 38.1368)	(42, 38.1093)	(43, 38.1017)	(44, 38.0899)	(45, 38.0574)	(46, 38.0347)	(47, 37.9907)	(48, 37.9654)	(49, 37.9165)	(50, 37.8846)	(51, 37.8365)	(52, 37.7832)	(53, 37.7476)	(54, 37.6851)	(55, 37.6425)	(56, 37.597)	(57, 37.5378)	(58, 37.4912)	(59, 37.4504)	(60, 37.3968)	(61, 37.3364)	(62, 37.2412)	(63, 37.1947)	(64, 37.1279)	(65, 37.0832)	(66, 36.9945)	(67, 36.9124)	(68, 36.8462)	(69, 36.7892)	(70, 36.7043)	(71, 36.6197)	(72, 36.5356)	(73, 36.4898)	(74, 36.432)	(75, 36.3813)	(76, 36.3179)	(77, 36.2535)	(78, 36.1914)	(79, 36.157)	(80, 36.1123)	(81, 36.0524)	(82, 36.0146)	(83, 35.9761)	(84, 35.9134)	(85, 35.901)	(86, 35.861)	(87, 35.8318)	(88, 35.8257)	(89, 35.793)	(90, 35.7542)	(91, 35.7173)	(92, 35.7054)	(93, 35.6861)	(94, 35.6492)	(95, 35.6251)	(96, 35.5561)	(97, 35.5176)	(98, 35.472)	(99, 35.3944)	(100, 35.3028)	(101, 33.6693)
45_CGTACG_L001_combined	(1, 34.2188)	(2, 34.1825)	(3, 34.1639)	(4, 36.3424)	(5, 36.5397)	(6, 37.2681)	(7, 37.2597)	(8, 37.2438)	(9, 37.246)	(10, 37.2528)	(11, 37.233)	(12, 37.2169)	(13, 37.2014)	(14, 38.5382)	(15, 38.535)	(16, 38.5356)	(17, 38.5236)	(18, 38.518)	(19, 38.5428)	(20, 38.5306)	(21, 38.528)	(22, 38.5288)	(23, 38.5141)	(24, 38.5004)	(25, 38.4997)	(26, 38.4584)	(27, 38.4462)	(28, 38.4408)	(29, 38.4212)	(30, 38.4079)	(31, 38.3688)	(32, 38.3712)	(33, 38.316)	(34, 38.3306)	(35, 38.3017)	(36, 38.2833)	(37, 38.2709)	(38, 38.2498)	(39, 38.2516)	(40, 38.2318)	(41, 38.2267)	(42, 38.1995)	(43, 38.1916)	(44, 38.1803)	(45, 38.1482)	(46, 38.1258)	(47, 38.0829)	(48, 38.0572)	(49, 38.0102)	(50, 37.979)	(51, 37.931)	(52, 37.8802)	(53, 37.845)	(54, 37.7837)	(55, 37.7396)	(56, 37.6947)	(57, 37.6373)	(58, 37.5903)	(59, 37.5517)	(60, 37.4967)	(61, 37.4372)	(62, 37.3445)	(63, 37.2978)	(64, 37.2323)	(65, 37.1879)	(66, 37.1001)	(67, 37.0213)	(68, 36.9556)	(69, 36.8979)	(70, 36.8127)	(71, 36.7276)	(72, 36.643)	(73, 36.5988)	(74, 36.5424)	(75, 36.4925)	(76, 36.4261)	(77, 36.3624)	(78, 36.3024)	(79, 36.2691)	(80, 36.2261)	(81, 36.1682)	(82, 36.1294)	(83, 36.0922)	(84, 36.0305)	(85, 36.0182)	(86, 35.9804)	(87, 35.951)	(88, 35.9441)	(89, 35.9107)	(90, 35.8737)	(91, 35.8401)	(92, 35.8288)	(93, 35.8088)	(94, 35.7725)	(95, 35.7505)	(96, 35.6849)	(97, 35.6485)	(98, 35.6043)	(99, 35.5293)	(100, 35.4403)	(101, 33.822)
