Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 34.0263)	(2, 33.9817)	(3, 33.9715)	(4, 36.258)	(5, 36.45)	(6, 37.0922)	(7, 37.0871)	(8, 37.0647)	(9, 37.0657)	(10, 37.0736)	(11, 37.0471)	(12, 37.0292)	(13, 37.0153)	(14, 38.3769)	(15, 38.3732)	(16, 38.3736)	(17, 38.3613)	(18, 38.3561)	(19, 38.3847)	(20, 38.3697)	(21, 38.3656)	(22, 38.3647)	(23, 38.3482)	(24, 38.3315)	(25, 38.3278)	(26, 38.2689)	(27, 38.2486)	(28, 38.2377)	(29, 38.2153)	(30, 38.1987)	(31, 38.1518)	(32, 38.1538)	(33, 38.0941)	(34, 38.1071)	(35, 38.0741)	(36, 38.0578)	(37, 38.0412)	(38, 38.0236)	(39, 38.0261)	(40, 38.0103)	(41, 38.0027)	(42, 37.9758)	(43, 37.9687)	(44, 37.959)	(45, 37.9277)	(46, 37.9048)	(47, 37.8652)	(48, 37.8387)	(49, 37.7909)	(50, 37.7587)	(51, 37.7128)	(52, 37.6592)	(53, 37.6257)	(54, 37.5587)	(55, 37.517)	(56, 37.472)	(57, 37.4138)	(58, 37.3641)	(59, 37.3205)	(60, 37.2624)	(61, 37.1938)	(62, 37.0965)	(63, 37.0451)	(64, 36.9701)	(65, 36.9199)	(66, 36.8246)	(67, 36.7367)	(68, 36.6596)	(69, 36.5925)	(70, 36.4986)	(71, 36.4001)	(72, 36.3045)	(73, 36.2471)	(74, 36.1842)	(75, 36.1227)	(76, 36.0409)	(77, 35.9628)	(78, 35.8892)	(79, 35.8419)	(80, 35.7875)	(81, 35.7188)	(82, 35.6703)	(83, 35.6239)	(84, 35.552)	(85, 35.5279)	(86, 35.4835)	(87, 35.4449)	(88, 35.4282)	(89, 35.39)	(90, 35.3398)	(91, 35.2965)	(92, 35.2774)	(93, 35.2496)	(94, 35.2026)	(95, 35.1713)	(96, 35.094)	(97, 35.0423)	(98, 34.9909)	(99, 34.9047)	(100, 34.8002)	(101, 33.1778)
17_ATCACG_L002_combined	(1, 33.7489)	(2, 33.7448)	(3, 33.725)	(4, 35.9835)	(5, 36.3048)	(6, 36.8562)	(7, 36.8999)	(8, 36.8676)	(9, 36.8568)	(10, 36.8814)	(11, 36.8568)	(12, 36.8448)	(13, 36.8153)	(14, 38.3533)	(15, 38.3473)	(16, 38.3534)	(17, 38.3042)	(18, 38.3171)	(19, 38.3206)	(20, 38.3169)	(21, 38.3302)	(22, 38.3334)	(23, 38.3326)	(24, 38.286)	(25, 38.3107)	(26, 38.2501)	(27, 38.2237)	(28, 38.1842)	(29, 38.1733)	(30, 38.1443)	(31, 38.1009)	(32, 38.0896)	(33, 38.0486)	(34, 38.0491)	(35, 38.0383)	(36, 37.9937)	(37, 37.9629)	(38, 37.9711)	(39, 37.9427)	(40, 37.9615)	(41, 37.9548)	(42, 37.9023)	(43, 37.9158)	(44, 37.9308)	(45, 37.9159)	(46, 37.8788)	(47, 37.8208)	(48, 37.7979)	(49, 37.7566)	(50, 37.7221)	(51, 37.6896)	(52, 37.6584)	(53, 37.5917)	(54, 37.5349)	(55, 37.4687)	(56, 37.4091)	(57, 37.3695)	(58, 37.3285)	(59, 37.2875)	(60, 37.2395)	(61, 37.1679)	(62, 37.0365)	(63, 36.9734)	(64, 36.9208)	(65, 36.8566)	(66, 36.7647)	(67, 36.699)	(68, 36.6192)	(69, 36.5361)	(70, 36.4332)	(71, 36.3681)	(72, 36.2906)	(73, 36.1849)	(74, 36.1063)	(75, 36.0471)	(76, 35.9665)	(77, 35.8716)	(78, 35.8221)	(79, 35.7599)	(80, 35.6889)	(81, 35.6218)	(82, 35.5978)	(83, 35.525)	(84, 35.5042)	(85, 35.4614)	(86, 35.4066)	(87, 35.3958)	(88, 35.3832)	(89, 35.3524)	(90, 35.3266)	(91, 35.2514)	(92, 35.25)	(93, 35.2074)	(94, 35.1636)	(95, 35.1436)	(96, 35.0796)	(97, 35.036)	(98, 34.9854)	(99, 34.9138)	(100, 34.8162)	(101, 33.7634)
1_ATCACG_L001_combined	(1, 34.2874)	(2, 34.254)	(3, 34.2273)	(4, 36.208)	(5, 36.4294)	(6, 37.214)	(7, 37.217)	(8, 37.1928)	(9, 37.1965)	(10, 37.204)	(11, 37.1756)	(12, 37.1547)	(13, 37.14)	(14, 38.3579)	(15, 38.3531)	(16, 38.3552)	(17, 38.3417)	(18, 38.3381)	(19, 38.3666)	(20, 38.3515)	(21, 38.3439)	(22, 38.3471)	(23, 38.3327)	(24, 38.3147)	(25, 38.3115)	(26, 38.2532)	(27, 38.234)	(28, 38.2204)	(29, 38.2021)	(30, 38.1848)	(31, 38.1436)	(32, 38.1446)	(33, 38.0826)	(34, 38.0969)	(35, 38.0665)	(36, 38.0487)	(37, 38.0365)	(38, 38.0226)	(39, 38.0297)	(40, 38.0127)	(41, 38.0136)	(42, 37.9897)	(43, 37.9872)	(44, 37.9871)	(45, 37.9587)	(46, 37.9447)	(47, 37.9094)	(48, 37.8913)	(49, 37.8521)	(50, 37.8325)	(51, 37.7991)	(52, 37.7554)	(53, 37.7356)	(54, 37.6837)	(55, 37.6537)	(56, 37.6244)	(57, 37.5765)	(58, 37.5388)	(59, 37.5065)	(60, 37.46)	(61, 37.4063)	(62, 37.3264)	(63, 37.2834)	(64, 37.2173)	(65, 37.1799)	(66, 37.0936)	(67, 37.0123)	(68, 36.946)	(69, 36.8842)	(70, 36.7908)	(71, 36.704)	(72, 36.6103)	(73, 36.5496)	(74, 36.4839)	(75, 36.4213)	(76, 36.3357)	(77, 36.2531)	(78, 36.1763)	(79, 36.1208)	(80, 36.0634)	(81, 35.9886)	(82, 35.9363)	(83, 35.887)	(84, 35.8098)	(85, 35.786)	(86, 35.7354)	(87, 35.6995)	(88, 35.6811)	(89, 35.6434)	(90, 35.5929)	(91, 35.5427)	(92, 35.5298)	(93, 35.498)	(94, 35.4485)	(95, 35.422)	(96, 35.3408)	(97, 35.2884)	(98, 35.233)	(99, 35.1391)	(100, 35.0261)	(101, 33.4812)
21_ACAGTG_L002_combined	(1, 33.8691)	(2, 33.8532)	(3, 33.8391)	(4, 35.9369)	(5, 36.2894)	(6, 36.9069)	(7, 36.9541)	(8, 36.9204)	(9, 36.9083)	(10, 36.9358)	(11, 36.9109)	(12, 36.9007)	(13, 36.869)	(14, 38.3467)	(15, 38.3402)	(16, 38.3487)	(17, 38.2982)	(18, 38.3161)	(19, 38.318)	(20, 38.3141)	(21, 38.327)	(22, 38.3304)	(23, 38.3295)	(24, 38.2786)	(25, 38.3034)	(26, 38.2442)	(27, 38.2191)	(28, 38.1785)	(29, 38.1697)	(30, 38.1382)	(31, 38.0969)	(32, 38.0835)	(33, 38.0456)	(34, 38.0449)	(35, 38.0339)	(36, 37.9884)	(37, 37.9577)	(38, 37.9663)	(39, 37.934)	(40, 37.956)	(41, 37.9488)	(42, 37.8937)	(43, 37.9078)	(44, 37.9215)	(45, 37.9053)	(46, 37.868)	(47, 37.8092)	(48, 37.7882)	(49, 37.7463)	(50, 37.7096)	(51, 37.6773)	(52, 37.6478)	(53, 37.5798)	(54, 37.5261)	(55, 37.4602)	(56, 37.4002)	(57, 37.3605)	(58, 37.319)	(59, 37.2805)	(60, 37.2343)	(61, 37.1656)	(62, 37.0353)	(63, 36.9744)	(64, 36.9266)	(65, 36.8659)	(66, 36.7751)	(67, 36.7169)	(68, 36.6371)	(69, 36.5573)	(70, 36.4607)	(71, 36.3995)	(72, 36.327)	(73, 36.2271)	(74, 36.1499)	(75, 36.0989)	(76, 36.0248)	(77, 35.9363)	(78, 35.8896)	(79, 35.8335)	(80, 35.7659)	(81, 35.7019)	(82, 35.6854)	(83, 35.6133)	(84, 35.5972)	(85, 35.5561)	(86, 35.5076)	(87, 35.4999)	(88, 35.4889)	(89, 35.4596)	(90, 35.4355)	(91, 35.3596)	(92, 35.3603)	(93, 35.3216)	(94, 35.2787)	(95, 35.2592)	(96, 35.1961)	(97, 35.1555)	(98, 35.1053)	(99, 35.0291)	(100, 34.9287)	(101, 33.8616)
25_GATCAG_L002_combined	(1, 33.8023)	(2, 33.7791)	(3, 33.7705)	(4, 35.9387)	(5, 36.2803)	(6, 36.8621)	(7, 36.9086)	(8, 36.874)	(9, 36.8646)	(10, 36.8903)	(11, 36.8692)	(12, 36.8578)	(13, 36.8252)	(14, 38.3188)	(15, 38.3151)	(16, 38.3222)	(17, 38.2714)	(18, 38.2868)	(19, 38.2876)	(20, 38.2842)	(21, 38.2972)	(22, 38.3005)	(23, 38.3003)	(24, 38.2513)	(25, 38.2757)	(26, 38.2129)	(27, 38.1859)	(28, 38.1463)	(29, 38.1356)	(30, 38.1044)	(31, 38.0595)	(32, 38.0461)	(33, 38.0067)	(34, 38.0062)	(35, 37.9939)	(36, 37.9439)	(37, 37.9124)	(38, 37.9188)	(39, 37.8872)	(40, 37.9034)	(41, 37.8941)	(42, 37.8368)	(43, 37.8488)	(44, 37.8599)	(45, 37.8394)	(46, 37.7981)	(47, 37.7358)	(48, 37.709)	(49, 37.665)	(50, 37.6236)	(51, 37.5893)	(52, 37.5557)	(53, 37.4835)	(54, 37.4232)	(55, 37.3547)	(56, 37.2915)	(57, 37.2479)	(58, 37.2037)	(59, 37.1585)	(60, 37.1065)	(61, 37.0353)	(62, 36.9025)	(63, 36.8398)	(64, 36.7889)	(65, 36.7287)	(66, 36.6371)	(67, 36.5765)	(68, 36.4973)	(69, 36.418)	(70, 36.3214)	(71, 36.261)	(72, 36.1896)	(73, 36.0914)	(74, 36.0182)	(75, 35.9668)	(76, 35.8958)	(77, 35.8091)	(78, 35.7667)	(79, 35.7135)	(80, 35.6501)	(81, 35.5878)	(82, 35.5746)	(83, 35.5053)	(84, 35.4904)	(85, 35.4511)	(86, 35.3999)	(87, 35.3929)	(88, 35.383)	(89, 35.3539)	(90, 35.329)	(91, 35.2542)	(92, 35.2551)	(93, 35.2146)	(94, 35.1699)	(95, 35.1503)	(96, 35.0874)	(97, 35.0451)	(98, 34.9933)	(99, 34.9194)	(100, 34.8202)	(101, 33.7282)
29_AGTCAA_L002_combined	(1, 34.0129)	(2, 33.989)	(3, 33.9756)	(4, 35.8154)	(5, 36.2164)	(6, 36.9263)	(7, 36.98)	(8, 36.9481)	(9, 36.9366)	(10, 36.9659)	(11, 36.9383)	(12, 36.9323)	(13, 36.8953)	(14, 38.256)	(15, 38.2505)	(16, 38.2594)	(17, 38.2051)	(18, 38.223)	(19, 38.2239)	(20, 38.2189)	(21, 38.2334)	(22, 38.2378)	(23, 38.2351)	(24, 38.1788)	(25, 38.2091)	(26, 38.1464)	(27, 38.1205)	(28, 38.0791)	(29, 38.0679)	(30, 38.0358)	(31, 37.9906)	(32, 37.9759)	(33, 37.9406)	(34, 37.9365)	(35, 37.9275)	(36, 37.8765)	(37, 37.8477)	(38, 37.8576)	(39, 37.8231)	(40, 37.8454)	(41, 37.8384)	(42, 37.7799)	(43, 37.7917)	(44, 37.8056)	(45, 37.7882)	(46, 37.7544)	(47, 37.692)	(48, 37.6709)	(49, 37.6285)	(50, 37.5918)	(51, 37.564)	(52, 37.5356)	(53, 37.4631)	(54, 37.4096)	(55, 37.3456)	(56, 37.2849)	(57, 37.2508)	(58, 37.2081)	(59, 37.1753)	(60, 37.1306)	(61, 37.0668)	(62, 36.9386)	(63, 36.8791)	(64, 36.8394)	(65, 36.7838)	(66, 36.6954)	(67, 36.6484)	(68, 36.5743)	(69, 36.5001)	(70, 36.4074)	(71, 36.3519)	(72, 36.2863)	(73, 36.1967)	(74, 36.125)	(75, 36.0786)	(76, 36.0106)	(77, 35.9298)	(78, 35.89)	(79, 35.8389)	(80, 35.7762)	(81, 35.7163)	(82, 35.7064)	(83, 35.6335)	(84, 35.6226)	(85, 35.5852)	(86, 35.5399)	(87, 35.5354)	(88, 35.5261)	(89, 35.4963)	(90, 35.4722)	(91, 35.3988)	(92, 35.3993)	(93, 35.3623)	(94, 35.3137)	(95, 35.2932)	(96, 35.2294)	(97, 35.1886)	(98, 35.1314)	(99, 35.0509)	(100, 34.9389)	(101, 33.8221)
33_GTCCGC_L002_combined	(1, 33.9287)	(2, 33.9154)	(3, 33.8978)	(4, 35.8399)	(5, 36.2219)	(6, 36.8846)	(7, 36.938)	(8, 36.9037)	(9, 36.8938)	(10, 36.9212)	(11, 36.8938)	(12, 36.885)	(13, 36.8494)	(14, 38.2473)	(15, 38.2412)	(16, 38.2483)	(17, 38.1942)	(18, 38.2102)	(19, 38.2099)	(20, 38.2071)	(21, 38.2208)	(22, 38.2243)	(23, 38.224)	(24, 38.1704)	(25, 38.1968)	(26, 38.1342)	(27, 38.1069)	(28, 38.0651)	(29, 38.0533)	(30, 38.02)	(31, 37.9757)	(32, 37.9595)	(33, 37.9235)	(34, 37.9202)	(35, 37.9095)	(36, 37.8594)	(37, 37.8287)	(38, 37.8389)	(39, 37.8051)	(40, 37.8266)	(41, 37.8182)	(42, 37.7579)	(43, 37.7722)	(44, 37.784)	(45, 37.7666)	(46, 37.7284)	(47, 37.6627)	(48, 37.6413)	(49, 37.5964)	(50, 37.5588)	(51, 37.5278)	(52, 37.4979)	(53, 37.4247)	(54, 37.3682)	(55, 37.3017)	(56, 37.239)	(57, 37.203)	(58, 37.161)	(59, 37.1245)	(60, 37.0782)	(61, 37.0108)	(62, 36.8821)	(63, 36.822)	(64, 36.7794)	(65, 36.7206)	(66, 36.6332)	(67, 36.5795)	(68, 36.5029)	(69, 36.4283)	(70, 36.3349)	(71, 36.2786)	(72, 36.2104)	(73, 36.1195)	(74, 36.0453)	(75, 35.9995)	(76, 35.9291)	(77, 35.8451)	(78, 35.8025)	(79, 35.7499)	(80, 35.684)	(81, 35.6247)	(82, 35.6131)	(83, 35.5373)	(84, 35.5236)	(85, 35.4875)	(86, 35.4382)	(87, 35.4313)	(88, 35.423)	(89, 35.3914)	(90, 35.3662)	(91, 35.2888)	(92, 35.2896)	(93, 35.2508)	(94, 35.2056)	(95, 35.1847)	(96, 35.1186)	(97, 35.076)	(98, 35.0201)	(99, 34.9402)	(100, 34.831)	(101, 33.715)
37_CGTACG_L002_combined	(1, 33.9513)	(2, 33.932)	(3, 33.9168)	(4, 35.87)	(5, 36.2476)	(6, 36.9109)	(7, 36.9615)	(8, 36.9283)	(9, 36.9182)	(10, 36.945)	(11, 36.9188)	(12, 36.91)	(13, 36.8762)	(14, 38.2855)	(15, 38.2791)	(16, 38.2871)	(17, 38.233)	(18, 38.2494)	(19, 38.2498)	(20, 38.2449)	(21, 38.2601)	(22, 38.2639)	(23, 38.2623)	(24, 38.2065)	(25, 38.2348)	(26, 38.1746)	(27, 38.1471)	(28, 38.1052)	(29, 38.0931)	(30, 38.0618)	(31, 38.0168)	(32, 38.0002)	(33, 37.9632)	(34, 37.9586)	(35, 37.9476)	(36, 37.8961)	(37, 37.8661)	(38, 37.874)	(39, 37.8396)	(40, 37.8607)	(41, 37.851)	(42, 37.7919)	(43, 37.8048)	(44, 37.8151)	(45, 37.7961)	(46, 37.7586)	(47, 37.6929)	(48, 37.6701)	(49, 37.6244)	(50, 37.5854)	(51, 37.5542)	(52, 37.5222)	(53, 37.4491)	(54, 37.3923)	(55, 37.3266)	(56, 37.263)	(57, 37.2244)	(58, 37.1808)	(59, 37.1433)	(60, 37.0976)	(61, 37.0313)	(62, 36.9042)	(63, 36.8424)	(64, 36.8009)	(65, 36.7403)	(66, 36.6536)	(67, 36.6032)	(68, 36.5274)	(69, 36.4523)	(70, 36.3598)	(71, 36.3039)	(72, 36.2387)	(73, 36.1484)	(74, 36.0768)	(75, 36.0323)	(76, 35.9633)	(77, 35.8806)	(78, 35.8395)	(79, 35.7898)	(80, 35.7259)	(81, 35.6652)	(82, 35.6556)	(83, 35.5824)	(84, 35.5717)	(85, 35.5357)	(86, 35.4886)	(87, 35.4819)	(88, 35.4722)	(89, 35.4417)	(90, 35.4194)	(91, 35.3458)	(92, 35.3451)	(93, 35.3061)	(94, 35.2614)	(95, 35.2412)	(96, 35.1772)	(97, 35.1361)	(98, 35.0808)	(99, 35.0006)	(100, 34.8915)	(101, 33.7779)
41_GTCCGC_L001_combined	(1, 34.1035)	(2, 34.0531)	(3, 34.0406)	(4, 36.1961)	(5, 36.4003)	(6, 37.0884)	(7, 37.081)	(8, 37.0597)	(9, 37.0631)	(10, 37.0711)	(11, 37.046)	(12, 37.027)	(13, 37.0113)	(14, 38.2932)	(15, 38.2887)	(16, 38.2895)	(17, 38.2747)	(18, 38.2677)	(19, 38.2911)	(20, 38.2748)	(21, 38.2704)	(22, 38.2719)	(23, 38.2525)	(24, 38.2353)	(25, 38.2308)	(26, 38.168)	(27, 38.1449)	(28, 38.1325)	(29, 38.1073)	(30, 38.088)	(31, 38.04)	(32, 38.0385)	(33, 37.9723)	(34, 37.9839)	(35, 37.9469)	(36, 37.9247)	(37, 37.9067)	(38, 37.8836)	(39, 37.883)	(40, 37.8609)	(41, 37.8501)	(42, 37.8164)	(43, 37.8055)	(44, 37.7912)	(45, 37.7528)	(46, 37.7261)	(47, 37.678)	(48, 37.6473)	(49, 37.5937)	(50, 37.557)	(51, 37.5048)	(52, 37.4468)	(53, 37.4067)	(54, 37.3378)	(55, 37.2918)	(56, 37.2432)	(57, 37.1766)	(58, 37.1271)	(59, 37.0815)	(60, 37.0231)	(61, 36.9573)	(62, 36.8603)	(63, 36.8098)	(64, 36.7388)	(65, 36.6906)	(66, 36.5987)	(67, 36.5133)	(68, 36.4439)	(69, 36.3864)	(70, 36.2989)	(71, 36.2099)	(72, 36.1225)	(73, 36.0743)	(74, 36.0159)	(75, 35.9626)	(76, 35.8936)	(77, 35.8242)	(78, 35.7583)	(79, 35.719)	(80, 35.6725)	(81, 35.6084)	(82, 35.5669)	(83, 35.5247)	(84, 35.4556)	(85, 35.4376)	(86, 35.3935)	(87, 35.36)	(88, 35.3488)	(89, 35.3092)	(90, 35.2609)	(91, 35.215)	(92, 35.1965)	(93, 35.1691)	(94, 35.1223)	(95, 35.0913)	(96, 35.0109)	(97, 34.9602)	(98, 34.9041)	(99, 34.8118)	(100, 34.7016)	(101, 33.0269)
45_CGTACG_L001_combined	(1, 34.1365)	(2, 34.0892)	(3, 34.0792)	(4, 36.2351)	(5, 36.4356)	(6, 37.1309)	(7, 37.1234)	(8, 37.1037)	(9, 37.1068)	(10, 37.1141)	(11, 37.0911)	(12, 37.0738)	(13, 37.0573)	(14, 38.3592)	(15, 38.3547)	(16, 38.3543)	(17, 38.3412)	(18, 38.3356)	(19, 38.3608)	(20, 38.3432)	(21, 38.3384)	(22, 38.3399)	(23, 38.3225)	(24, 38.3035)	(25, 38.2992)	(26, 38.2394)	(27, 38.2181)	(28, 38.2052)	(29, 38.1794)	(30, 38.1615)	(31, 38.1166)	(32, 38.1136)	(33, 38.0487)	(34, 38.0595)	(35, 38.0246)	(36, 38.0021)	(37, 37.9853)	(38, 37.9618)	(39, 37.9609)	(40, 37.9357)	(41, 37.9266)	(42, 37.8936)	(43, 37.8816)	(44, 37.8685)	(45, 37.8313)	(46, 37.8043)	(47, 37.7573)	(48, 37.7271)	(49, 37.6744)	(50, 37.6386)	(51, 37.5872)	(52, 37.5309)	(53, 37.4914)	(54, 37.4237)	(55, 37.377)	(56, 37.3275)	(57, 37.2637)	(58, 37.214)	(59, 37.1705)	(60, 37.1114)	(61, 37.0469)	(62, 36.9523)	(63, 36.9015)	(64, 36.8326)	(65, 36.7852)	(66, 36.6939)	(67, 36.6117)	(68, 36.5432)	(69, 36.4845)	(70, 36.3969)	(71, 36.3094)	(72, 36.2211)	(73, 36.1748)	(74, 36.1178)	(75, 36.0657)	(76, 35.9942)	(77, 35.9265)	(78, 35.863)	(79, 35.825)	(80, 35.7796)	(81, 35.7171)	(82, 35.6753)	(83, 35.6352)	(84, 35.5673)	(85, 35.5498)	(86, 35.5092)	(87, 35.4752)	(88, 35.4641)	(89, 35.4236)	(90, 35.3773)	(91, 35.3349)	(92, 35.3171)	(93, 35.2894)	(94, 35.2439)	(95, 35.2154)	(96, 35.1382)	(97, 35.09)	(98, 35.035)	(99, 34.9446)	(100, 34.8377)	(101, 33.1902)
