Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
13_AGTCAA_L001_combined	49815810.0	1587700.0	29564.0	nan	3184.0	0.0
17_ATCACG_L002_combined	37954472.0	1238256.0	31974.0	nan	1090.0	0.0
1_ATCACG_L001_combined	35869846.0	1046068.0	23238.0	nan	1878.0	0.0
21_ACAGTG_L002_combined	47843132.0	1706842.0	41646.0	nan	3154.0	0.0
25_GATCAG_L002_combined	46061960.0	1736626.0	39406.0	nan	2276.0	0.0
29_AGTCAA_L002_combined	46745078.0	1773852.0	42792.0	nan	2142.0	0.0
33_GTCCGC_L002_combined	41842250.0	1676172.0	36744.0	nan	1482.0	0.0
37_CGTACG_L002_combined	47171646.0	1845428.0	41410.0	nan	1396.0	0.0
41_GTCCGC_L001_combined	43891980.0	1564316.0	26390.0	nan	1900.0	0.0
45_CGTACG_L001_combined	45779166.0	1617676.0	27532.0	nan	1124.0	0.0
5_ACAGTG_L001_combined	48146870.0	1387240.0	29668.0	nan	3980.0	0.0
9_GATCAG_L001_combined	38645908.0	1267348.0	23562.0	nan	4984.0	0.0
