Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
13_AGTCAA_L001_R1_combined - illumina_universal_adapter	(1, 7.776615476188023e-05)	(2, 0.00012831415535710238)	(3, 0.00026440492619039276)	(4, 0.0006337941613093239)	(5, 0.0007582200089283322)	(6, 0.0010848378589282293)	(7, 0.0012248169374996136)	(8, 0.001380349247023374)	(9, 0.0015864295571423566)	(10, 0.0018683318681541725)	(12, 0.0022241120261897746)	(14, 0.0025196234142849192)	(16, 0.0027879166482134062)	(18, 0.0030639864976180807)	(20, 0.0032739551154751575)	(22, 0.0034333757327370124)	(24, 0.0036102937348202893)	(26, 0.003798876660117849)	(28, 0.003985515431546361)	(30, 0.004232422972915331)	(32, 0.004660136824105673)	(34, 0.005280321908331668)	(36, 0.006098810687200457)	(38, 0.007313906855354836)	(40, 0.008993655798211448)	(42, 0.011468563673508287)	(44, 0.014435342477674019)	(46, 0.018135067290470472)	(48, 0.022933239039278477)	(50, 0.02933339357618122)	(52, 0.03778074213719046)	(54, 0.04867383626546083)	(56, 0.06200878765325425)	(58, 0.07803250384193966)	(60, 0.0988291177791355)	(62, 0.12622224579400781)	(64, 0.16146781128596097)	(66, 0.20535902903356618)	(68, 0.2589301888951564)	(70, 0.3261454206097185)	(72, 0.4113712937671321)	(74, 0.5204810972057882)	(76, 0.6571317843533642)	(78, 0.8223906956839668)	(80, 1.0238789143642604)	(82, 1.2710975203522776)	(84, 1.5785343482801566)	(86, 1.9577629461303347)	(88, 2.4045392260066816)	(90, 2.782791858614598)
13_AGTCAA_L001_R1_combined - polya	(1, 0.002768475109522936)	(2, 0.009989062579163516)	(3, 0.014145663551186013)	(4, 0.02654936523570591)	(5, 0.03216796991725176)	(6, 0.037806016137488074)	(7, 0.04371624389939097)	(8, 0.05254659077260247)	(9, 0.06884637681069257)	(10, 0.08753747210771048)	(12, 0.09837224161990944)	(14, 0.11169747223835762)	(16, 0.12077472665293809)	(18, 0.12822472427912623)	(20, 0.1361899226806118)	(22, 0.14453811939429964)	(24, 0.1533470805749516)	(26, 0.16556219933417396)	(28, 0.17866385225768172)	(30, 0.18968720469517825)	(32, 0.19903469649755626)	(34, 0.20934843277285065)	(36, 0.21879507642255003)	(38, 0.22638116481957143)	(40, 0.23463409799367596)	(42, 0.24320198409456611)	(44, 0.25159100803950396)	(46, 0.26006946306241796)	(48, 0.2678674642311655)	(50, 0.27499278816122275)	(52, 0.2822736444008038)	(54, 0.28982473802818237)	(56, 0.29824098012728684)	(58, 0.30617507206686767)	(60, 0.31254800844960373)	(62, 0.3191872939123993)	(64, 0.32620374522578993)	(66, 0.33798337351834573)	(68, 0.344941500215665)	(70, 0.35167799337191286)	(72, 0.3593651777701247)	(74, 0.3656895103061346)	(76, 0.37275845377398953)	(78, 0.38097639217845125)	(80, 0.3875923477948182)	(82, 0.39360950401951866)	(84, 0.39960916285939774)	(86, 0.4069775060230859)	(88, 0.41404450533707177)	(90, 0.4199411240218913)
13_AGTCAA_L001_R2_combined - illumina_universal_adapter	(1, 6.610123154759819e-05)	(2, 7.387784702378622e-05)	(3, 0.0001633089249999485)	(4, 0.00040438400476177716)	(5, 0.0004743735440474694)	(6, 0.0006493473922616999)	(7, 0.0007504433934521442)	(8, 0.0008787575488092466)	(9, 0.0010381781660711012)	(10, 0.0012714766303567417)	(12, 0.0015630997107137926)	(14, 0.0018158397136899033)	(16, 0.002049138177975544)	(18, 0.0023096547964278425)	(20, 0.0025099026449396846)	(22, 0.0026498817235110685)	(24, 0.0028248555717252993)	(26, 0.0030251034202371406)	(28, 0.0032097980377966064)	(30, 0.0034703146562489054)	(32, 0.0039038609690463873)	(34, 0.004508492822320007)	(36, 0.0053094842163673725)	(38, 0.00649930638422414)	(40, 0.008179055327080752)	(42, 0.010611191817258557)	(44, 0.013574082313686195)	(46, 0.0172718629726136)	(48, 0.022046704874993044)	(50, 0.028398255565169613)	(52, 0.036785335356238395)	(54, 0.047600663329746884)	(56, 0.06084812779343318)	(58, 0.07683684921247576)	(60, 0.09763735145740968)	(62, 0.12486328223954393)	(64, 0.15986971680560433)	(66, 0.20363456455172146)	(68, 0.25711240502759747)	(70, 0.3243548548963262)	(72, 0.40944463728290653)	(74, 0.5181889397941817)	(76, 0.6543846949364007)	(78, 0.8192353339545035)	(80, 1.0202433466291425)	(82, 1.2665754184528741)	(84, 1.5727718762123013)	(86, 1.9505268054297418)	(88, 2.3955047429772205)	(90, 2.7729000037288873)
13_AGTCAA_L001_R2_combined - polya	(1, 0.014616148787495389)	(2, 0.02282825473034994)	(3, 0.02590001784344421)	(4, 0.032027990838680374)	(5, 0.034901450257131844)	(6, 0.0376621487511786)	(7, 0.04041507062974915)	(8, 0.04706018855415182)	(9, 0.05463072372022086)	(10, 0.06813481649462136)	(12, 0.07530485596366672)	(14, 0.08349168790622366)	(16, 0.09505940342705335)	(18, 0.10544896170324054)	(20, 0.1179498710812128)	(22, 0.12932511536900682)	(24, 0.13880869794221812)	(26, 0.14828061559221511)	(28, 0.1571498455428076)	(30, 0.1655894174883406)	(32, 0.1735585041975643)	(34, 0.18278934676779948)	(36, 0.19150693271660624)	(38, 0.19902691988208007)	(40, 0.20782227198564873)	(42, 0.21673816162909829)	(44, 0.22530215942225035)	(46, 0.234511616299926)	(48, 0.24301923363087571)	(50, 0.2533854620606344)	(52, 0.26260269555378624)	(54, 0.2728892136749139)	(56, 0.2820986705525896)	(58, 0.2952294857841331)	(60, 0.3060389812960344)	(62, 0.31429191447013893)	(64, 0.32331667673025516)	(66, 0.3346569262484064)	(68, 0.34408607251328427)	(70, 0.35603678634631625)	(72, 0.36635635508321773)	(74, 0.3758554908873814)	(76, 0.3859339845445211)	(78, 0.3955983734275538)	(80, 0.4033963745963013)	(82, 0.4101542534451087)	(84, 0.4185879929290346)	(86, 0.4287636942796267)	(88, 0.4374851685361715)	(90, 0.44480685200700254)
17_ATCACG_L002_R1_combined - illumina_universal_adapter	(1, 7.648029133484417e-05)	(2, 0.0001223684661357507)	(3, 0.00022434218791554292)	(4, 0.0005353620393439093)	(5, 0.0006526318193906703)	(6, 0.0008820726933952028)	(7, 0.0010401319621538808)	(8, 0.001167599114378621)	(9, 0.001284868894425382)	(10, 0.0015066617392964303)	(12, 0.0017896388172353537)	(14, 0.002044573121684834)	(16, 0.0023657903452911798)	(18, 0.0026054285914736915)	(20, 0.002852714866789688)	(22, 0.0030719583686162413)	(24, 0.0032376656665084034)	(26, 0.0034390637670234933)	(28, 0.0036073204079601503)	(30, 0.0038724520845876097)	(32, 0.004265050913439811)	(34, 0.004961021564586892)	(36, 0.0058864330897385065)	(38, 0.0071636539550304044)	(40, 0.009057815837090047)	(42, 0.011890135959523774)	(44, 0.01568100906668755)	(46, 0.020195895598487855)	(48, 0.026482575546212042)	(50, 0.03436514423978998)	(52, 0.04487863495528656)	(54, 0.059129462574012526)	(56, 0.07578941936978609)	(58, 0.09631418022101376)	(60, 0.12287068671551615)	(62, 0.15752390671933406)	(64, 0.20205328167752484)	(66, 0.259145819158986)	(68, 0.3282789038395961)	(70, 0.41400821173986746)	(72, 0.5235254395883199)	(74, 0.6628393889408275)	(76, 0.8374617394595882)	(78, 1.0464619809333615)	(80, 1.3001318112327724)	(82, 1.610672386168774)	(84, 1.9898973614095543)	(86, 2.448180013803163)	(88, 2.985359734737797)	(90, 3.436218700185837)
17_ATCACG_L002_R1_combined - polya	(1, 0.002906251070724079)	(2, 0.010681747356433237)	(3, 0.01470461068064604)	(4, 0.027221885029115538)	(5, 0.03206053812756668)	(6, 0.03698586888953064)	(7, 0.042895246066669605)	(8, 0.051297880741324485)	(9, 0.06661433375264927)	(10, 0.08567832103938144)	(12, 0.09569723920424603)	(14, 0.1084668985141205)	(16, 0.11712701683626936)	(18, 0.12426007867476582)	(20, 0.13169906167860168)	(22, 0.1397779297866057)	(24, 0.14790013672636615)	(26, 0.15893369342293967)	(28, 0.17166511258714673)	(30, 0.18199250126039518)	(32, 0.19101717563790682)	(34, 0.20141084723031213)	(36, 0.21087910729756584)	(38, 0.21835123176098012)	(40, 0.2260655438136214)	(42, 0.23400929674026721)	(44, 0.24183068120077728)	(46, 0.25008290463580696)	(48, 0.25762896004751157)	(50, 0.26418587035795227)	(52, 0.2708167116166832)	(54, 0.27792937871082374)	(56, 0.2855034768960178)	(58, 0.2924555353783551)	(60, 0.2985612119699202)	(62, 0.3046108030145064)	(64, 0.31260809214508656)	(66, 0.3188284891736539)	(68, 0.3249520111665304)	(70, 0.33141714512736925)	(72, 0.33837685163884007)	(74, 0.3443091729033795)	(76, 0.35105218525606824)	(78, 0.3587308065060866)	(80, 0.36537694382308455)	(82, 0.37111806435928685)	(84, 0.3770248921933813)	(86, 0.3842114902358122)	(88, 0.3909774466759014)	(90, 0.3967695540729936)
17_ATCACG_L002_R2_combined - illumina_universal_adapter	(1, 5.0986860889896116e-05)	(2, 7.138160524585456e-05)	(3, 0.00014276321049170912)	(4, 0.00035690802622927284)	(5, 0.0004282896314751274)	(6, 0.0005812502141448158)	(7, 0.0006781252498356184)	(8, 0.0007495068550814729)	(9, 0.0008514805768612652)	(10, 0.000996793130397469)	(12, 0.001223684661357507)	(14, 0.0014199840757836068)	(16, 0.0016927637815445512)	(18, 0.001917105969460094)	(20, 0.002151645529553616)	(22, 0.00236069165920219)	(24, 0.002518750927960868)	(26, 0.002692106254986515)	(28, 0.0028603628959231724)	(30, 0.0031076491712391683)	(32, 0.003462007854423946)	(34, 0.004114639673814617)	(36, 0.0050120084254767884)	(38, 0.006273933232501717)	(40, 0.008061022706692575)	(42, 0.010753128961679091)	(44, 0.014452225719241055)	(46, 0.018819250354460658)	(48, 0.024866292056002336)	(50, 0.03245823564250787)	(52, 0.04262756504699765)	(54, 0.05641441223162556)	(56, 0.07244723063845339)	(58, 0.09229131689680097)	(60, 0.11792496120919624)	(62, 0.15153549990781573)	(64, 0.1947111737093798)	(66, 0.2499656348557602)	(68, 0.3168909884598379)	(70, 0.4000837000308368)	(72, 0.5060547917043969)	(74, 0.6408385584668373)	(76, 0.8102602491748286)	(78, 1.012945767927388)	(80, 1.2600484905441807)	(82, 1.5625076480291336)	(84, 1.9315989846680468)	(86, 2.377940514241242)	(88, 2.900683305514902)	(90, 3.3395833027412167)
17_ATCACG_L002_R2_combined - polya	(1, 0.01430181447961586)	(2, 0.023046061122233046)	(3, 0.02588093058771127)	(4, 0.032499025131219786)	(5, 0.035277809049719125)	(6, 0.03805149428212947)	(7, 0.0410801138189893)	(8, 0.04834064280971051)	(9, 0.05646284974947096)	(10, 0.07208012524004614)	(12, 0.07958029247694987)	(14, 0.08803136466945014)	(16, 0.09907766808124613)	(18, 0.10923680011355794)	(20, 0.12222315358221447)	(22, 0.13400621713386948)	(24, 0.14349997063156814)	(26, 0.15285351026181956)	(28, 0.16184504317975273)	(30, 0.17014570413262786)	(32, 0.17842342099810246)	(34, 0.18846528325036752)	(36, 0.19782392156670794)	(38, 0.20529094734403325)	(40, 0.21384144391526883)	(42, 0.2227335524544667)	(44, 0.23189334201333653)	(46, 0.24101489142653895)	(48, 0.24974639135393367)	(50, 0.26010437214371607)	(52, 0.2698301158584637)	(54, 0.2809579982476836)	(56, 0.2905154853214946)	(58, 0.3009193542860779)	(60, 0.31052782822077885)	(62, 0.3184970745778696)	(64, 0.3272642653078872)	(66, 0.3379256179199645)	(68, 0.3470650127344784)	(70, 0.35895514869400214)	(72, 0.36898171488800025)	(74, 0.37788147145633155)	(76, 0.3880406034886434)	(78, 0.39812070588657583)	(80, 0.4057126494730814)	(82, 0.4124403657675032)	(84, 0.42148033620328174)	(86, 0.4318791064817761)	(88, 0.4406896360435501)	(90, 0.4481847045943648)
1_ATCACG_L001_R1_combined - illumina_universal_adapter	(1, 0.00012452278672251424)	(2, 0.0001786631287757813)	(3, 0.00032484205231960236)	(4, 0.0008121051307990059)	(5, 0.0009528700201375003)	(6, 0.0014726173038488639)	(7, 0.0016079681589820317)	(8, 0.0018245295271951)	(9, 0.0020681610664348015)	(10, 0.0024417294266023443)	(12, 0.0029398205734924012)	(14, 0.003400013480945171)	(16, 0.003862913405500605)	(18, 0.004250016851181464)	(20, 0.004615464160041017)	(22, 0.004864509733486046)	(24, 0.005121676358239064)	(26, 0.00540049911981339)	(28, 0.005673907847182387)	(30, 0.005939195523243396)	(32, 0.006301935815000286)	(34, 0.0069624479880501435)	(36, 0.0077556039991305056)	(38, 0.00877614944683459)	(40, 0.010248766750683454)	(42, 0.012357533073658207)	(44, 0.015465188707515735)	(46, 0.019414726660301567)	(48, 0.02456888722377259)	(50, 0.031496143989488114)	(52, 0.040859716147600644)	(54, 0.05331199481985208)	(56, 0.06840361516720027)	(58, 0.08665432447335658)	(60, 0.11078467492649771)	(62, 0.14253798554073885)	(64, 0.18392557002335885)	(66, 0.23549424582909573)	(68, 0.2980236338835165)	(70, 0.3757014896444414)	(72, 0.47495968574779857)	(74, 0.6023871018214706)	(76, 0.7600600199832003)	(78, 0.9504255836937953)	(80, 1.180917261917169)	(82, 1.4637924280941816)	(84, 1.8112001749815856)	(86, 2.235181314652028)	(88, 2.7277582677039596)	(90, 3.1433395333048373)
1_ATCACG_L001_R1_combined - polya	(1, 0.004109251961842969)	(2, 0.014753243209515274)	(3, 0.019696256438978557)	(4, 0.03697243958817607)	(5, 0.043707498139602494)	(6, 0.05015019884394128)	(7, 0.05760532394467615)	(8, 0.06881237474970243)	(9, 0.0885519434623236)	(10, 0.11385443232091796)	(12, 0.12741929502236402)	(14, 0.14355853098844293)	(16, 0.15465730110936268)	(18, 0.16397214695962725)	(20, 0.1732409735191466)	(22, 0.1843072594348344)	(24, 0.195238194495389)	(26, 0.20949063954091157)	(28, 0.2254133141387774)	(30, 0.23812275943578182)	(32, 0.24954637160902118)	(34, 0.26305438695131134)	(36, 0.27500316044246736)	(38, 0.2847565430633634)	(40, 0.2946858817959326)	(42, 0.30496171871764266)	(44, 0.3152592117761741)	(46, 0.3256352083306827)	(48, 0.3348607226165594)	(50, 0.3437478597646032)	(52, 0.35265394603236566)	(54, 0.361625000710592)	(56, 0.3720470165558459)	(58, 0.38142141678236907)	(60, 0.38887924890020664)	(62, 0.39686224233596085)	(64, 0.40685654947899397)	(66, 0.4148151797608242)	(68, 0.42290103984647964)	(70, 0.4308813262651312)	(72, 0.4395979213357072)	(74, 0.4471450850179326)	(76, 0.4554908187454437)	(78, 0.4649031172114042)	(80, 0.4728752825787478)	(82, 0.47970779374587014)	(84, 0.48674603821279483)	(86, 0.49500244037591806)	(88, 0.5032426004364253)	(90, 0.5103431062967113)
