Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
13_AGTCAA_L001_R1_combined	(1, 0.030480444358918956)	(2, 0.022591067958326206)	(3, 0.014044567549995569)	(4, 0.0002799581571427688)	(5, 0.00346059388690367)	(6, 0.0012559233994043656)	(7, 0.0004354904666665293)	(8, 0.0)	(9, 0.0)	(10, 3.1106461904752094e-05)	(12, 0.0008379303175592595)	(14, 2.332984642856407e-05)	(16, 7.776615476188024e-06)	(18, 3.8883077380940116e-05)	(20, 4.665969285712814e-05)	(22, 0.0)	(24, 0.002756810186308654)	(26, 0.0038941401997011522)	(28, 0.0015028309407733355)	(30, 0.003316726500594192)	(32, 0.006347662382438474)	(34, 0.005517508680355402)	(36, 0.007502489780652395)	(38, 0.007335292547914353)	(40, 0.009555516266366033)	(42, 0.014649199403269189)	(44, 0.010634521663687122)	(46, 0.013039439999698269)	(48, 0.016848037429161352)	(50, 0.014870832944340547)	(52, 0.014248703706245505)	(54, 0.020555538857433994)	(56, 0.022639671805052382)	(58, 0.017944540211303865)	(60, 0.022554129034814314)	(62, 0.017026899585113678)	(64, 0.021078516248207637)	(66, 0.02686626231636057)	(68, 0.026152757846420318)	(70, 0.02458771398183748)	(72, 0.025785312765170435)	(74, 0.023020725963385596)	(76, 0.028526569720526713)	(78, 0.03530583426189362)	(80, 0.03073124020802602)	(82, 0.027025682933622428)	(84, 0.031938559760704206)	(86, 0.016721667427673295)	(88, 0.008952828566961462)	(90, 0.00749276901130716)	(92, 0.007580255935414275)	(94, 0.004485162975891442)	(96, 0.008054629479461745)	(98, 0.010179589658330122)	(100, 0.006063815917557611)
13_AGTCAA_L001_R2_combined	(1, 0.6184314574361144)	(2, 0.18623438742375076)	(3, 0.17664970884934905)	(4, 0.1934277567392247)	(5, 0.1824510639945853)	(6, 0.14435342477674015)	(7, 0.14343578415055)	(8, 0.14455561677912107)	(9, 0.14695470265352506)	(10, 0.16691533042703066)	(12, 0.16277039437822247)	(14, 0.14209820628864567)	(16, 0.16175360190471086)	(18, 0.15707402354191471)	(20, 0.1706267201630414)	(22, 0.16782519443774466)	(24, 0.17342046927286195)	(26, 0.1605093434285208)	(28, 0.1830129244627399)	(30, 0.19087897101690407)	(32, 0.1803416570466693)	(34, 0.174538357747564)	(36, 0.17598091991839684)	(38, 0.171313006478815)	(40, 0.17804366717345574)	(42, 0.16977129246066072)	(44, 0.16989183000054164)	(46, 0.1655894174883406)	(48, 0.14849641667167934)	(50, 0.15126683593507131)	(52, 0.16372108562018645)	(54, 0.17141021417226734)	(56, 0.167010593966614)	(58, 0.17187875525470767)	(60, 0.17399399466423082)	(62, 0.16760161674280427)	(64, 0.1640204853160197)	(66, 0.15427444197048704)	(68, 0.16221242221780596)	(70, 0.16309701222822237)	(72, 0.17483386913565913)	(74, 0.18241218091720435)	(76, 0.1806974372047049)	(78, 0.1727983400347669)	(80, 0.16344307161691274)	(82, 0.16480397932524563)	(84, 0.1524897087187019)	(86, 0.164156576086853)	(88, 0.16641373872881654)	(90, 0.16701642642822112)	(92, 0.16684534088774497)	(94, 0.1559191961437008)	(96, 0.1714490972496483)	(98, 0.1718457046389339)	(100, 0.17322216557821918)
17_ATCACG_L002_R1_combined	(1, 0.022398527988931362)	(2, 0.015382735930481657)	(3, 0.007122864466318487)	(4, 0.003762830333674334)	(5, 0.006536515566084682)	(6, 0.004634705654891557)	(7, 3.569080262292729e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0010554280204208497)	(12, 0.0003390626249178092)	(14, 7.648029133484416e-06)	(16, 0.00014786189658069873)	(18, 4.0789488711916894e-05)	(20, 0.0001376645244027195)	(22, 0.001297615609647856)	(24, 0.0)	(26, 0.0004104442301636638)	(28, 0.0021873363321765434)	(30, 0.007306417165522114)	(32, 0.00035945736927376764)	(34, 0.002307155455267799)	(36, 0.004744327405804834)	(38, 0.0035767282914262125)	(40, 0.006929114394936882)	(42, 0.009774181232593085)	(44, 0.00472138331840438)	(46, 0.000984046415174995)	(48, 0.0015194084545189044)	(50, 0.0031178465434171473)	(52, 0.0022153791056659863)	(54, 0.003614968437093635)	(56, 0.004262501570395315)	(58, 0.004160527848615523)	(60, 0.00663084125873099)	(62, 0.006737913666599773)	(64, 0.0055167783482867605)	(66, 0.009975579333108177)	(68, 0.014610284987999734)	(70, 0.014691863965423567)	(72, 0.015265466150434897)	(74, 0.011089642243552406)	(76, 0.012726320478118072)	(78, 0.009430019921586288)	(80, 0.01036053013282689)	(82, 0.009047618464912066)	(84, 0.009544740358588552)	(86, 0.004180922592971482)	(88, 0.00024218758922700656)	(90, 0.0005098686088989612)	(92, 0.0015296058266968835)	(94, 0.0006322370750347119)	(96, 0.0004996712367209819)	(98, 0.0005863489002338054)	(100, 0.0002294408740045325)
17_ATCACG_L002_R2_combined	(1, 0.44011348451549426)	(2, 0.2111620843755048)	(3, 0.20246882459377746)	(4, 0.1995625735230534)	(5, 0.19655944741663853)	(6, 0.15876288743895853)	(7, 0.1577941370820505)	(8, 0.15012061451812114)	(9, 0.1601599274273417)	(10, 0.17441330438911212)	(12, 0.17445919256391304)	(14, 0.17532851854208578)	(16, 0.173006067028551)	(18, 0.14916716021948007)	(20, 0.14442283281367524)	(22, 0.13882192614492014)	(24, 0.13633376733349323)	(26, 0.15852324919277602)	(28, 0.14304873691269254)	(30, 0.15280507274397417)	(32, 0.15182612501488815)	(34, 0.14100161444796322)	(36, 0.13588253361461766)	(38, 0.13412603625696073)	(40, 0.1392527651194398)	(42, 0.12988902811701036)	(44, 0.130304571033263)	(46, 0.14373960887775064)	(48, 0.13628023112955884)	(50, 0.12632249719776212)	(52, 0.13206361773396444)	(54, 0.1331445391848302)	(56, 0.1375676493670287)	(58, 0.14135597313114798)	(60, 0.14595498798341663)	(62, 0.15147431567474787)	(64, 0.1503857461947486)	(66, 0.1480352519077244)	(68, 0.1564659293558687)	(70, 0.14697982388730352)	(72, 0.14642406710360367)	(74, 0.15114545042200805)	(76, 0.14759421556102678)	(78, 0.14516724098266773)	(80, 0.14323483895494066)	(82, 0.15517851111839884)	(84, 0.1495495616761543)	(86, 0.17195828703726365)	(88, 0.1709079577029318)	(90, 0.16680861408738412)	(92, 0.16351231353085235)	(94, 0.16465186987174155)	(96, 0.1533174906959176)	(98, 0.15870170320589067)	(100, 0.16127399033778592)
1_ATCACG_L001_R1_combined	(1, 0.028190876107136158)	(2, 0.026388002716762365)	(3, 0.017238284909760232)	(4, 0.00040063853119417625)	(5, 0.0033621152415078846)	(6, 0.0011694313883505684)	(7, 0.0005089192153007103)	(8, 0.0)	(9, 0.0)	(10, 1.894911971864347e-05)	(12, 0.000766085840053729)	(14, 3.789823943728694e-05)	(16, 0.0)	(18, 4.872630784794035e-05)	(20, 7.038244466924718e-05)	(22, 0.0)	(24, 0.003069757394420242)	(26, 0.004409730860238601)	(28, 0.0017703891851418329)	(30, 0.003963073038299149)	(32, 0.007314360211396379)	(34, 0.006293814763692295)	(36, 0.008971054678226351)	(38, 0.00865433367721474)	(40, 0.011285554301003519)	(42, 0.01768223571459702)	(44, 0.012617406715513887)	(46, 0.015275697510329301)	(48, 0.019904696755883633)	(50, 0.017758032193471596)	(52, 0.017132711242756362)	(54, 0.024579715292183245)	(56, 0.026918578068884383)	(58, 0.02144498948729908)	(60, 0.027080999095044182)	(62, 0.020045461645222126)	(64, 0.024081624145293187)	(66, 0.03170458430639319)	(68, 0.030916842329518152)	(70, 0.02952543553874919)	(72, 0.031233563330529766)	(74, 0.02798243579023108)	(76, 0.034162555835611515)	(78, 0.042510996580225294)	(80, 0.03732164479441965)	(82, 0.03262226310419607)	(84, 0.038290756917173124)	(86, 0.0195230073444081)	(88, 0.009802108928744)	(90, 0.008621849471982778)	(92, 0.008556881061518858)	(94, 0.0055547990946652)	(96, 0.009461024773808419)	(98, 0.011737626157148299)	(100, 0.006932670799920848)
1_ATCACG_L001_R2_combined	(1, 0.6983671002135025)	(2, 0.20580368224708406)	(3, 0.1942338911503009)	(4, 0.2117482918045328)	(5, 0.20160239170375055)	(6, 0.15728310769894613)	(7, 0.15810062686395046)	(8, 0.1591401214313732)	(9, 0.16126242283986125)	(10, 0.18046329514905243)	(12, 0.17670324839345303)	(14, 0.15559663604398688)	(16, 0.17480021537028068)	(18, 0.17264542975656066)	(20, 0.18641331874070646)	(22, 0.18730663438458536)	(24, 0.194699498091959)	(26, 0.17914768483715804)	(28, 0.20289905289592627)	(30, 0.21109860769989358)	(32, 0.1998563656725327)	(34, 0.1940931262609624)	(36, 0.1952598506322103)	(38, 0.18987830063211555)	(40, 0.19610985400244663)	(42, 0.1863294012105239)	(44, 0.18859246750835046)	(46, 0.18517350490768664)	(48, 0.1657506571960771)	(50, 0.16683887807134776)	(52, 0.18242317553138068)	(54, 0.1901273462055606)	(56, 0.18509500141170943)	(58, 0.1891068007578565)	(60, 0.1901787795305112)	(62, 0.18031982324261125)	(64, 0.1777535710292864)	(66, 0.16632183780473905)	(68, 0.1785440200232641)	(70, 0.17850341476672416)	(72, 0.19214678096414745)	(74, 0.19795062563225768)	(76, 0.19833231504373322)	(78, 0.1900461356924807)	(80, 0.1775343026439707)	(82, 0.18007348468626888)	(84, 0.16429157497774155)	(86, 0.17745579914799345)	(88, 0.17859003931400938)	(90, 0.17783478154236632)	(92, 0.1786766638612946)	(94, 0.16751021831280827)	(96, 0.18484866285536705)	(98, 0.185991024072691)	(100, 0.1888117358936662)
21_ACAGTG_L002_R1_combined	(1, 0.023562966533530325)	(2, 0.016888876235225912)	(3, 0.008012941040924999)	(4, 0.0037342644206827115)	(5, 0.006145808830583642)	(6, 0.004302872718000489)	(7, 4.032682959700552e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0010202687888042398)	(12, 0.00031858195381634363)	(14, 0.0)	(16, 0.0001633236598678724)	(18, 2.2179756278353038e-05)	(20, 0.00015727463542832153)	(22, 0.0011795597657124116)	(24, 2.016341479850276e-06)	(26, 0.00041939902780885747)	(28, 0.002111109529403239)	(30, 0.008077463968280206)	(32, 0.0003750395152521514)	(34, 0.0022885475796300637)	(36, 0.004595242232578779)	(38, 0.003774591250279717)	(40, 0.006684172005703665)	(42, 0.009539311541171656)	(44, 0.004927938576754075)	(46, 0.001195690497551214)	(48, 0.0016816287941951306)	(50, 0.0033370451491522074)	(52, 0.0024135607513807804)	(54, 0.004286741986161687)	(56, 0.00489366077159662)	(58, 0.0046375854036556355)	(60, 0.00745239810952662)	(62, 0.0076419342086325465)	(64, 0.006103465659506786)	(66, 0.010666446428407961)	(68, 0.015275803051345693)	(70, 0.015217329148430034)	(72, 0.015822231592385116)	(74, 0.012029493268786747)	(76, 0.013527634988315504)	(78, 0.010724920331323618)	(80, 0.011850038877080074)	(82, 0.010414403743426675)	(84, 0.010898325698590743)	(86, 0.0044359512556706076)	(88, 0.00022986292870293148)	(90, 0.0005585265899185265)	(92, 0.001713890257872735)	(94, 0.000671441712790142)	(96, 0.00044359512556706073)	(98, 0.0005202161018013713)	(100, 0.00021574853834397954)
21_ACAGTG_L002_R2_combined	(1, 0.47785679999267666)	(2, 0.22563264427820562)	(3, 0.21652281347224206)	(4, 0.21351039930134572)	(5, 0.20991324610129283)	(6, 0.16395679109254535)	(7, 0.161295220339143)	(8, 0.1539799334502462)	(9, 0.16452539938986313)	(10, 0.17861760999253673)	(12, 0.17930114975420597)	(14, 0.17931728048604476)	(16, 0.1762262289974343)	(18, 0.1526330173417062)	(20, 0.14735423534745817)	(22, 0.14179518188751097)	(24, 0.1389541567424019)	(26, 0.163813630847476)	(28, 0.14529151801357135)	(30, 0.15558695760968685)	(32, 0.15397388442580665)	(34, 0.1435090721453837)	(36, 0.138885601132087)	(38, 0.13742173721771572)	(40, 0.14200286505993553)	(42, 0.13230627888333557)	(44, 0.13275390669186235)	(46, 0.1466928753420673)	(48, 0.13956107552783686)	(50, 0.1289712500756632)	(52, 0.13497591500265732)	(54, 0.13599215110850188)	(56, 0.14026477870430462)	(58, 0.14379942531848214)	(60, 0.14797123584029237)	(62, 0.1533387368596538)	(64, 0.15209667050806605)	(66, 0.14962060317080988)	(68, 0.15905506495502933)	(70, 0.14878785413963172)	(72, 0.1485902526746064)	(74, 0.15397186808432678)	(76, 0.14953390048717635)	(78, 0.14732600656674028)	(80, 0.14548307045415712)	(82, 0.1596841634967426)	(84, 0.15195351026299667)	(86, 0.1760104804590903)	(88, 0.17426029605458027)	(90, 0.17007638748389095)	(92, 0.16738457160829082)	(94, 0.16824958210314658)	(96, 0.15619186005364194)	(98, 0.16107342277635947)	(100, 0.16406970621541697)
25_GATCAG_L002_R1_combined	(1, 0.02294719586437099)	(2, 0.016262450703662445)	(3, 0.007462332777901663)	(4, 0.003879576928791452)	(5, 0.006082741844171943)	(6, 0.0044355938808704)	(7, 2.9264050109418283e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0009301787356207955)	(12, 0.00035534917990007913)	(14, 8.361157174119509e-06)	(16, 0.00011287562185061338)	(18, 2.0902892935298775e-05)	(20, 0.00017767458995003956)	(22, 0.0012332706831826275)	(24, 2.0902892935298773e-06)	(26, 0.0003825229407159676)	(28, 0.002067296111301049)	(30, 0.0075396734817622674)	(32, 0.0003783423621289078)	(34, 0.0023285822729922833)	(36, 0.004755408142780471)	(38, 0.003689360603080234)	(40, 0.0068456974363103485)	(42, 0.009690581164804512)	(44, 0.004920540996969331)	(46, 0.0011266659292126038)	(48, 0.0016074324667244757)	(50, 0.003018377739857143)	(52, 0.0022386998333704987)	(54, 0.004046800072273842)	(56, 0.0045254763204921845)	(58, 0.004295544498203898)	(60, 0.007148789383872181)	(62, 0.007121615623056293)	(64, 0.005735753821445984)	(66, 0.010269591299112289)	(68, 0.01499364510248981)	(70, 0.01516713911385279)	(72, 0.015758690983921745)	(74, 0.011711890911647902)	(76, 0.013264975856740604)	(78, 0.010321848531450534)	(80, 0.011366993178215472)	(82, 0.010119090469978137)	(84, 0.010518335725042342)	(86, 0.0044167812772286305)	(88, 0.00020275806147239812)	(90, 0.0005894615807754255)	(92, 0.0016638702776497823)	(94, 0.000664711995342501)	(96, 0.00036371033707419863)	(98, 0.0004891276946859912)	(100, 0.00021739008652710723)
25_GATCAG_L002_R2_combined	(1, 0.4598803668909213)	(2, 0.2190581373833441)	(3, 0.21073042483792104)	(4, 0.2074528512256662)	(5, 0.20450136274320205)	(6, 0.16171314090464545)	(7, 0.15926750243121546)	(8, 0.1521939634619104)	(9, 0.1627582855514104)	(10, 0.17690954406860765)	(12, 0.17737776887035833)	(14, 0.1774676513099801)	(16, 0.175116075854759)	(18, 0.1510902907149266)	(20, 0.14592309558132074)	(22, 0.140132994238243)	(24, 0.13729647166692294)	(26, 0.16068680886152226)	(28, 0.14370947921947258)	(30, 0.15403968890809724)	(32, 0.15259320871697457)	(34, 0.14191601100562395)	(36, 0.13715642228425642)	(38, 0.1354256627492137)	(40, 0.1401350845275365)	(42, 0.13073505357453263)	(44, 0.1308855544036668)	(46, 0.1440292934813827)	(48, 0.13697038653713225)	(50, 0.1267781359418806)	(52, 0.13240937529865007)	(54, 0.13371789639639978)	(56, 0.13833743573510082)	(58, 0.14179895480518628)	(60, 0.14609240901409667)	(62, 0.15148535539140376)	(64, 0.1503900438015941)	(66, 0.14827467103654185)	(68, 0.1567863290397955)	(70, 0.14716263713238395)	(72, 0.1469285247315086)	(74, 0.15163794650983142)	(76, 0.14795694706392531)	(78, 0.1457057054947936)	(80, 0.14391641785953205)	(82, 0.1564853273815272)	(84, 0.1496981580454357)	(86, 0.17301951569334853)	(88, 0.1720976981149019)	(90, 0.16802999514969272)	(92, 0.1648464845556467)	(94, 0.16596060874909813)	(96, 0.15454344862783795)	(98, 0.1594368158639914)	(100, 0.16243638100020677)
