Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
13_AGTCAA_L001_R1_combined	(1, 34.026296314168114)	(2, 33.98165702489477)	(3, 33.97148439530729)	(4, 36.25802374659525)	(5, 36.450021267099174)	(6, 37.092155770740554)	(7, 37.08707546338227)	(8, 37.06465680298905)	(9, 37.065703690964455)	(10, 37.06038281400642)	(12, 37.02225778166056)	(14, 38.375043145634734)	(16, 38.36740293199401)	(18, 38.37042638288345)	(20, 38.367662418210905)	(22, 38.3564519798466)	(24, 38.32968282801599)	(26, 38.25876462475166)	(28, 38.22650714599028)	(30, 38.175212357010885)	(32, 38.12394877170108)	(34, 38.09056370313719)	(36, 38.04947741338415)	(38, 38.02485112738955)	(40, 38.00646825824693)	(42, 37.972230989276085)	(44, 37.9433469674252)	(46, 37.88501033648288)	(48, 37.814791853637566)	(50, 37.73576911446396)	(52, 37.64245958560983)	(54, 37.53786539059665)	(56, 37.44291071873852)	(58, 37.342319964255566)	(60, 37.22814705922036)	(62, 37.070829433198654)	(64, 36.94502376125418)	(66, 36.78066610133264)	(68, 36.62603827051338)	(70, 36.44935992427754)	(72, 36.275834781760366)	(74, 36.15345404792083)	(76, 36.0018171034137)	(78, 35.86558190138948)	(80, 35.7531436482024)	(82, 35.64710446082606)	(84, 35.53996639879985)	(86, 35.46421209334474)	(88, 35.40913843304853)	(90, 35.31816733246808)	(92, 35.26352589646004)	(94, 35.1869439258198)	(96, 35.06815192504867)	(98, 34.94777748023583)	(100, 33.98900232983512)
13_AGTCAA_L001_R2_combined	(1, 33.058697971380425)	(2, 33.184182410781126)	(3, 33.19939230416023)	(4, 35.685387416790704)	(5, 35.7199428854253)	(6, 36.43875932809887)	(7, 36.431445732308134)	(8, 36.44840295341858)	(9, 36.43549318848195)	(10, 36.437750370565446)	(12, 36.40526334555675)	(14, 37.746219155367015)	(16, 37.72065693425832)	(18, 37.70961122405133)	(20, 37.665412227304714)	(22, 37.64861794573004)	(24, 37.60639010714971)	(26, 37.586511950383326)	(28, 37.54469224802473)	(30, 37.51967565369938)	(32, 37.48911507131798)	(34, 37.46163255110821)	(36, 37.44361533842528)	(38, 37.41444958923722)	(40, 37.38650257178506)	(42, 37.3453406933296)	(44, 37.2719408554176)	(46, 37.19404588102035)	(48, 37.11087980000411)	(50, 36.99400475438941)	(52, 36.91269316286578)	(54, 36.81537879369063)	(56, 36.701014175642406)	(58, 36.573226205529956)	(60, 36.44009715870077)	(62, 36.27284105698358)	(64, 36.13059460896242)	(66, 35.97470863840834)	(68, 35.80892043118689)	(70, 35.63951955836289)	(72, 35.48419558436774)	(74, 35.30904038548061)	(76, 35.16732311670106)	(78, 35.04312218824316)	(80, 34.925505875641264)	(82, 34.817685746113185)	(84, 34.728692161082165)	(86, 34.634883704020616)	(88, 34.5466886218667)	(90, 34.48460677291105)	(92, 34.39565496774668)	(94, 34.2947118548165)	(96, 34.18832242812064)	(98, 34.047613378096045)	(100, 32.98798623725699)
17_ATCACG_L002_R1_combined	(1, 33.748927542368044)	(2, 33.74475865267424)	(3, 33.72500797434504)	(4, 35.98353109097198)	(5, 36.304799862294686)	(6, 36.85623041084805)	(7, 36.89994312925536)	(8, 36.86760598740747)	(9, 36.856778111707726)	(10, 36.86909360555423)	(12, 36.83006153196346)	(14, 38.350280167701904)	(16, 38.3287905314952)	(18, 38.318831471905014)	(20, 38.32354997446578)	(22, 38.332988968074886)	(24, 38.29834591994981)	(26, 38.236905477905964)	(28, 38.17874109463487)	(30, 38.12257911835152)	(32, 38.06911246049538)	(34, 38.043693521854195)	(36, 37.97830282177604)	(38, 37.956894025237276)	(40, 37.958167829982884)	(42, 37.9090858892027)	(44, 37.923395479178595)	(46, 37.84981445371454)	(48, 37.77727447797612)	(50, 37.70585182830725)	(52, 37.625018482737076)	(54, 37.50182295873083)	(56, 37.38928182763015)	(58, 37.30801152466214)	(60, 37.203735516672296)	(62, 37.00498019262428)	(64, 36.88871505768449)	(66, 36.73186988805733)	(68, 36.57762201461732)	(70, 36.40062574134896)	(72, 36.23774770436758)	(74, 36.07667360801791)	(76, 35.91904897675489)	(78, 35.79101609981514)	(80, 35.655352758715495)	(82, 35.56140436883977)	(84, 35.48282306192823)	(86, 35.40117527773563)	(88, 35.36778541017094)	(90, 35.28898442636927)	(92, 35.228685223232716)	(94, 35.153571456250006)	(96, 35.05776717013133)	(98, 34.949607773375234)	(100, 34.289818469439695)
17_ATCACG_L002_R2_combined	(1, 32.68089225578925)	(2, 32.76324720224897)	(3, 32.791134720747)	(4, 35.45835194353756)	(5, 35.533642303512956)	(6, 36.04983307921482)	(7, 35.97369052484651)	(8, 36.009698159823)	(9, 36.07380771304758)	(10, 36.05808280429366)	(12, 36.02740607506408)	(14, 37.53976164458324)	(16, 37.483114069436766)	(18, 37.49925495449524)	(20, 37.55321700069179)	(22, 37.55191217044133)	(24, 37.490946467059224)	(26, 37.37146663603376)	(28, 37.38377616441754)	(30, 37.37756892199908)	(32, 37.35758566710393)	(34, 37.38208161609586)	(36, 37.31375733598955)	(38, 37.26827657170058)	(40, 37.20104552637204)	(42, 37.16097739976799)	(44, 37.070204726522796)	(46, 36.97305637576419)	(48, 36.94941736294324)	(50, 36.90567994140182)	(52, 36.86557665935719)	(54, 36.75384558200889)	(56, 36.62742740796668)	(58, 36.51313120714045)	(60, 36.33828150620897)	(62, 36.21145044056727)	(64, 36.10233142010237)	(66, 35.9304976429794)	(68, 35.75641628854811)	(70, 35.569472708161)	(72, 35.403944578098006)	(74, 35.22398928235789)	(76, 35.10136325609436)	(78, 34.940092987797414)	(80, 34.86953250045276)	(82, 34.72787045319569)	(84, 34.693660767894755)	(86, 34.59620478791098)	(88, 34.53357971714121)	(90, 34.506995167873214)	(92, 34.438205887595586)	(94, 34.35845152597557)	(96, 34.26777562579234)	(98, 34.10697438562872)	(100, 33.18933476218912)
1_ATCACG_L001_R1_combined	(1, 34.28735776993766)	(2, 34.254023398914434)	(3, 34.22731596817955)	(4, 36.20800291708163)	(5, 36.429350345672546)	(6, 37.21401531034733)	(7, 37.21698090172364)	(8, 37.192772372616574)	(9, 37.19647470576754)	(10, 37.1897939499792)	(12, 37.14738652387332)	(14, 38.35549812769162)	(16, 38.34843034966811)	(18, 38.352309559316566)	(20, 38.347685947035046)	(22, 38.33989179511237)	(24, 38.31307107571175)	(26, 38.243625529661735)	(28, 38.211266172058544)	(30, 38.16419945518574)	(32, 38.11358170034782)	(34, 38.081700564386)	(36, 38.042601031969056)	(38, 38.02614456066872)	(40, 38.01315493910159)	(42, 37.98843851944572)	(44, 37.97286791949223)	(46, 37.927005716949424)	(48, 37.87168806608803)	(50, 37.81581848150958)	(52, 37.745492559357444)	(54, 37.668725073448144)	(56, 37.60045951615318)	(58, 37.522682935478514)	(60, 37.43313700240627)	(62, 37.30491193667312)	(64, 37.19858152303821)	(66, 37.0529753231028)	(68, 36.91509178276837)	(70, 36.74738920382025)	(72, 36.57993277393727)	(74, 36.452596340708425)	(76, 36.29442208297928)	(78, 36.148569842259406)	(80, 36.026002117428774)	(82, 35.91168800653366)	(84, 35.797920686023105)	(86, 35.71744339559563)	(88, 35.66223559548827)	(90, 35.56776646455175)	(92, 35.51387798336971)	(94, 35.435237349906046)	(96, 35.314645909981394)	(98, 35.18606646863934)	(100, 34.25367154083143)
1_ATCACG_L001_R2_combined	(1, 33.34932777997798)	(2, 33.44912521388819)	(3, 33.51556575439288)	(4, 35.75447463159527)	(5, 35.802111689901444)	(6, 36.614139454151655)	(7, 36.657636671202724)	(8, 36.656648664100594)	(9, 36.65046421282785)	(10, 36.64940982966637)	(12, 36.61436042795775)	(14, 37.82340928230751)	(16, 37.81220983822054)	(18, 37.79377732564576)	(20, 37.76310546836404)	(22, 37.74094141392376)	(24, 37.7127619614288)	(26, 37.7085950229325)	(28, 37.658822913167285)	(30, 37.642180686353356)	(32, 37.63108191623243)	(34, 37.584783748585245)	(36, 37.58420880522281)	(38, 37.57158368350856)	(40, 37.55474192246399)	(42, 37.51496168352642)	(44, 37.46244222210372)	(46, 37.40700600389323)	(48, 37.350404252399024)	(50, 37.25935838822036)	(52, 37.2009245004809)	(54, 37.13457112592692)	(56, 37.04952652917366)	(58, 36.951389958536616)	(60, 36.84776474830291)	(62, 36.706823334379145)	(64, 36.58939609967562)	(66, 36.45236924904368)	(68, 36.30046877415167)	(70, 36.1389981004861)	(72, 35.989382862361985)	(74, 35.81711909494673)	(76, 35.671690773105134)	(78, 35.54090432778945)	(80, 35.422342392727)	(82, 35.31087803994637)	(84, 35.21772143332224)	(86, 35.12637262685962)	(88, 35.03910705792448)	(90, 34.98156594442548)	(92, 34.89835237404046)	(94, 34.80593153466484)	(96, 34.702504017890135)	(98, 34.56685901827859)	(100, 33.55077343539149)
21_ACAGTG_L002_R1_combined	(1, 33.86905551782532)	(2, 33.85321070320837)	(3, 33.83911974273741)	(4, 35.936889318217276)	(5, 36.289442230344676)	(6, 36.906942291943906)	(7, 36.95406467624996)	(8, 36.92039475772185)	(9, 36.90834304436996)	(10, 36.9233647279046)	(12, 36.884818831919674)	(14, 38.343461954277686)	(16, 38.32345639885364)	(18, 38.317051792594114)	(20, 38.32054330966404)	(22, 38.329949078908996)	(24, 38.290999793647615)	(26, 38.231653339119966)	(28, 38.17408392666533)	(30, 38.11754304999958)	(32, 38.064551135972515)	(34, 38.03939963513091)	(36, 37.97305750400234)	(38, 37.95016888271333)	(40, 37.95237427637033)	(42, 37.90072123324929)	(44, 37.91338653947692)	(46, 37.83858555338915)	(48, 37.76725650569554)	(50, 37.693456996093985)	(52, 37.61381374577894)	(54, 37.493140849880675)	(56, 37.38036910905169)	(58, 37.29974638053598)	(60, 37.1999598385104)	(62, 37.004873013434846)	(64, 36.89625594422509)	(66, 36.74599109978806)	(68, 36.59722167500955)	(70, 36.43011231384984)	(72, 36.277073427131654)	(74, 36.12441490307023)	(76, 35.98053998592674)	(78, 35.861581282737575)	(80, 35.733888514140624)	(82, 35.649339121900226)	(84, 35.57665793577364)	(86, 35.50372877997185)	(88, 35.47424728661935)	(90, 35.39753051400133)	(92, 35.34096687284027)	(94, 35.2689265001994)	(96, 35.17577882298647)	(98, 35.06722034866012)	(100, 34.395145928077014)
21_ACAGTG_L002_R2_combined	(1, 32.64969175986163)	(2, 32.749696691832895)	(3, 32.7117712039579)	(4, 35.29576733225964)	(5, 35.38215288570525)	(6, 35.95151811761457)	(7, 35.877979845215144)	(8, 35.91483505903263)	(9, 35.98650015019728)	(10, 35.965744495579315)	(12, 35.93718642613433)	(14, 37.37317756503941)	(16, 37.31111132797984)	(18, 37.326936967189326)	(20, 37.39218591862118)	(22, 37.391126351336936)	(24, 37.325020616083464)	(26, 37.19665701067616)	(28, 37.21044880656176)	(30, 37.20416413229346)	(32, 37.18108976562732)	(34, 37.20875205520646)	(36, 37.141854583307506)	(38, 37.087134079893175)	(40, 37.011237696133065)	(42, 36.973359914897486)	(44, 36.87667194531424)	(46, 36.776518328322254)	(48, 36.74873427188115)	(50, 36.70696920606998)	(52, 36.67056934264888)	(54, 36.558139452354396)	(56, 36.432831773767134)	(58, 36.32444720889342)	(60, 36.14970450313979)	(62, 36.0322269842383)	(64, 35.92974239584195)	(66, 35.76667372251762)	(68, 35.597959313213124)	(70, 35.41651491344632)	(72, 35.26223432331802)	(74, 35.08881522476541)	(76, 34.97993272436325)	(78, 34.82673831722673)	(80, 34.76863362659945)	(82, 34.628016855163004)	(84, 34.599570249075036)	(86, 34.50242267461486)	(88, 34.441212596311054)	(90, 34.41765884445809)	(92, 34.3523424060769)	(94, 34.269360658846836)	(96, 34.176194733743515)	(98, 34.00736398153563)	(100, 33.059135121777146)
25_GATCAG_L002_R1_combined	(1, 33.802342662461676)	(2, 33.77912272565028)	(3, 33.77052310827356)	(4, 35.93873366261243)	(5, 36.280304282576346)	(6, 36.86207050512343)	(7, 36.90856025304875)	(8, 36.87401119910114)	(9, 36.86455698784965)	(10, 36.879751008083815)	(12, 36.84152350484324)	(14, 38.31694130559636)	(16, 38.2967978356643)	(18, 38.28719071975098)	(20, 38.2906666409143)	(22, 38.30038349701553)	(24, 38.263519865733194)	(26, 38.19942016211114)	(28, 38.14097686492893)	(30, 38.081962876963814)	(32, 38.02636870679738)	(34, 38.00004928902154)	(36, 37.928166832175776)	(38, 37.90298434364958)	(40, 37.89872410413754)	(42, 37.84277960148551)	(44, 37.849672058693315)	(46, 37.76695964579463)	(48, 37.687014190639566)	(50, 37.60648201218271)	(52, 37.519614793963946)	(54, 37.38894077683678)	(56, 37.26969209286202)	(58, 37.181091836692886)	(60, 37.070940969645065)	(62, 36.87116631537265)	(64, 36.7588133285541)	(66, 36.60676591527455)	(68, 36.45762231097869)	(70, 36.2911832559132)	(72, 36.140502933637414)	(74, 35.992508988453)	(76, 35.852485546276625)	(78, 35.740099888236415)	(80, 35.61895326338891)	(82, 35.53995322517842)	(84, 35.47076389705843)	(86, 35.39641537961284)	(88, 35.368457425865586)	(90, 35.29159347518706)	(92, 35.23483382241922)	(94, 35.16010637733049)	(96, 35.06622651026955)	(98, 34.95636999776005)	(100, 34.27420473480625)
25_GATCAG_L002_R2_combined	(1, 32.582491594737725)	(2, 32.68194488375358)	(3, 32.674550234543)	(4, 35.28692920365747)	(5, 35.314931262508814)	(6, 35.9061220560052)	(7, 35.825165862365154)	(8, 35.860676323970424)	(9, 35.92147644323397)	(10, 35.90361845380966)	(12, 35.87778352328628)	(14, 37.33655628768635)	(16, 37.274986022235495)	(18, 37.28781866355765)	(20, 37.34632349885665)	(22, 37.34429033716951)	(24, 37.27999558865348)	(26, 37.15091246980472)	(28, 37.160959215362254)	(30, 37.15079850723244)	(32, 37.12521184036845)	(34, 37.15217295605451)	(36, 37.08220158800114)	(38, 37.02380734990866)	(40, 36.94628019224307)	(42, 36.9009066169947)	(44, 36.800502037321365)	(46, 36.69334331488277)	(48, 36.66050886253396)	(50, 36.610785876032296)	(52, 36.562754811490606)	(54, 36.44127058401931)	(56, 36.307643636110065)	(58, 36.19036055567247)	(60, 36.00889679380559)	(62, 35.8850046575826)	(64, 35.77836940629179)	(66, 35.60924817561641)	(68, 35.440575667343666)	(70, 35.26195474072178)	(72, 35.10703890705629)	(74, 34.93876533049522)	(76, 34.83073470658651)	(78, 34.68206093661515)	(80, 34.624726036233746)	(82, 34.49288496878822)	(84, 34.46593225606512)	(86, 34.37083485819937)	(88, 34.31304237258871)	(90, 34.28648976213929)	(92, 34.220550374007104)	(94, 34.138558651051035)	(96, 34.04427937151188)	(98, 33.87552582272323)	(100, 32.914696694424876)
