Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
13_AGTCAA_L001_R1_combined	(2.0, 222.0)	(3.0, 152.0)	(4.0, 269.0)	(5.0, 445.0)	(6.0, 791.0)	(7.0, 1743.0)	(8.0, 3632.0)	(9.0, 6087.0)	(10.0, 9328.0)	(11.0, 10365.0)	(12.0, 11335.0)	(13.0, 11422.0)	(14.0, 12453.0)	(15.0, 14120.0)	(16.0, 16554.0)	(17.0, 18653.0)	(18.0, 21390.0)	(19.0, 24258.0)	(20.0, 27998.0)	(21.0, 32698.0)	(22.0, 39998.0)	(23.0, 50209.0)	(24.0, 67200.0)	(25.0, 92450.0)	(26.0, 126053.0)	(27.0, 169372.0)	(28.0, 223396.0)	(29.0, 287094.0)	(30.0, 364407.0)	(31.0, 462183.0)	(32.0, 585794.0)	(33.0, 752157.0)	(34.0, 970135.0)	(35.0, 1279094.0)	(36.0, 2004114.0)	(37.0, 5172292.0)	(38.0, 7998488.0)	(39.0, 4849778.0)
13_AGTCAA_L001_R2_combined	(2.0, 160933.0)	(3.0, 27971.0)	(4.0, 23801.0)	(5.0, 22569.0)	(6.0, 21752.0)	(7.0, 20832.0)	(8.0, 20421.0)	(9.0, 21617.0)	(10.0, 23900.0)	(11.0, 25955.0)	(12.0, 27752.0)	(13.0, 29968.0)	(14.0, 32300.0)	(15.0, 33721.0)	(16.0, 35682.0)	(17.0, 37220.0)	(18.0, 39923.0)	(19.0, 42644.0)	(20.0, 46621.0)	(21.0, 52903.0)	(22.0, 65724.0)	(23.0, 84600.0)	(24.0, 107215.0)	(25.0, 133670.0)	(26.0, 164168.0)	(27.0, 201653.0)	(28.0, 245029.0)	(29.0, 298286.0)	(30.0, 365320.0)	(31.0, 455180.0)	(32.0, 575161.0)	(33.0, 740768.0)	(34.0, 968494.0)	(35.0, 1293885.0)	(36.0, 2027238.0)	(37.0, 5199808.0)	(38.0, 7618858.0)	(39.0, 4424587.0)
17_ATCACG_L002_R1_combined	(2.0, 540.0)	(3.0, 188.0)	(4.0, 297.0)	(5.0, 494.0)	(6.0, 872.0)	(7.0, 1696.0)	(8.0, 3338.0)	(9.0, 5001.0)	(10.0, 6854.0)	(11.0, 7663.0)	(12.0, 7968.0)	(13.0, 8060.0)	(14.0, 9289.0)	(15.0, 10220.0)	(16.0, 12026.0)	(17.0, 13354.0)	(18.0, 15073.0)	(19.0, 17433.0)	(20.0, 20206.0)	(21.0, 23546.0)	(22.0, 29162.0)	(23.0, 37380.0)	(24.0, 50774.0)	(25.0, 70671.0)	(26.0, 97060.0)	(27.0, 131205.0)	(28.0, 171364.0)	(29.0, 220318.0)	(30.0, 278390.0)	(31.0, 351899.0)	(32.0, 445887.0)	(33.0, 567213.0)	(34.0, 731633.0)	(35.0, 959751.0)	(36.0, 1484676.0)	(37.0, 4035094.0)	(38.0, 7181325.0)	(39.0, 2604976.0)
17_ATCACG_L002_R2_combined	(2.0, 113173.0)	(3.0, 27715.0)	(4.0, 18061.0)	(5.0, 16140.0)	(6.0, 15374.0)	(7.0, 15082.0)	(8.0, 14605.0)	(9.0, 15943.0)	(10.0, 17247.0)	(11.0, 18516.0)	(12.0, 19439.0)	(13.0, 20755.0)	(14.0, 21515.0)	(15.0, 23141.0)	(16.0, 24536.0)	(17.0, 26237.0)	(18.0, 27899.0)	(19.0, 30231.0)	(20.0, 33760.0)	(21.0, 39665.0)	(22.0, 52033.0)	(23.0, 73152.0)	(24.0, 94092.0)	(25.0, 118150.0)	(26.0, 142979.0)	(27.0, 173544.0)	(28.0, 206608.0)	(29.0, 247033.0)	(30.0, 296718.0)	(31.0, 362741.0)	(32.0, 451131.0)	(33.0, 572350.0)	(34.0, 735563.0)	(35.0, 965239.0)	(36.0, 1491396.0)	(37.0, 4092808.0)	(38.0, 6859628.0)	(39.0, 2138697.0)
1_ATCACG_L001_R1_combined	(2.0, 512.0)	(3.0, 137.0)	(4.0, 219.0)	(5.0, 352.0)	(6.0, 648.0)	(7.0, 1294.0)	(8.0, 2716.0)	(9.0, 4455.0)	(10.0, 6814.0)	(11.0, 7399.0)	(12.0, 8116.0)	(13.0, 8138.0)	(14.0, 8625.0)	(15.0, 9551.0)	(16.0, 11247.0)	(17.0, 12350.0)	(18.0, 14328.0)	(19.0, 16355.0)	(20.0, 18736.0)	(21.0, 22074.0)	(22.0, 27023.0)	(23.0, 34576.0)	(24.0, 46563.0)	(25.0, 64567.0)	(26.0, 88924.0)	(27.0, 119514.0)	(28.0, 156459.0)	(29.0, 201236.0)	(30.0, 255846.0)	(31.0, 322544.0)	(32.0, 405867.0)	(33.0, 516782.0)	(34.0, 666751.0)	(35.0, 880430.0)	(36.0, 1330582.0)	(37.0, 3105459.0)	(38.0, 5932605.0)	(39.0, 4160721.0)
1_ATCACG_L001_R2_combined	(2.0, 99957.0)	(3.0, 17717.0)	(4.0, 15142.0)	(5.0, 14181.0)	(6.0, 13466.0)	(7.0, 12792.0)	(8.0, 12146.0)	(9.0, 12839.0)	(10.0, 14180.0)	(11.0, 15266.0)	(12.0, 16412.0)	(13.0, 17735.0)	(14.0, 18999.0)	(15.0, 20093.0)	(16.0, 21886.0)	(17.0, 23101.0)	(18.0, 24712.0)	(19.0, 26599.0)	(20.0, 29129.0)	(21.0, 33941.0)	(22.0, 42563.0)	(23.0, 55392.0)	(24.0, 70779.0)	(25.0, 88149.0)	(26.0, 108678.0)	(27.0, 133521.0)	(28.0, 162693.0)	(29.0, 198079.0)	(30.0, 242225.0)	(31.0, 301213.0)	(32.0, 380517.0)	(33.0, 494261.0)	(34.0, 649087.0)	(35.0, 870104.0)	(36.0, 1314095.0)	(37.0, 3155333.0)	(38.0, 5852692.0)	(39.0, 3890841.0)
21_ACAGTG_L002_R1_combined	(2.0, 469.0)	(3.0, 224.0)	(4.0, 350.0)	(5.0, 577.0)	(6.0, 1111.0)	(7.0, 2068.0)	(8.0, 4207.0)	(9.0, 6225.0)	(10.0, 8188.0)	(11.0, 9303.0)	(12.0, 9720.0)	(13.0, 10134.0)	(14.0, 11283.0)	(15.0, 12645.0)	(16.0, 14250.0)	(17.0, 16453.0)	(18.0, 18707.0)	(19.0, 21675.0)	(20.0, 24662.0)	(21.0, 29222.0)	(22.0, 35643.0)	(23.0, 45686.0)	(24.0, 63376.0)	(25.0, 89241.0)	(26.0, 122627.0)	(27.0, 166473.0)	(28.0, 217528.0)	(29.0, 279148.0)	(30.0, 352181.0)	(31.0, 444946.0)	(32.0, 560145.0)	(33.0, 712354.0)	(34.0, 915507.0)	(35.0, 1200447.0)	(36.0, 1862415.0)	(37.0, 5085954.0)	(38.0, 8758268.0)	(39.0, 3683975.0)
21_ACAGTG_L002_R2_combined	(2.0, 159825.0)	(3.0, 38469.0)	(4.0, 25459.0)	(5.0, 22946.0)	(6.0, 21082.0)	(7.0, 21058.0)	(8.0, 20366.0)	(9.0, 21611.0)	(10.0, 24093.0)	(11.0, 25463.0)	(12.0, 26576.0)	(13.0, 28294.0)	(14.0, 29525.0)	(15.0, 31111.0)	(16.0, 33427.0)	(17.0, 35558.0)	(18.0, 37827.0)	(19.0, 40758.0)	(20.0, 45869.0)	(21.0, 53807.0)	(22.0, 72735.0)	(23.0, 101263.0)	(24.0, 131441.0)	(25.0, 163900.0)	(26.0, 199429.0)	(27.0, 238301.0)	(28.0, 282540.0)	(29.0, 335577.0)	(30.0, 398319.0)	(31.0, 481621.0)	(32.0, 592864.0)	(33.0, 741939.0)	(34.0, 944839.0)	(35.0, 1226016.0)	(36.0, 1896008.0)	(37.0, 5144523.0)	(38.0, 8180120.0)	(39.0, 2922828.0)
25_GATCAG_L002_R1_combined	(2.0, 362.0)	(3.0, 229.0)	(4.0, 346.0)	(5.0, 625.0)	(6.0, 1099.0)	(7.0, 2178.0)	(8.0, 4120.0)	(9.0, 6260.0)	(10.0, 8140.0)	(11.0, 9339.0)	(12.0, 9669.0)	(13.0, 10003.0)	(14.0, 11126.0)	(15.0, 12530.0)	(16.0, 14466.0)	(17.0, 16293.0)	(18.0, 18604.0)	(19.0, 21557.0)	(20.0, 25054.0)	(21.0, 29246.0)	(22.0, 35765.0)	(23.0, 46097.0)	(24.0, 63445.0)	(25.0, 89124.0)	(26.0, 122967.0)	(27.0, 164897.0)	(28.0, 215576.0)	(29.0, 277269.0)	(30.0, 352007.0)	(31.0, 442174.0)	(32.0, 556409.0)	(33.0, 710903.0)	(34.0, 913239.0)	(35.0, 1193489.0)	(36.0, 1885610.0)	(37.0, 5249999.0)	(38.0, 8067202.0)	(39.0, 3332716.0)
25_GATCAG_L002_R2_combined	(2.0, 197973.0)	(3.0, 40742.0)	(4.0, 26244.0)	(5.0, 23156.0)	(6.0, 21524.0)	(7.0, 21262.0)	(8.0, 20029.0)	(9.0, 21751.0)	(10.0, 23977.0)	(11.0, 25093.0)	(12.0, 26048.0)	(13.0, 27635.0)	(14.0, 28916.0)	(15.0, 30429.0)	(16.0, 32517.0)	(17.0, 34158.0)	(18.0, 36610.0)	(19.0, 39273.0)	(20.0, 43711.0)	(21.0, 51188.0)	(22.0, 68958.0)	(23.0, 96343.0)	(24.0, 124580.0)	(25.0, 154045.0)	(26.0, 188740.0)	(27.0, 225224.0)	(28.0, 268444.0)	(29.0, 321238.0)	(30.0, 382305.0)	(31.0, 463246.0)	(32.0, 574322.0)	(33.0, 725024.0)	(34.0, 925160.0)	(35.0, 1201868.0)	(36.0, 1878924.0)	(37.0, 5202097.0)	(38.0, 7651467.0)	(39.0, 2695913.0)
