Sample	Unique Reads	Duplicate Reads
13_AGTCAA_L001_R1_combined	11810403.0	13907726.0
13_AGTCAA_L001_R2_combined	12196699.0	13521430.0
17_ATCACG_L002_R1_combined	9648122.0	9964774.0
17_ATCACG_L002_R2_combined	10125874.0	9487022.0
1_ATCACG_L001_R1_combined	8904735.0	9565780.0
1_ATCACG_L001_R2_combined	9380036.0	9090479.0
21_ACAGTG_L002_R1_combined	11705217.0	13092170.0
21_ACAGTG_L002_R2_combined	12192098.0	12605289.0
25_GATCAG_L002_R1_combined	11195630.0	12724504.0
25_GATCAG_L002_R2_combined	11682920.0	12237214.0
29_AGTCAA_L002_R1_combined	11157823.0	13124109.0
29_AGTCAA_L002_R2_combined	11699888.0	12582044.0
33_GTCCGC_L002_R1_combined	10580384.0	11197940.0
33_GTCCGC_L002_R2_combined	11047221.0	10731103.0
37_CGTACG_L002_R1_combined	11138745.0	13391195.0
37_CGTACG_L002_R2_combined	11698375.0	12831565.0
41_GTCCGC_L001_R1_combined	10631802.0	12110491.0
41_GTCCGC_L001_R2_combined	11004339.0	11737954.0
45_CGTACG_L001_R1_combined	10681456.0	13031293.0
45_CGTACG_L001_R2_combined	10981262.0	12731487.0
5_ACAGTG_L001_R1_combined	10644863.0	14139016.0
5_ACAGTG_L001_R2_combined	11214260.0	13569619.0
9_GATCAG_L001_R1_combined	9444088.0	10526813.0
9_GATCAG_L001_R2_combined	9851792.0	10119109.0
