Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
13_AGTCAA_L001_R1_combined	(1.0, 34.56434915749051)	(2.0, 10.803386744839608)	(3.0, 6.335790562237195)	(4.0, 4.343101024976379)	(5.0, 3.298983816462793)	(6.0, 2.521109327146937)	(7.0, 2.0243111652003423)	(8.0, 1.768991640637448)	(9.0, 1.4315416120419544)	('>10', 16.27745279358833)	('>50', 4.704147813872)	('>100', 7.949864728497387)	('>500', 2.1358612263518344)	('>1k', 1.797693672174246)	('>5k', 0.043414714483066455)	('>10k+', 0.0)
13_AGTCAA_L001_R2_combined	(1.0, 35.40386344642921)	(2.0, 11.827505022823596)	(3.0, 6.789870548910039)	(4.0, 4.577465682803715)	(5.0, 3.316614720270202)	(6.0, 2.4912243755409396)	(7.0, 2.0528570181702603)	(8.0, 1.7503630159009926)	(9.0, 1.4180481366390474)	('>10', 15.26171447300635)	('>50', 4.411109833072581)	('>100', 7.577681204691523)	('>500', 1.7968393654551256)	('>1k', 1.2316679986159067)	('>5k', 0.02320500471240379)	('>10k+', 0.06997015295807056)
17_ATCACG_L002_R1_combined	(1.0, 37.41544218437818)	(2.0, 11.737478087912926)	(3.0, 6.498420574271564)	(4.0, 4.338322531828075)	(5.0, 3.255450923474637)	(6.0, 2.5315773667644774)	(7.0, 2.049896588915561)	(8.0, 1.5986468723061573)	(9.0, 1.3981566217076302)	('>10', 15.088767173651105)	('>50', 4.051485699318427)	('>100', 6.862634821618406)	('>500', 1.6428361648535648)	('>1k', 1.4680258463794855)	('>5k', 0.0628585426199562)	('>10k+', 0.0)
17_ATCACG_L002_R2_combined	(1.0, 39.119220520780665)	(2.0, 13.027898911867256)	(3.0, 7.119704286801514)	(4.0, 4.6186026249098395)	(5.0, 3.236659399366853)	(6.0, 2.3956335479375874)	(7.0, 1.8750354212794123)	(8.0, 1.439508614804933)	(9.0, 1.2651625167079426)	('>10', 13.422303046383854)	('>50', 3.722804630790164)	('>100', 6.25448052704037)	('>500', 1.4105937590516895)	('>1k', 1.0473014172669373)	('>5k', 0.0450907750108897)	('>10k+', 0.0)
1_ATCACG_L001_R1_combined	(1.0, 36.45968032562845)	(2.0, 11.631479408061791)	(3.0, 6.458243964890037)	(4.0, 4.385154408395532)	(5.0, 3.3257334147951885)	(6.0, 2.5447063199285713)	(7.0, 1.981121542087861)	(8.0, 1.6949585800532236)	(9.0, 1.4258592300163915)	('>10', 15.191569309421352)	('>50', 3.976482688734538)	('>100', 6.841456635998573)	('>500', 1.8590897739108154)	('>1k', 2.1406617890479467)	('>5k', 0.08380260902973231)	('>10k+', 0.0)
1_ATCACG_L001_R2_combined	(1.0, 38.30489013349065)	(2.0, 12.963961945654928)	(3.0, 7.127847892269211)	(4.0, 4.464384355964227)	(5.0, 3.249296909054624)	(6.0, 2.433560300861526)	(7.0, 1.992479461539799)	(8.0, 1.6167831326368312)	(9.0, 1.2293944983414804)	('>10', 13.115070956410332)	('>50', 3.535647143804005)	('>100', 6.319143173346556)	('>500', 1.8951798909359634)	('>1k', 1.6444591969136706)	('>5k', 0.03245453661105437)	('>10k+', 0.07544647216531611)
21_ACAGTG_L002_R1_combined	(1.0, 35.61783783148448)	(2.0, 11.19941704278937)	(3.0, 6.435761220039579)	(4.0, 4.440170388163507)	(5.0, 3.222466085448819)	(6.0, 2.557944803946948)	(7.0, 2.1340363582412656)	(8.0, 1.7167894893155622)	(9.0, 1.4038928265338175)	('>10', 15.947178863203307)	('>50', 4.362076135349544)	('>100', 7.429326864576769)	('>500', 1.9617312182126243)	('>1k', 1.5713708726943634)	('>5k', 0.0)	('>10k+', 0.0)
21_ACAGTG_L002_R2_combined	(1.0, 36.93769486336356)	(2.0, 12.320590745227054)	(3.0, 6.895803756212378)	(4.0, 4.52369480109864)	(5.0, 3.31933116771886)	(6.0, 2.508663719916717)	(7.0, 2.0198362345590644)	(8.0, 1.6273750482200922)	(9.0, 1.325202963630943)	('>10', 14.849750610484817)	('>50', 4.1622868879906125)	('>100', 6.92634806886595)	('>500', 1.5672824875646716)	('>1k', 0.9288062065748668)	('>5k', 0.04093238719763837)	('>10k+', 0.04640005137407817)
25_GATCAG_L002_R1_combined	(1.0, 35.2963663632369)	(2.0, 11.129946691973117)	(3.0, 6.4627179853483225)	(4.0, 4.399809942385359)	(5.0, 3.1695560624605212)	(6.0, 2.5159630184307984)	(7.0, 1.9942795565373996)	(8.0, 1.7321567014455839)	(9.0, 1.3747404445216205)	('>10', 15.917972985450483)	('>50', 4.417517915765618)	('>100', 7.405277490585236)	('>500', 2.0579516828901614)	('>1k', 2.043216115933362)	('>5k', 0.08252704303561656)	('>10k+', 0.0)
25_GATCAG_L002_R2_combined	(1.0, 36.761413832872634)	(2.0, 12.174976503049525)	(3.0, 6.923992965417495)	(4.0, 4.395571307696846)	(5.0, 3.088160400741063)	(6.0, 2.508215096668496)	(7.0, 1.937009491180096)	(8.0, 1.6005522195639503)	(9.0, 1.4557165306163395)	('>10', 14.696850186153942)	('>50', 4.311348457855161)	('>100', 6.809213256439955)	('>500', 1.850850057174118)	('>1k', 1.4123608209783167)	('>5k', 0.028259424839735623)	('>10k+', 0.04550944875232425)
29_AGTCAA_L002_R1_combined	(1.0, 34.34159542898404)	(2.0, 11.002630659002486)	(3.0, 6.473736868423143)	(4.0, 4.560759056988245)	(5.0, 3.415079811363582)	(6.0, 2.6253952364420083)	(7.0, 2.081294280751965)	(8.0, 1.6845610246790699)	(9.0, 1.4295776450989355)	('>10', 16.650567326857065)	('>50', 4.593163196020212)	('>100', 7.245480332071044)	('>500', 2.0039232005417147)	('>1k', 1.8418687707994004)	('>5k', 0.050367161977157404)	('>10k+', 0.0)
29_AGTCAA_L002_R2_combined	(1.0, 35.794000965587685)	(2.0, 12.400141241011516)	(3.0, 7.045385950802335)	(4.0, 4.608332815734842)	(5.0, 3.36864340936214)	(6.0, 2.4871807657570173)	(7.0, 2.0748373354227123)	(8.0, 1.667339311332921)	(9.0, 1.3622340102682426)	('>10', 15.313750260366179)	('>50', 4.348242893778118)	('>100', 6.704798247067323)	('>500', 1.6254569840207926)	('>1k', 1.127543764573065)	('>5k', 0.023110337516293784)	('>10k+', 0.04900170739869825)
33_GTCCGC_L002_R1_combined	(1.0, 36.66131407475045)	(2.0, 11.63045765633595)	(3.0, 6.620977206509505)	(4.0, 4.546748001636837)	(5.0, 3.3840923322007783)	(6.0, 2.6069785097199083)	(7.0, 2.091648149193386)	(8.0, 1.701658905513509)	(9.0, 1.391064575191938)	('>10', 15.947208418868119)	('>50', 4.3444822579797195)	('>100', 6.501947922987828)	('>500', 1.4357182801684423)	('>1k', 1.1120518504979657)	('>5k', 0.023651858445608184)	('>10k+', 0.0)
33_GTCCGC_L002_R2_combined	(1.0, 38.14845588954397)	(2.0, 12.811509217237473)	(3.0, 7.187146842852115)	(4.0, 4.669554208358593)	(5.0, 3.231902052887282)	(6.0, 2.4957543840579017)	(7.0, 1.965521489900837)	(8.0, 1.6533230136296615)	(9.0, 1.3927102275991814)	('>10', 14.710917227179433)	('>50', 4.00532940148184)	('>100', 5.733218565435444)	('>500', 1.148997602346371)	('>1k', 0.7979644737147191)	('>5k', 0.0)	('>10k+', 0.04769540377531387)
