Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
13_AGTCAA_L001	83.86902069844895	20.890016	ISR	100.0	9.605707070760974e-06													
13_AGTCAA_L001_R1_combined													54.07752030929957	47.0	101.0	101	18.181818181818183	25.718128999999998
13_AGTCAA_L001_R2_combined													52.57548164965441	47.0	101.0	101	9.090909090909092	25.718128999999998
13_AGTCAA_L001_combined						10.9405	94.8559	4730.991246	49.81581	47.0147	96.84959975121052	7.595385340823199						
17_ATCACG_L002	83.58160798548325	15.861479	ISR	100.0	1.3248873266938041e-05													
17_ATCACG_L002_R1_combined													50.80725673125714	46.0	101.0	101	18.181818181818183	19.612896
17_ATCACG_L002_R2_combined													48.37135197887277	47.0	101.0	101	0.0	19.612896
17_ATCACG_L002_combined						9.13007	94.7073	3592.408598	37.954471999999996	46.9095	96.75896920067287	8.85783262196465						
1_ATCACG_L001	83.27780944473528	14.935811	ISR	100.0	1.5577554072060683e-05													
1_ATCACG_L001_R1_combined													51.78946518967089	43.0	101.0	101	18.181818181818183	18.470515
1_ATCACG_L001_R2_combined													49.21616908794153	43.0	101.0	101	0.0	18.470515
1_ATCACG_L001_combined						10.699	95.1518	3414.120532	35.869845999999995	43.5576	97.10028659190067	8.238535850245649						
21_ACAGTG_L002	83.09866084854144	19.878501	ISR	100.0	9.877564501267878e-06													
21_ACAGTG_L002_R1_combined													52.79657460482358	47.0	101.0	101	18.181818181818183	24.797387
21_ACAGTG_L002_R2_combined													50.83313491423758	47.0	101.0	101	9.090909090909092	24.797387
21_ACAGTG_L002_combined						9.45285	94.5689	4532.563537	47.843132	47.679899999999996	96.4680915775521	7.144982654825688						
25_GATCAG_L002	85.2525381030247	19.634494999999998	ISR	100.0	1.0384460775970524e-05													
25_GATCAG_L002_R1_combined													53.195792791188865	49.0	101.0	101	18.181818181818183	23.920133999999997
25_GATCAG_L002_R2_combined													51.158637103268376	49.0	101.0	101	9.090909090909092	23.920133999999997
25_GATCAG_L002_combined						9.84433	94.4978	4349.160242999999	46.06196	48.954	96.28282182700147	8.955882103336045						
29_AGTCAA_L002	85.47625484762268	19.977971	ISR	100.0	9.221739492621943e-06													
29_AGTCAA_L002_R1_combined													54.048868830945594	48.0	101.0	101	18.181818181818183	24.281931999999998
29_AGTCAA_L002_R2_combined													51.81649045175064	48.0	101.0	101	9.090909090909092	24.281931999999998
29_AGTCAA_L002_combined						9.70097	94.3236	4398.998108	46.745078	48.664	96.25485731530753	10.121435147746892						
33_GTCCGC_L002	85.844155130281	17.959563	ISR	100.0	1.0291067200157106e-05													
33_GTCCGC_L002_R1_combined													51.41782262408556	48.0	101.0	101	18.181818181818183	21.778323999999998
33_GTCCGC_L002_R2_combined													49.27423946809012	48.0	101.0	101	0.0	21.778323999999998
33_GTCCGC_L002_combined						8.40319	94.1836	3938.9568249999998	41.84225	48.6999	96.06398086464321	8.83287437545699						
37_CGTACG_L002	86.26379075260591	20.346024999999997	ISR	100.0	8.836871847784883e-06													
37_CGTACG_L002_R1_combined													54.59122749227653	49.0	101.0	101	18.181818181818183	24.52994
37_CGTACG_L002_R2_combined													52.309813631851455	49.0	101.0	101	9.090909090909092	24.52994
37_CGTACG_L002_combined						9.38176	94.24940000000001	4439.397547	47.171645999999996	49.2262	96.1511646583726	9.57263042632799						
41_GTCCGC_L001	85.93461493420894	18.859202	ISR	100.0	9.006092460726602e-06													
41_GTCCGC_L001_R1_combined													53.250967988337635	49.0	101.0	101	18.181818181818183	22.742293
41_GTCCGC_L001_R2_combined													51.6128874494892	49.0	101.0	101	9.090909090909092	22.742293
41_GTCCGC_L001_combined						10.7794	94.4769	4144.05087	43.89198	49.5614	96.49858085989834	8.981198597696372						
45_CGTACG_L001	86.90847710069686	19.892988	ISR	100.0	9.389388285920983e-06													
45_CGTACG_L001_R1_combined													54.95479791798763	49.0	101.0	101	18.181818181818183	23.712749
45_CGTACG_L001_R2_combined													53.69047357635584	49.0	101.0	101	9.090909090909092	23.712749
45_CGTACG_L001_combined						10.6686	94.5864	4343.141801	45.779166	49.6101	96.52859312094097	6.155937466381481						
5_ACAGTG_L001	84.6116974997544	20.368942	ISR	100.0	1.1464629780800249e-05													
5_ACAGTG_L001_R1_combined													57.04924939424867	44.0	101.0	101	18.181818181818183	24.783879
5_ACAGTG_L001_R2_combined													54.75179854360212	44.0	101.0	101	9.090909090909092	24.783879
5_ACAGTG_L001_combined						12.1731	95.1164	4576.852249	48.14687	44.2009	97.13344307402406	8.860116287688461						
9_GATCAG_L001	84.83406315618201	16.392447	ISR	100.0	1.3514541739477032e-05													
9_GATCAG_L001_R1_combined													52.71076110839125	45.0	101.0	101	18.181818181818183	19.970900999999998
9_GATCAG_L001_R2_combined													50.66926926832732	45.0	101.0	101	9.090909090909092	19.970900999999998
9_GATCAG_L001_combined						10.5728	94.9687	3675.597755	38.645908	45.247	96.75554447944036	7.364978174995709						
